# NGC 5713  
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0006e-02 6.260328e+08 1.559454e-10 0 
  1.0192e-02 9.854909e+08 2.366085e-10 0 
  1.0405e-02 1.407960e+09 3.243416e-10 0 
  1.0599e-02 2.044677e+09 4.539326e-10 0 
  1.0796e-02 3.010236e+09 6.441267e-10 0 
  1.0997e-02 4.984384e+09 1.027920e-09 0 
  1.1409e-02 9.389901e+09 1.799129e-09 0 
  1.1810e-02 1.639169e+10 2.931032e-09 0 
  1.2113e-02 7.389463e+10 1.256047e-08 0 
  1.2510e-02 1.179257e+11 1.879274e-08 0 
  1.2713e-02 1.430947e+11 2.208127e-08 0 
  1.2801e-02 1.605415e+11 2.443408e-08 0 
  1.3100e-02 2.106929e+11 3.061991e-08 0 
  1.3190e-02 2.627964e+11 3.767266e-08 0 
  1.3405e-02 3.109144e+11 4.315227e-08 0 
  1.3685e-02 4.598482e+11 6.123804e-08 0 
  1.4004e-02 5.869856e+11 7.464826e-08 0 
  1.4297e-02 1.847677e+12 2.254408e-07 0 
  1.4698e-02 5.683496e+12 6.561386e-07 0 
  1.5110e-02 7.338247e+12 8.016039e-07 0 
  1.5497e-02 9.520285e+12 9.886694e-07 0 
  1.5895e-02 1.240665e+13 1.224701e-06 0 
  1.6190e-02 1.488105e+13 1.415912e-06 0 
  1.6606e-02 1.916972e+13 1.733733e-06 0 
  1.6993e-02 2.385683e+13 2.060484e-06 0 
  1.7308e-02 2.828859e+13 2.355125e-06 0 
  1.7712e-02 3.488376e+13 2.773222e-06 0 
  1.7999e-02 4.042014e+13 3.111699e-06 0 
  1.8208e-02 4.473148e+13 3.365001e-06 0 
  1.8589e-02 5.402953e+13 3.899560e-06 0 
  1.9110e-02 6.833238e+13 4.666611e-06 0 
  1.9420e-02 7.881304e+13 5.211900e-06 0 
  1.9781e-02 9.303203e+13 5.929696e-06 0 
  2.0196e-02 1.105695e+14 6.760847e-06 0 
  2.0477e-02 1.249128e+14 7.429689e-06 0 
  2.1002e-02 1.457556e+14 8.241386e-06 0 
  2.1590e-02 1.912618e+14 1.023339e-05 0 
  2.1992e-02 2.226474e+14 1.148113e-05 0 
  2.2298e-02 2.452568e+14 1.230228e-05 0 
  2.2712e-02 2.848565e+14 1.377247e-05 0 
  2.2975e-02 4.727591e+14 2.233703e-05 0 
  2.3402e-02 8.290974e+14 3.775687e-05 0 
  2.4003e-02 1.182048e+15 5.116823e-05 0 
  2.4618e-02 1.272358e+15 5.236007e-05 0 
  2.5192e-02 1.540313e+15 6.053132e-05 0 
  2.5719e-02 1.444156e+15 5.445057e-05 0 
  2.6017e-02 1.772648e+15 6.531374e-05 0 
  2.6379e-02 2.011955e+15 7.211042e-05 0 
  2.6869e-02 2.211224e+15 7.638818e-05 0 
