Wavelength,FluxDensity
222.01419,0.029041342983889475
229.33334,0.029544994277253215
234.21277,0.03027051773961937
239.0922,0.03249547700302901
243.97163,0.036434670580390925
248.85107,0.03693061171093008
253.7305,0.03723598880794741
258.60992,0.037646075340054826
263.48938,0.038027804634593064
268.3688,0.03910168399641321
278.12766,0.03948463277233589
287.88654,0.039723405827684355
295.2057,0.04197918360594438
304.96454,0.042039277286985546
309.84396,0.04246607756289669
312.2837,0.04300698630855395
319.60284,0.04274547337995836
322.04254,0.04345143064173655
326.922,0.043453508339068685
334.24115,0.043882163623291955
341.5603,0.04403100366171514
348.87943,0.04570532172678011
358.6383,0.04702410179933549
368.39716,0.04652414413587294
378.15604,0.04770790001642563
387.9149,0.047950236380465194
395.23404,0.04840584662842278
404.99292,0.04860234910525477
414.75177,0.048773188905962314
422.07092,0.0487689881130968
431.8298,0.049322587178979055
439.14893,0.04956341979554079
444.02838,0.05006476341913007
453.78723,0.050278536413672074
465.9858,0.0502752618959525
473.30496,0.050784988992411774
483.06384,0.05093460765924896
492.8227,0.05108873233602567
500.14185,0.05157956712009567
512.34045,0.05145333752423733
526.97876,0.05195433962084381
536.7376,0.052377717375780966
544.05676,0.05273521597641782
553.8156,0.05430100408060744
561.13477,0.07024500338750907
570.8936,0.10593074680880135
585.5319,0.23614629445726282
600.1702,0.23031892645338314
614.80853,0.24540199634118212
627.0071,0.12545700346974417
634.32623,0.24294747833975652
644.0851,0.2997410971698034
656.2837,0.3048119631864411
668.4823,0.300894095225366
680.68085,0.2887132526887546
692.87946,0.2991877189009788
707.51776,0.28632098308885806
722.156,0.26376066261835746
734.3546,0.17325972857665234
751.4326,0.22091735679647925
775.8298,0.2971917197843408
800.2269,0.2991658292507711
824.62415,0.29270419630750477
849.0213,0.28620244768948017
870.97876,0.3079484591698523
892.93616,0.34588650104285046
914.8936,0.3391665677188687
939.2908,0.31411130452979247
963.6879,0.351040751416073
988.08514,0.376614868690213
1010.04254,0.37235747432590327
1029.5603,0.35435274872173417
1049.078,0.34286524747452884
1075.9149,0.3573208221464177
1100.312,0.35649111207421935
1122.2695,0.3354121546358351
1146.6666,0.3323012593145141
1171.0638,0.3417246466694473
1195.461,0.31942975574037075
1219.8582,0.33846473918029885
1234.4965,0.34952978259141293
1249.1348,0.4799936313421691
1268.6525,0.4681845597348941
1293.0497,0.4379371313092919
1317.4468,0.3946058543326395
1341.844,0.3928963790810515
1366.2412,0.4543826731877616
1390.6383,0.4780401624986672
1415.0355,0.46659667220888373
1439.4326,0.4662675488673674
1463.8298,0.42449338772338024
1488.2269,0.4078275712261164
1512.6241,0.47877509703468296
1537.0212,0.4720963745257676
1561.4185,0.48780443833725573
1585.8157,0.47734333427883574
1605.3334,0.4576790208990398
1622.4114,0.486671024045247
1646.8085,0.49910423141262866
1671.2057,0.4623390164488373
1695.6029,0.49256776677508773
1720.0,0.44965896142551665
1746.8369,0.5110364864739295
1771.234,0.5212696926118637
1793.1915,0.5248070464924214
1817.5886,0.5165640636185369
1841.9858,0.5132581265355609
1866.383,0.4833545118626854
1890.7802,0.5167918264817923
1915.1774,0.5086591920577652
1939.5745,0.5260835709969334
1963.9717,0.5356801687400633
1988.3688,0.5436311327327966
2012.766,0.5468813281217396
2037.1631,0.4839963771392811
2061.5603,0.5484538728949592
2085.9575,0.5590431796012806
2110.3547,0.5773116697913929
2134.7517,0.5886715054948566
