Template,AGN_Type,Alpha,Redshift,u-g,g-r,Classification
Arp_118,Type1,0.1,3.3,0.7935925212202619,0.6168339061824817,Missed Selection
Arp_118,Type1,0.1,3.4,0.7509054361006378,0.6589407098470197,Missed Selection
Arp_118,Type1,0.1,3.5,0.7315444992791988,0.6799893009105418,Missed Selection
Arp_118,Type1,0.1,3.6,0.6979894123560726,0.7046021680771091,Correct Identification
Arp_118,Type1,0.1,3.7,0.6538167684559042,0.721932927619072,Correct Identification
Arp_118,Type1,0.1,3.8,0.6087070362061091,0.743180497618642,Correct Identification
Arp_118,Type1,0.1,3.9,0.5653421515092418,0.7650367082000393,Correct Identification
Arp_118,Type1,0.1,4.0,0.5231121168508466,0.7884866771561434,Correct Identification
Arp_118,Type1,0.2,0.0,1.2955047174534187,0.7011316193847783,Correct Identification
Arp_118,Type1,0.2,0.1,1.2679992195979537,0.829859190622841,Correct Identification
Arp_118,Type1,0.2,0.2,1.1418797353333936,1.0657256351324769,Correct Identification
Arp_118,Type1,0.2,0.3,1.0373082959228022,1.2491757668490528,Correct Identification
Arp_118,Type1,0.2,0.4,0.886474751905439,1.3434619371801482,Correct Identification
Arp_118,Type1,0.2,0.5,0.7426942753501891,1.2852217921734663,Correct Identification
Arp_118,Type1,0.2,0.6,0.5716783347084125,1.1403181980147465,Correct Identification
Arp_118,Type1,0.2,0.7,0.4141407969476525,1.0273047495762455,Correct Identification
Arp_118,Type1,0.2,0.8,0.3227905417703454,0.9192174617465234,Correct Identification
Arp_118,Type1,0.2,0.9,0.2797586610728757,0.8365881672568953,Correct Identification
Arp_118,Type1,0.2,1.0,0.27967169348526255,0.7301800430453618,Correct Identification
Arp_118,Type1,0.2,1.1,0.27341951105657003,0.6212468414918604,Correct Identification
Arp_118,Type1,0.2,1.2,0.2974673414578177,0.5092361175097828,Correct Identification
Arp_118,Type1,0.2,1.3,0.31348558912903357,0.39566613814567475,Correct Identification
Arp_118,Type1,0.2,1.4,0.315152134521103,0.30661438642273,Correct Identification
Arp_118,Type1,0.2,1.5,0.29036102353712323,0.27776266028743635,Correct Identification
Arp_118,Type1,0.2,1.6,0.2742368935051829,0.282270892468496,Correct Identification
Arp_118,Type1,0.2,1.7,0.29127713216876217,0.28766615086276204,Correct Identification
Arp_118,Type1,0.2,1.8,0.3213630639848297,0.3005978745174609,Correct Identification
Arp_118,Type1,0.2,1.9,0.3592411282724477,0.30801253699481634,Correct Identification
Arp_118,Type1,0.2,2.0,0.3974516986446801,0.3184998188759103,Correct Identification
Arp_118,Type1,0.2,2.1,0.4254388609725339,0.3215793483865923,Correct Identification
Arp_118,Type1,0.2,2.2,0.4190712468140525,0.3209662714708479,Correct Identification
Arp_118,Type1,0.2,2.3,0.42634927472612816,0.3208942831582142,Correct Identification
Arp_118,Type1,0.2,2.4,0.44488479059177166,0.33151734672243194,Correct Identification
Arp_118,Type1,0.2,2.5,0.4736280318992314,0.33227931780921693,Correct Identification
Arp_118,Type1,0.2,2.6,0.511849133559263,0.330940576238131,Correct Identification
Arp_118,Type1,0.2,2.7,0.5503351737332629,0.33865972936133915,Missed Selection
Arp_118,Type1,0.2,2.8,0.5704846558304801,0.3559102474006899,Missed Selection
Arp_118,Type1,0.2,2.9,0.58981912037288,0.3685696345588738,Missed Selection
Arp_118,Type1,0.2,3.0,0.5918678667514676,0.390548165252234,Missed Selection
Arp_118,Type1,0.2,3.1,0.5915100970234057,0.4169807066366218,Missed Selection
Arp_118,Type1,0.2,3.2,0.5757133740098332,0.44340976025353385,Missed Selection
Arp_118,Type1,0.2,3.3,0.5554542818925583,0.4685530259655586,Missed Selection
Arp_118,Type1,0.2,3.4,0.5325277626635554,0.4944473155506621,Missed Selection
Arp_118,Type1,0.2,3.5,0.5238530700394683,0.5075606230594119,Missed Selection
Arp_118,Type1,0.2,3.6,0.506203685952908,0.5220928406130874,Correct Identification
Arp_118,Type1,0.2,3.7,0.48224798230507204,0.5304586078632205,Correct Identification
Arp_118,Type1,0.2,3.8,0.45803065693597844,0.5415866184375737,Correct Identification
Arp_118,Type1,0.2,3.9,0.43504962573126704,0.5533525465061828,Correct Identification
Arp_118,Type1,0.2,4.0,0.4131142949234281,0.5660658918219745,Correct Identification
Arp_118,Type1,0.30000000000000004,0.0,1.230090901269424,0.6868676332279193,Correct Identification
Arp_118,Type1,0.30000000000000004,0.1,1.1868731571077085,0.8080854707779643,Correct Identification
Arp_118,Type1,0.30000000000000004,0.2,1.0485612897096495,1.028231576967027,Correct Identification
Arp_118,Type1,0.30000000000000004,0.3,0.9319459823777407,1.1923732593757137,Correct Identification
Arp_118,Type1,0.30000000000000004,0.4,0.7834828754475325,1.267208400446755,Correct Identification
Arp_118,Type1,0.30000000000000004,0.5,0.6513550978820071,1.1965259209705437,Correct Identification
Arp_118,Type1,0.30000000000000004,0.6,0.503237344986676,1.0466828643468062,Correct Identification
Arp_118,Type1,0.30000000000000004,0.7,0.36957540341085604,0.928950663030129,Correct Identification
Arp_118,Type1,0.30000000000000004,0.8,0.29200922155643383,0.8198081146635978,Correct Identification
Arp_118,Type1,0.30000000000000004,0.9,0.2560012301639425,0.739525681274344,Correct Identification
Arp_118,Type1,0.30000000000000004,1.0,0.255577563091709,0.6434105967384625,Correct Identification
Arp_118,Type1,0.30000000000000004,1.1,0.24981159079385407,0.5468802653037592,Correct Identification
Arp_118,Type1,0.30000000000000004,1.2,0.2685828086256663,0.45040172221628083,Correct Identification
Arp_118,Type1,0.30000000000000004,1.3,0.2810322034508346,0.35445162164763033,Correct Identification
Arp_118,Type1,0.30000000000000004,1.4,0.28161152225017005,0.280360768078328,Correct Identification
Arp_118,Type1,0.30000000000000004,1.5,0.26175956544039636,0.2564699847506233,Correct Identification
Arp_118,Type1,0.30000000000000004,1.6,0.24864050409531302,0.25941970729795116,Correct Identification
Arp_118,Type1,0.30000000000000004,1.7,0.2608556914943314,0.2631799942964399,Correct Identification
Arp_118,Type1,0.30000000000000004,1.8,0.28312816740141855,0.2734163767396005,Correct Identification
Arp_118,Type1,0.30000000000000004,1.9,0.311331007400252,0.2790452757647124,Correct Identification
Arp_118,Type1,0.30000000000000004,2.0,0.3392605135118245,0.28699782038523125,Correct Identification
Arp_118,Type1,0.30000000000000004,2.1,0.3591371252916211,0.2890127160694469,Correct Identification
Arp_118,Type1,0.30000000000000004,2.2,0.35402339877013134,0.2882757236201847,Correct Identification
Arp_118,Type1,0.30000000000000004,2.3,0.3594637580598956,0.2876691711026069,Correct Identification
Arp_118,Type1,0.30000000000000004,2.4,0.37265573207350045,0.2951790861091119,Correct Identification
Arp_118,Type1,0.30000000000000004,2.5,0.39377249980121576,0.29501676834103563,Correct Identification
Arp_118,Type1,0.30000000000000004,2.6,0.4216664781208088,0.29334047256076445,Correct Identification
Arp_118,Type1,0.30000000000000004,2.7,0.44968106069693903,0.29879983239662167,Missed Selection
Arp_118,Type1,0.30000000000000004,2.8,0.46485680214452074,0.31143309922796547,Missed Selection
Arp_118,Type1,0.30000000000000004,2.9,0.4798263259044191,0.3203111835781556,Missed Selection
Arp_118,Type1,0.30000000000000004,3.0,0.4824250588136678,0.33636787813503943,Missed Selection
Arp_118,Type1,0.30000000000000004,3.1,0.48338487773949623,0.35589746313403126,Missed Selection
Arp_118,Type1,0.30000000000000004,3.2,0.4742957165849617,0.37547566968872914,Missed Selection
Arp_118,Type1,0.30000000000000004,3.3,0.4625189794043223,0.3939524525641751,Missed Selection
Arp_118,Type1,0.30000000000000004,3.4,0.4484728913135605,0.41300173538762763,Missed Selection
Arp_118,Type1,0.30000000000000004,3.5,0.44449951327106163,0.4229641008186533,Missed Selection
Arp_118,Type1,0.30000000000000004,3.6,0.43371413047828966,0.43385463717547523,Correct Identification
Arp_118,Type1,0.30000000000000004,3.7,0.41827367050132835,0.4398323060338605,Correct Identification
Arp_118,Type1,0.30000000000000004,3.8,0.4026211906539423,0.44817007804420683,Correct Identification
Arp_118,Type1,0.30000000000000004,3.9,0.38777405273917864,0.4572358031156014,Correct Identification
Arp_118,Type1,0.30000000000000004,4.0,0.37372615011082644,0.4670349156446818,Correct Identification
Arp_118,Type1,0.4,0.0,1.1722496195637966,0.6733468047606479,Correct Identification
Arp_118,Type1,0.4,0.1,1.1174214056442047,0.7877162927507726,Correct Identification
Arp_118,Type1,0.4,0.2,0.9720061487942218,0.9938537728957115,Correct Identification
Arp_118,Type1,0.4,0.3,0.8496698641129825,1.1415632106815394,Correct Identification
Arp_118,Type1,0.4,0.4,0.7062390179313667,1.2008586603456308,Correct Identification
Arp_118,Type1,0.4,0.5,0.584797226328206,1.1215835773193312,Correct Identification
Arp_118,Type1,0.4,0.6,0.45419137793133757,0.9700733595164692,Correct Identification
Arp_118,Type1,0.4,0.7,0.33821903983909607,0.851225634988019,Correct Identification
Arp_118,Type1,0.4,0.8,0.2708388421730845,0.7438837368002353,Correct Identification
Arp_118,Type1,0.4,0.9,0.23993306442065077,0.667229601279633,Correct Identification
Arp_118,Type1,0.4,1.0,0.23941023714790433,0.5798390336187609,Correct Identification
Arp_118,Type1,0.4,1.1,0.23410137593471703,0.49342803420090675,Correct Identification
Arp_118,Type1,0.4,1.2,0.2495123418081704,0.40880844324009047,Correct Identification
Arp_118,Type1,0.4,1.3,0.2596983653783198,0.3257702390063102,Correct Identification
Arp_118,Type1,0.4,1.4,0.25968216755247653,0.26238949927800803,Correct Identification
Arp_118,Type1,0.4,1.5,0.2431237436086917,0.2420562710949241,Correct Identification
Arp_118,Type1,0.4,1.6,0.2320691550247389,0.24406786160613692,Correct Identification
Arp_118,Type1,0.4,1.7,0.24139324534154483,0.2468466292934579,Correct Identification
Arp_118,Type1,0.4,1.8,0.2589469784489715,0.255352277158039,Correct Identification
Arp_118,Type1,0.4,1.9,0.28137815350646633,0.2598537950115656,Correct Identification
Arp_118,Type1,0.4,2.0,0.30332443346250315,0.2661876361106721,Correct Identification
Arp_118,Type1,0.4,2.1,0.3186438768065756,0.26759598550711416,Correct Identification
Arp_118,Type1,0.4,2.2,0.31445347256087075,0.2668831442901123,Correct Identification
Arp_118,Type1,0.4,2.3,0.31910103447878413,0.2660670676288923,Correct Identification
Arp_118,Type1,0.4,2.4,0.3296707527346747,0.2717407297561749,Correct Identification
Arp_118,Type1,0.4,2.5,0.34681853693079745,0.27112873827210393,Correct Identification
Arp_118,Type1,0.4,2.6,0.36936399944343634,0.26938936431411875,Correct Identification
Arp_118,Type1,0.4,2.7,0.39224438955740126,0.27359787902124566,Missed Selection
Arp_118,Type1,0.4,2.8,0.4054015845430463,0.28351111384560923,Missed Selection
Arp_118,Type1,0.4,2.9,0.4186760504542235,0.2902227835982991,Missed Selection
Arp_118,Type1,0.4,3.0,0.4222949193135861,0.3028638347137331,Missed Selection
Arp_118,Type1,0.4,3.1,0.42468833169237286,0.318435529440265,Missed Selection
Arp_118,Type1,0.4,3.2,0.4196956727446519,0.33415627627649513,Missed Selection
Arp_118,Type1,0.4,3.3,0.4128204876262771,0.3489420095426361,Missed Selection
Arp_118,Type1,0.4,3.4,0.40381835471874084,0.36425585713572417,Missed Selection
Arp_118,Type1,0.4,3.5,0.4024883124048131,0.3725647871986446,Missed Selection
Arp_118,Type1,0.4,3.6,0.39552805706668437,0.3816721315787106,Correct Identification
Arp_118,Type1,0.4,3.7,0.3847800580151386,0.38680841952168876,Correct Identification
Arp_118,Type1,0.4,3.8,0.373789833983313,0.3940810927153322,Correct Identification
Arp_118,Type1,0.4,3.9,0.36331775192622473,0.4021278356373088,Correct Identification
Arp_118,Type1,0.4,4.0,0.3534641483225158,0.4107801252965295,Correct Identification
Arp_118,Type1,0.5,0.0,1.1206682020885275,0.660511559093262,Correct Identification
Arp_118,Type1,0.5,0.1,1.0571768891384004,0.7686167370511257,Correct Identification
Arp_118,Type1,0.5,0.2,0.9079208694365235,0.9622039334003354,Correct Identification
Arp_118,Type1,0.5,0.3,0.7834654218461452,1.0957969778643317,Correct Identification
Arp_118,Type1,0.5,0.4,0.6460200529515987,1.1424976718425555,Correct Identification
Arp_118,Type1,0.5,0.5,0.5340525204088991,1.0572819193570737,Correct Identification
Arp_118,Type1,0.5,0.6,0.41728468071333324,0.9060842584682902,Correct Identification
Arp_118,Type1,0.5,0.7,0.3149481150177955,0.7881054693613514,Correct Identification
Arp_118,Type1,0.5,0.8,0.2553832597896317,0.6838657222623503,Correct Identification
Arp_118,Type1,0.5,0.9,0.22833993423952847,0.611178922657146,Correct Identification
Arp_118,Type1,0.5,1.0,0.22780931762306977,0.5311826191274953,Correct Identification
Arp_118,Type1,0.5,1.1,0.22289259353756918,0.45311021759113856,Correct Identification
Arp_118,Type1,0.5,1.2,0.23597858243777736,0.37782530075316245,Correct Identification
Arp_118,Type1,0.5,1.3,0.2446023893811642,0.304652846242373,Correct Identification
Arp_118,Type1,0.5,1.4,0.24422136858451893,0.24931362001287738,Correct Identification
