alpha,completeness
0.0,0.2578125
0.1,0.28125
0.2,0.265625
0.30000000000000004,0.234375
0.4,0.1953125
0.5,0.1640625
0.6000000000000001,0.1328125
0.7000000000000001,0.1015625
0.8,0.0859375
0.9,0.0625
1.0,0.0625
