id,zpk,field
19948,1.177,COSMOS
11598,0.5487,COSMOS
19654,0.3032,COSMOS
828,1.128,COSMOS
1956,0.9959,COSMOS
2764,1.645,COSMOS
20321,0.2047,COSMOS
1385,0.9163,COSMOS
1676,0.967,COSMOS
13712,0.6051,COSMOS
16349,0.2687,COSMOS
6148,0.3963,COSMOS
20485,0.3238,COSMOS
20474,0.2532,COSMOS
7245,1.7548,COSMOS
17211,0.2266,COSMOS
2633,1.0637,COSMOS
14675,0.8901,COSMOS
12920,0.4569,COSMOS
11114,1.6464,COSMOS
1293,0.9268,COSMOS
9508,0.2814,COSMOS
20596,0.3075,COSMOS
2665,1.1887,COSMOS
17214,0.2155,COSMOS
4959,1.6707,COSMOS
3230,0.69,COSMOS
5867,1.3956,COSMOS
5139,0.9595,COSMOS
4076,1.2288,COSMOS
12277,0.9458,COSMOS
980,0.6599,COSMOS
12371,0.2601,COSMOS
17769,0.2181,COSMOS
6254,0.9153,COSMOS
9043,1.441,COSMOS
12303,0.2252,COSMOS
5619,0.2485,COSMOS
12503,0.4607,COSMOS
18116,1.7453,COSMOS
2064,1.9405,COSMOS
10073,1.7419,COSMOS
5950,0.6152,COSMOS
9393,0.8644,COSMOS
2836,1.7326,COSMOS
8296,0.9495,COSMOS
19627,0.2239,COSMOS
13822,0.2975,COSMOS
14494,0.9451,COSMOS
8483,0.22,COSMOS
15501,0.9825,COSMOS
9794,1.0658,COSMOS
19498,0.228,COSMOS
14738,0.9967,COSMOS
8691,0.579,COSMOS
1748,0.4127,COSMOS
10084,0.9862,COSMOS
9085,0.4828,COSMOS
1433,0.564,COSMOS
12855,0.5448,COSMOS
10945,0.4506,UDS
13931,1.8917,UDS
19837,1.7331,UDS
13182,0.7598,UDS
21136,0.8119,UDS
14952,0.4995,UDS
7063,0.574,UDS
17730,1.2274,UDS
9316,0.7341,UDS
8992,0.6619,UDS
15218,1.5984,UDS
7580,1.3287,UDS
19820,0.3482,UDS
4525,0.7585,UDS
15018,0.8983,UDS
15038,1.9448,UDS
19570,1.4413,UDS
10538,1.6753,UDS
6532,0.5985,UDS
14195,1.1121,UDS
8587,0.9965,UDS
2474,1.2307,UDS
12851,1.4393,UDS
15202,0.7962,UDS
7999,0.5942,UDS
15832,1.0904,UDS
18508,1.5698,UDS
1326,1.3917,UDS
14296,1.0101,UDS
4568,1.2432,UDS
5625,0.6408,UDS
8591,1.0336,UDS
8253,0.9418,UDS
15501,1.5114,UDS
9503,0.5485,UDS
13453,1.5122,UDS
3119,1.4151,UDS
