recno,id,xpos,ypos,RAJ2000,DEJ2000,SE,isoArea,FKsap,e_FKsap,apcorr,KsR,FKsapD,e_FKsapD,apcorrD,FKsD,e_FKsD,FKsauto,R50,amaj,bmin,Rad,FKsall,e_FKsall,w_FKsall,Fu,e_Fu,w_Fu,FB,e_FB,w_FB,FV,e_FV,w_FV,FR,e_FR,w_FR,Fi,e_Fi,w_Fi,Fz,e_Fz,w_Fz,FJ1,e_FJ1,w_FJ1,FJ2,e_FJ2,w_FJ2,FJ3,e_FJ3,w_FJ3,FHs,e_FHs,w_FHs,FHl,e_FHl,w_FHl,FKs,e_FKs,w_FKs,FJ,e_FJ,w_FJ,FH,e_FH,w_FH,FK,e_FK,w_FK,FKsHI,e_FKsHI,w_FKsHI,F125W,e_F125W,w_F125W,F140W,e_F140W,w_F140W,F160W,e_F160W,w_F160W,F606W,e_F606W,w_F606W,F814W,e_F814W,w_F814W,FY,e_FY,w_FY,F3.6,e_F3.6,w_F3.6,F4.5,e_F4.5,w_F4.5,F5.8,e_F5.8,w_F5.8,F8.0,e_F8.0,w_F8.0,wminOpt,wminHST1,wminfs,wminjhk,wminHST2,wminIRAC,wminAll,Star,Nghb,Use,SNR,zspec,Simbad,U,eU,V,eV,J,eJ,zpk,lssfr,lmass,field,mag_U,mag_V,mag_J,e_mag_U,e_mag_V,e_mag_J,GalaxyType
6494,6494,742.981,1820.379,34.3981972,-5.2408414,2,142.0,3.97284,0.05519,1.105534,2.16835,4.8518,0.05581,1.771907,8.59695,0.09889,7.79216,2.412,2.746,2.555,7.946,8.6145,0.19698,1.37,0.288867,0.07341,1.0,0.375821,0.01259,1.0,0.807701,0.01536,1.0,1.92537,0.0197,1.0,3.14143,0.02005,1.0,4.19717,0.05539,1.0,5.16307,0.14259,1.18,5.45976,0.1257,1.22,6.21946,0.15354,1.13,7.35986,0.26544,1.05,8.23209,0.25955,1.11,8.46201,0.60208,0.65,5.72079,0.15597,1.0,7.76311,0.31479,1.0,8.73696,0.2018,0.94,8.8014,0.22777,1.22,5.92645,0.10301,1.0,6.56852,0.18331,1.03,7.20773,0.09717,0.98,1.25671,0.0646,1.42,3.43533,0.07499,1.16,4.9039,0.0707,1.01,7.0769,0.12847,1.0,4.87467,0.14205,1.01,4.40986,2.95625,1.0,-2.14882,4.18657,1.0,1.0,0.65,1.16,1.37,0.94,1.0,1.37,0,0,1,86.93244,,b'Simbad',0.394546,0.0310432,1.44542,0.0484709,3.1053,0.00236001,0.6155,-10.35,9.15,UDS_,26.00975588809753,24.600014850816954,23.76974109173714,28.770083792736393,28.286297290727923,31.567715392007344,0.0
6594,6594,1047.933,1851.081,34.3854332,-5.239562,0,468.0,5.95834,0.05091,1.028014,4.406885,5.08344,0.05148,1.771907,9.00739,0.09122,25.54219,5.83,5.811,4.052,14.557,26.25774,0.34654,1.62,4.97013,0.14905,1.0,5.96934,0.02552,1.0,11.5322,0.03122,1.0,14.56,0.04006,1.0,16.3618,0.04083,1.0,18.88599,0.11271,1.0,20.2745,0.28329,1.22,21.0974,0.25258,1.24,23.05121,0.3015,1.2,25.3924,0.51054,1.16,26.2043,0.51394,1.17,27.2503,0.83588,1.36,23.32023,0.31903,1.0,26.27905,0.6431,1.0,26.34415,0.40561,0.97,26.72669,0.43503,1.39,22.2082,0.21356,0.96,23.2895,0.43688,0.75,24.1412,0.19545,1.0,12.6353,0.11833,1.75,16.97345,0.13979,1.37,20.1862,0.13628,1.12,13.0163,0.16966,0.97,10.34009,0.21315,1.02,2.13115,3.9454,1.0,8.33365,5.27264,1.0,1.0,0.75,1.37,1.62,0.97,1.0,1.61,0,0,1,98.73908,,b'Simbad',2.53742,0.151222,5.48161,0.169557,9.1858,0.118908,0.2891,-9.38,8.88,UDS_,23.989019103343374,23.152729666096125,22.59220753648584,27.050962556088876,26.92671069019956,27.311972313853246,1.0
7200,7200,782.907,1952.831,34.3965263,-5.2353225,0,119.0,3.01023,0.05539,1.110414,2.246234,3.5339,0.05602,1.771907,6.26174,0.09926,6.08932,2.61,2.786,2.406,7.767,6.76167,0.19325,1.36,0.207873,0.07614,1.0,0.285272,0.01304,1.0,0.554227,0.01589,1.0,1.27006,0.02043,1.0,2.14787,0.02078,1.0,2.90711,0.05737,1.0,4.06576,0.14783,1.18,4.12418,0.13045,1.22,4.70184,0.15741,1.15,5.51237,0.26616,1.12,5.9538,0.26544,1.14,6.13694,0.57514,0.76,4.30221,0.16168,1.0,5.90636,0.32616,1.0,6.90056,0.20943,0.94,6.96988,0.22594,1.34,4.30724,0.10825,0.97,5.08672,0.19002,1.03,5.38191,0.09865,1.02,0.93199,0.07899,1.02,2.37798,0.09398,0.79,3.61939,0.07122,1.07,5.824,0.15054,0.96,4.53208,0.15363,0.99,-0.0625795,3.26947,1.0,12.00713,4.37585,1.0,1.0,0.76,0.79,1.36,0.94,1.0,1.36,0,0,1,63.08725,,b'Simbad',0.276532,0.0243262,1.01566,0.0412094,2.36845,0.0123447,0.6243,-10.1,9.13,UDS_,26.39563651334584,24.983129127857293,24.063839447915637,29.03481431747185,28.46250927165905,29.771298649491662,0.0
7758,7758,3876.501,2089.244,34.2670784,-5.2296228,0,291.0,12.74004,0.05223,1.068196,2.380368,13.70683,0.05281,1.771907,24.28724,0.09358,28.3899,3.095,3.556,3.049,9.878,30.32598,0.23342,1.53,0.369173,0.08036,1.0,0.517608,0.01381,1.0,1.0472,0.01702,1.0,1.70254,0.02181,1.0,3.67992,0.02224,1.0,6.09619,0.06146,1.0,8.44488,0.15811,1.21,10.2304,0.14036,1.23,14.47738,0.16349,1.2,17.7059,0.28125,1.18,20.60268,0.28951,1.17,30.5321,0.45821,1.34,13.52275,0.17042,1.0,19.77159,0.34521,1.0,32.19484,0.20872,1.06,29.51961,0.25764,1.16,12.6992,0.11012,1.02,14.9428,0.20304,0.96,17.2609,0.10213,1.01,1.37763,0.06913,1.48,4.53085,0.07168,1.46,7.97705,0.07695,1.02,42.7046,0.13436,0.91,33.04283,0.13888,1.11,24.0375,3.36634,1.0,12.95692,4.08636,1.0,1.0,0.96,1.46,1.53,1.0,1.0,1.53,0,0,1,259.5381,,b'Simbad',0.757472,0.0250524,2.91135,0.0651725,12.7039,0.217665,0.8784,-9.79,9.92,UDS_,25.301583540629302,23.839763952281142,22.240157333738274,29.002876656844244,27.96483904815623,26.655528497090504,2.0
7833,7833,870.943,2116.959,34.3928413,-5.2284832,3,561.0,22.73325,0.05421,1.035406,3.145492,22.33046,0.05482,1.771907,39.56749,0.09714,69.06207,4.252,4.745,4.13,13.28,71.50725,0.33417,1.42,1.73939,0.10674,1.0,2.94681,0.01826,1.0,5.1026,0.02223,1.0,10.673,0.02867,1.0,16.5207,0.02913,1.0,22.58715,0.0804,1.0,30.8934,0.20515,1.2,34.258,0.18112,1.24,38.83665,0.21638,1.19,52.2542,0.36671,1.15,59.46313,0.36704,1.17,73.5779,0.70317,0.99,37.92985,0.22696,1.0,57.95654,0.45744,1.0,74.06907,0.29418,0.94,71.31328,0.31792,1.34,36.2652,0.14698,1.03,42.3298,0.24213,1.24,49.2915,0.13542,1.06,7.27581,0.10165,1.21,17.72895,0.12448,0.88,27.5829,0.10327,1.0,68.4947,0.208,0.94,48.50535,0.21191,1.01,39.7635,3.75196,1.0,32.72258,5.49518,1.0,1.0,0.88,0.88,1.42,0.94,1.0,1.42,0,0,1,407.3427,,b'Simbad',2.16727,0.123447,7.36482,0.212401,24.4437,0.186441,0.5725,-11.17,9.82,UDS_,24.160217451504707,22.832094657682035,21.529582637648904,27.271298649491662,26.682108607236078,26.823646440848883,2.0
7888,7888,520.426,2133.691,34.4075089,-5.2277861,0,643.0,30.63415,0.0605,1.035851,3.453032,29.03973,0.06118,1.771907,51.4557,0.10841,102.1196,4.676,5.972,3.249,13.215,105.7807,0.3693,1.15,3.25874,0.11717,1.0,3.9396,0.0201,1.0,5.84156,0.02442,1.0,11.7341,0.03146,1.0,17.6677,0.03196,1.0,24.68606,0.088,1.0,36.5822,0.3377,0.55,39.0157,0.30526,0.54,46.49398,0.39871,0.43,66.1734,0.87378,0.25,82.86233,0.82767,0.28,107.216,1.30061,0.36,44.76295,0.24722,1.0,78.13897,0.49919,1.0,112.37715,0.32312,0.93,107.52815,0.43251,0.87,43.9019,0.16402,0.99,53.9675,0.30354,0.95,66.4242,0.14879,1.05,8.50815,0.10162,1.46,19.58727,0.11614,1.22,33.0814,0.14005,0.65,114.798,0.18192,0.98,85.01697,0.19218,0.98,86.5098,3.68221,1.0,67.36637,5.03908,1.0,1.0,0.25,1.22,1.15,0.65,1.0,1.14,0,0,1,474.6388,,b'Simbad',2.53047,0.134883,8.13092,0.239995,35.4275,0.362533,0.5846,-8.27,9.91,UDS_,23.9919970177628,22.72465077982841,21.126648733230862,27.175106958129952,26.549494515460875,26.10163113779728,2.0
8433,8433,4142.448,2220.502,34.2559509,-5.2241507,3,199.0,5.70178,0.05223,1.07154,2.561113,5.73913,0.05281,1.771907,10.1692,0.09358,13.62795,3.507,3.567,2.9,9.649,14.6029,0.22768,1.53,0.31879,0.08607,1.0,0.439155,0.01488,1.0,0.618126,0.01832,1.0,0.966951,0.0235,1.0,1.2978,0.02393,1.0,1.93966,0.06624,1.0,3.32843,0.16863,1.22,3.99323,0.15127,1.22,5.34539,0.1754,1.21,8.27029,0.30038,1.18,8.70121,0.30921,1.18,15.4261,0.49234,1.34,5.20121,0.18334,1.0,7.6832,0.37146,1.0,15.23386,0.2204,1.1,13.75501,0.28089,1.14,4.76709,0.10208,1.37,6.09,0.21812,0.96,7.57083,0.11047,1.0,0.721536,0.09098,0.99,1.41479,0.09351,0.99,3.169,0.084,0.99,33.1395,0.14127,1.03,39.43097,0.16666,1.01,30.6724,3.35234,1.0,23.29934,4.92597,1.0,1.0,0.96,0.99,1.53,0.99,1.0,1.53,0,0,1,108.67,,b'Simbad',0.711244,0.0352186,1.9918,0.0698925,10.0598,0.18281,1.4737,-8.08,10.05,UDS_,25.369953460641153,24.25188567991265,22.493526633627614,28.633069779947924,27.888923562186932,26.845000128370433,2.0
8676,8676,1322.163,2258.419,34.3739624,-5.2225876,0,117.0,3.64562,0.05223,1.129285,2.121241,4.59762,0.05281,1.771907,8.14655,0.09358,6.84792,2.179,2.429,2.349,7.166,7.73325,0.16833,1.53,0.0671343,0.07185,1.0,0.126304,0.01228,1.0,0.411004,0.01504,1.0,1.03033,0.01938,1.0,1.99369,0.01968,1.0,2.98457,0.05427,1.0,3.82142,0.13717,1.22,4.28978,0.1217,1.24,5.14463,0.14555,1.2,5.70623,0.24274,1.17,7.17014,0.24758,1.16,7.84651,0.4003,1.37,4.80647,0.15417,1.0,6.72486,0.31048,1.0,8.44608,0.1955,0.98,7.78298,0.21539,1.35,5.01935,0.10136,0.98,5.46171,0.18568,0.95,6.29014,0.09229,1.03,0.677497,0.05583,1.84,2.2816,0.06145,1.63,3.87114,0.11279,0.38,7.29087,0.1336,1.09,4.51521,0.14889,1.13,0.173298,2.91887,1.0,1.79314,3.61038,1.0,1.0,0.38,1.63,1.53,0.38,1.0,1.53,0,0,1,87.05559,,b'Simbad',0.23355,0.0254155,1.1063,0.0502863,2.81658,0.0275939,0.6737,-11.09,9.38,UDS_,26.579050320940496,24.89031771902144,23.87569477220673,28.987253354967628,28.24637579505476,28.897967284795122,0.0
9123,9123,1540.187,2363.958,34.3648376,-5.2181892,0,232.0,12.57889,0.05172,1.087037,2.26699,14.77518,0.0523,1.771907,26.18024,0.09267,26.23297,2.681,3.057,2.788,8.758,28.51621,0.20382,1.56,0.378001,0.07671,1.0,0.605292,0.01311,1.0,1.18752,0.01611,1.0,1.95881,0.02076,1.0,4.28188,0.02104,1.0,7.45955,0.05803,1.0,10.1278,0.14742,1.21,11.693,0.13097,1.22,15.05739,0.15557,1.21,18.7479,0.25943,1.16,21.95384,0.26209,1.17,29.1296,0.42792,1.37,14.13922,0.16495,1.0,20.01043,0.33241,1.0,29.96626,0.20812,0.99,28.30983,0.23266,1.33,13.5649,0.10775,0.99,15.607,0.19803,0.95,17.8803,0.09842,1.03,1.50098,0.0737,1.21,5.13181,0.0855,0.96,9.45298,0.0722,1.06,36.9176,0.13995,0.97,27.48316,0.14074,1.13,23.9117,3.14938,1.0,8.43346,3.88957,1.0,1.0,0.95,0.96,1.56,0.99,1.0,1.56,0,0,1,282.4966,,b'Simbad',0.878656,0.0413909,3.47992,0.0922218,11.6901,0.162477,0.8826,-12.26,9.97,UDS_,25.14045280248339,23.646076849873424,22.330454434400266,28.457737825591224,27.58791601350996,26.973020271021202,2.0
9162,9162,2537.216,2354.314,34.3231201,-5.2185869,0,94.0,2.33437,0.0524,1.123968,2.147862,2.60198,0.05299,1.771907,4.61048,0.09389,4.4609,2.657,2.553,2.333,7.322,5.01391,0.17245,1.52,1.26457,0.07227,1.0,1.3297,0.01247,1.0,1.51356,0.01526,1.0,2.01451,0.0198,1.0,2.7133,0.01993,1.0,3.52611,0.05533,1.0,3.40223,0.15878,0.95,4.30878,0.13877,0.98,3.94476,0.16668,0.96,4.19501,0.2722,0.97,4.86119,0.27898,0.94,5.45981,0.48393,0.96,4.32374,0.1553,1.0,4.65783,0.31623,1.0,5.23999,0.19336,1.01,4.78131,0.23246,1.21,3.88341,0.10043,1.01,4.43201,0.18536,0.96,4.06687,0.09405,0.99,1.69919,0.07739,0.97,3.03287,0.07861,1.01,3.24063,0.06974,1.04,5.04026,0.12398,1.1,3.46578,0.1474,1.01,1.87082,2.84389,1.0,13.68976,3.87526,1.0,1.0,0.94,0.97,1.52,1.0,1.0,1.52,0,0,1,49.10715,,b'Simbad',0.744197,0.0172462,1.22409,0.0152493,1.896,0.0281385,0.8123,-8.82,8.8,UDS_,25.320780212587046,24.78046662486659,24.30540416749488,29.408266454495926,29.541875229008518,28.87674764385997,1.0
9347,9347,3892.656,2381.488,34.2664032,-5.2174449,0,38.0,0.48596,0.0524,1.211681,2.153201,0.5144,0.05299,1.771907,0.91146,0.09389,0.86356,2.63,1.909,1.816,5.586,1.04636,0.13466,1.52,0.454602,0.07257,1.0,0.284102,0.01253,1.0,0.302436,0.01537,1.0,0.266759,0.01979,1.0,0.277554,0.02012,1.0,0.36662,0.05566,1.0,0.357782,0.14172,1.22,0.782083,0.12539,1.24,0.67952,0.14798,1.21,0.624937,0.25207,1.18,0.74272,0.25825,1.19,1.0957,0.41506,1.34,0.74702,0.15472,1.0,0.90028,0.31334,1.0,1.20338,0.18806,1.07,0.81489,0.23013,1.2,0.78516,0.10023,1.0,0.79197,0.18379,0.96,0.794165,0.09249,1.01,0.20695,0.07609,1.0,0.28248,0.07906,0.98,0.593646,0.0699,1.01,1.19284,0.12551,0.93,0.76138,0.14153,0.95,-7.38072,2.89147,1.0,5.31069,4.56937,1.0,1.0,0.96,0.98,1.52,1.0,1.0,1.52,0,0,1,9.708165,,b'Simbad',0.129748,0.00562771,0.26156,0.0032677,0.42226,0.0074431,1.4116,-9.27,8.89,UDS_,27.217248319645932,26.456071678273183,25.93605014158366,30.624170725430083,31.21439455471038,30.32061536527175,1.0
9635,9635,1139.878,2438.105,34.381588,-5.2151003,3,20.0,0.45229,0.05206,1.359678,1.840087,0.44934,0.05264,1.771907,0.79619,0.09327,0.6121,2.07,1.659,1.247,4.315,0.83226,0.11073,1.53,0.735809,0.06247,1.0,0.740683,0.01066,1.0,0.691385,0.01302,1.0,0.612101,0.01685,1.0,0.599434,0.01707,1.0,0.60897,0.04713,1.0,0.68517,0.11917,1.21,0.954602,0.10517,1.24,1.07381,0.12635,1.2,0.866145,0.21107,1.16,1.16889,0.21419,1.17,0.842618,0.34883,1.37,0.83363,0.13369,1.0,1.1874,0.26897,1.0,0.68217,0.17237,0.95,0.9118,0.18732,1.33,1.02185,0.08772,0.99,0.99847,0.16271,0.93,0.803091,0.08072,1.02,0.611145,0.06739,0.95,0.51445,0.07192,0.9,0.96408,0.05836,1.07,1.78341,0.2053,1.01,1.76375,0.22637,1.05,2.05115,4.66278,1.0,-3.99351,5.63698,1.0,1.0,0.9,0.9,1.53,0.95,1.0,1.54,0,0,1,8.535978,,b'Simbad',0.274515,0.00508309,0.336372,0.0074431,0.593306,0.00617233,1.6867,-8.64,8.77,UDS_,26.403584799808442,26.182950406379693,25.566803149240155,30.73468050178232,30.32061536527175,30.523877156721603,1.0
9707,9707,950.25,2476.819,34.3895226,-5.2134876,0,152.0,4.68652,0.05257,1.104204,2.142252,5.67438,0.05316,1.771907,10.05447,0.0942,9.09227,2.401,2.716,2.615,7.995,10.03972,0.18877,1.51,0.0479589,0.0728,1.0,0.205823,0.01244,1.0,0.580259,0.01514,1.0,1.46346,0.01962,1.0,2.72196,0.01986,1.0,3.93668,0.0549,1.0,5.12945,0.1387,1.21,5.46697,0.12356,1.22,6.65284,0.1472,1.2,8.01306,0.24511,1.17,8.52927,0.24951,1.17,9.83033,0.42009,1.29,6.30535,0.15524,1.0,8.74603,0.31229,1.0,10.30682,0.20354,0.92,10.04124,0.21656,1.34,,,0.0,6.8542,0.12247,2.23,8.48895,0.20264,0.22,0.890007,0.07832,0.95,3.16569,0.08478,0.88,4.8686,0.06891,1.04,8.36601,0.13998,1.04,5.62499,0.15185,1.06,1.20956,3.20809,1.0,4.7588,3.46356,1.0,1.0,0.0,0.88,1.51,0.92,1.0,1.51,0,0,1,106.7394,,b'Simbad',0.281182,0.0285016,1.3517,0.0617233,3.46343,0.0245078,0.6148,-11.09,9.39,UDS_,26.377531210827573,24.67279921551587,23.651233963853727,28.862826898078144,28.023877156721603,29.026739181145906,0.0
9950,9950,3478.791,2524.461,34.2837219,-5.2114906,0,167.0,2.76,0.05825,1.076147,2.616794,2.73552,0.0589,1.771907,4.84708,0.10437,6.7113,3.542,3.743,2.6,9.359,7.22234,0.24493,1.24,1.68748,0.08838,1.0,1.71496,0.01523,1.0,1.99992,0.0186,1.0,3.55663,0.02412,1.0,4.26094,0.02441,1.0,4.60584,0.06765,1.0,5.38123,0.1771,1.15,5.10616,0.15429,1.19,5.24167,0.18307,1.18,6.23223,0.31459,1.11,6.53376,0.31852,1.14,7.40812,0.52618,1.23,5.57964,0.1888,1.0,6.87676,0.38308,1.0,7.00612,0.23293,1.03,7.51404,0.35699,0.74,5.44188,0.1215,1.0,5.68894,0.21066,1.08,6.2421,0.11356,0.99,2.65823,0.09242,1.0,4.44437,0.09357,1.04,4.96014,0.10528,0.66,5.32621,0.13083,0.99,3.41556,0.157,1.03,10.2982,3.22096,1.0,0.01402,4.42949,1.0,1.0,0.66,1.0,1.24,0.66,1.0,1.23,0,0,1,46.44193,,b'Simbad',0.899903,0.039757,1.60238,0.0199693,2.58264,0.00290462,0.6014,-8.86,8.82,UDS_,25.114510750943527,24.488086210746268,23.969840317231913,28.501465985523406,29.24909289634422,31.34227669148696,1.0
10054,10054,1392.021,2559.585,34.3710365,-5.2100382,3,210.0,3.94628,0.05275,1.057799,2.597922,4.09705,0.05334,1.771907,7.25959,0.09451,9.69195,3.506,4.059,3.13,10.693,10.25213,0.25572,1.51,0.0216868,0.08812,1.0,0.154828,0.01503,1.0,0.549167,0.01843,1.0,1.30129,0.02383,1.0,2.4471,0.02411,1.0,3.65804,0.06658,1.0,4.5306,0.17558,1.11,5.09127,0.15563,1.12,6.41719,0.18463,1.13,7.44606,0.31578,1.02,8.75976,0.31599,1.06,10.4083,0.52167,1.22,5.78205,0.18925,1.0,7.88456,0.38078,1.0,10.60725,0.24268,0.96,10.7536,0.2766,1.22,5.73832,0.12331,1.0,6.69291,0.2283,0.94,7.50247,0.11328,1.03,0.721188,0.08319,1.25,2.67372,0.08756,1.21,4.54254,0.08694,0.96,9.81673,0.14052,1.01,8.34597,0.17324,1.01,5.75395,3.5265,1.0,-9.00279,4.55833,1.0,1.0,0.94,1.21,1.51,0.96,1.0,1.5,0,0,1,76.81309,,b'Simbad',0.254498,0.0259601,1.23732,0.0648094,3.63989,0.0366709,0.6248,-10.9,9.34,UDS_,26.485789065659674,24.76879491773872,23.59727935208262,28.964234097344374,27.97090499797549,28.58919607795933,0.0
10830,10830,1406.73,2714.992,34.3704224,-5.2035623,0,186.0,2.54349,0.05666,1.064373,3.10799,2.37596,0.05729,1.771907,4.20998,0.10152,7.42704,4.165,4.499,2.549,10.159,7.90514,0.2609,1.3,2.10391,0.10546,1.0,2.12566,0.01797,1.0,2.39246,0.02205,1.0,3.9214,0.02855,1.0,4.73836,0.02884,1.0,4.96934,0.07975,1.0,6.03349,0.26924,0.67,6.20818,0.23074,0.72,5.82672,0.28141,0.7,7.46478,0.49424,0.59,6.93429,0.48915,0.63,7.95903,0.75853,0.83,5.98004,0.22663,1.0,6.77351,0.45577,1.0,8.12634,0.29222,0.95,8.35273,0.39084,0.87,5.82432,0.14954,0.98,5.80806,0.19013,1.95,6.75092,0.13865,0.99,3.10489,0.10982,1.03,4.94163,0.11607,0.99,5.39737,0.12102,0.71,5.83279,0.14434,0.99,4.45937,0.17021,0.96,-3.30135,3.33466,1.0,12.08626,4.59594,1.0,1.0,0.59,0.99,1.3,0.71,1.0,1.3,0,0,1,41.4695,,b'Simbad',1.08282,0.0143416,1.82957,0.00816926,2.84197,0.00907695,0.6358,-8.77,8.9,UDS_,24.913609328205478,24.34412742399474,23.86595127705517,29.608505986313425,30.21954320397861,30.10515014210256,1.0
11596,11596,2381.592,2900.5,34.3296318,-5.1958284,3,190.0,7.73984,0.05778,1.089532,2.098167,9.22358,0.05843,1.771907,16.34333,0.10353,14.90501,2.461,3.099,2.672,8.633,16.23948,0.22432,1.25,0.29439,0.07074,1.0,0.752188,0.01216,1.0,1.7363,0.01488,1.0,3.71784,0.0194,1.0,5.26894,0.01944,1.0,7.16855,0.05412,1.0,9.01769,0.18233,0.66,10.0611,0.16034,0.67,10.60799,0.20797,0.6,14.2205,0.31135,0.68,14.66106,0.32329,0.65,16.5507,0.52601,0.78,11.12103,0.15226,1.0,14.55674,0.30924,1.0,17.53138,0.19176,0.99,16.28086,0.26417,0.88,10.5404,0.10109,0.98,,,0.0,13.024,0.09083,1.04,2.57949,0.06119,1.49,5.95906,0.06421,1.47,8.21601,0.08224,0.72,10.2616,0.12339,1.06,8.75826,0.14295,0.97,0.896989,3.24193,1.0,5.60727,4.07366,1.0,1.0,0.0,1.47,1.25,0.72,1.0,1.25,0,0,1,157.8602,,b'Simbad',0.482749,0.0295909,2.02354,0.0413909,5.56286,0.0644464,0.441,-10.72,9.28,UDS_,25.790696542938907,24.23472051585391,23.13675467443004,28.822104564194596,28.457737825591224,27.977003343712898,0.0
12742,12742,626.327,3175.952,34.4030762,-5.1843548,0,723.0,75.23106,0.05873,1.050016,2.46561,86.05994,0.05963,1.771907,152.4902,0.10567,176.6548,3.088,4.215,3.447,11.435,185.4904,0.30717,1.21,4.56919,0.0835,1.0,7.15394,0.01425,1.0,17.6485,0.01748,1.0,30.78,0.02261,1.0,41.8006,0.02282,1.0,60.98646,0.06381,1.0,78.6267,0.1842,0.88,88.2438,0.1694,0.83,102.62041,0.20485,0.85,139.969,0.33384,0.8,157.97635,0.32759,0.88,194.998,0.58902,0.89,99.71662,0.17803,1.0,148.93013,0.35733,1.0,198.99523,0.23723,0.89,187.56542,0.30902,0.87,94.5151,0.11643,1.03,112.938,0.14944,2.03,130.009,0.10588,1.08,22.4426,0.07351,1.44,46.61207,0.08404,1.2,68.6803,0.10417,0.6,135.002,0.12966,1.0,135.07253,0.15946,0.93,145.785,3.28808,1.0,279.32356,4.51522,1.0,1.0,0.6,1.2,1.21,0.6,1.0,1.21,0,0,1,1443.145,0.364,b'Simbad',3.8011,0.262687,14.4511,0.312247,55.8784,1.20814,0.4063,-9.2,10.0,UDS_,23.550226761879564,22.10024773421534,20.631890094490526,26.45140354822101,26.263754313847375,24.79470684122329,2.0
12875,12875,2188.947,3152.761,34.3376961,-5.1853175,3,93.0,4.45947,0.05365,1.129797,2.039973,4.32855,0.05425,1.771907,7.66979,0.09613,8.05207,2.819,2.602,2.184,7.152,9.0972,0.17258,1.45,0.229198,0.06886,1.0,0.384897,0.01178,1.0,0.764127,0.01446,1.0,1.69732,0.01883,1.0,2.73486,0.01889,1.0,3.812,0.05261,1.0,4.99648,0.14608,0.95,5.49346,0.12807,0.97,5.94367,0.15904,0.97,7.62443,0.25056,0.97,8.40265,0.25523,0.97,8.67373,0.45717,0.98,5.66416,0.14822,1.0,7.33068,0.30018,1.0,9.21548,0.18813,0.98,9.06125,0.21543,1.26,5.99196,0.09713,1.02,6.14677,0.12449,1.98,7.31963,0.0878,1.07,1.05887,0.06065,1.45,3.13438,0.0624,1.49,4.55762,0.06498,1.1,8.16663,0.14468,1.0,5.13722,0.17807,0.93,9.24655,3.87805,1.0,0.72315,5.12212,1.0,1.0,0.95,1.45,1.45,0.98,1.0,1.45,0,0,1,79.78926,,b'Simbad',0.39508,0.0266862,1.38924,0.0553694,3.18635,0.0128893,0.661,-10.1,9.29,UDS_,26.008287387258584,24.64305680165329,23.741766303666093,28.934283158686423,28.14182545653085,29.7244266698423,0.0
12972,12972,4725.565,3185.289,34.2315598,-5.1839418,0,141.0,3.05108,0.05091,1.091391,2.265313,3.04602,0.05148,1.771907,5.39726,0.09122,6.33288,3.093,2.896,2.803,8.547,6.91165,0.19506,1.62,0.0171061,0.07571,1.0,0.144286,0.01322,1.0,0.442405,0.01604,1.0,1.05033,0.02094,1.0,1.97795,0.02111,1.0,2.78906,0.05924,1.0,3.87217,0.15531,1.03,4.23287,0.13948,1.02,4.89609,0.16912,1.05,5.62086,0.27392,1.03,6.29251,0.28021,1.06,6.28745,0.50601,0.97,4.52034,0.16323,1.0,6.40878,0.33189,1.0,7.06155,0.19144,1.15,6.6358,0.24846,1.21,4.54254,0.10674,1.03,4.7466,0.19696,0.96,5.23202,0.09997,1.0,0.619391,0.08062,0.99,2.25832,0.08454,0.98,3.46567,0.07509,1.03,5.56345,0.13533,0.95,3.8964,0.14488,1.01,3.62425,3.08287,1.0,-3.12016,3.49362,1.0,1.0,0.96,0.98,1.62,1.0,1.0,1.61,0,0,1,59.16479,,b'Simbad',0.224637,0.0226924,1.00951,0.044114,2.38737,0.00344924,0.649,-11.09,9.28,UDS_,26.621296773654763,24.98972343666636,24.055200669590683,29.110298924276613,28.388558902869406,31.155691465335973,0.0
13093,13093,4587.445,3220.982,34.237339,-5.182456,0,178.0,2.87683,0.05172,1.074029,2.551939,2.85008,0.0523,1.771907,5.05009,0.09267,6.83548,3.458,3.357,2.981,9.49,7.3415,0.22159,1.56,0.03157,0.0853,1.0,0.233292,0.0149,1.0,0.531177,0.01806,1.0,1.19415,0.02358,1.0,2.14138,0.02377,1.0,3.0156,0.06665,1.0,3.95135,0.17312,1.04,4.56119,0.15255,1.07,5.10357,0.18905,1.06,5.91861,0.30288,1.06,6.46975,0.31619,1.05,7.69968,0.55296,1.03,4.98457,0.18427,1.0,4.91464,0.3744,1.0,7.23322,0.21586,1.15,7.54787,0.28224,1.19,4.55862,0.12035,1.03,5.37162,0.21863,0.99,5.69293,0.11229,1.01,0.763277,0.06043,2.24,2.26765,0.06211,2.3,3.55764,0.08517,1.02,5.82394,0.13747,0.93,3.9846,0.16117,0.95,3.93192,3.37834,1.0,-5.97639,4.23859,1.0,1.0,0.99,2.24,1.56,1.0,1.0,1.56,0,0,1,54.49269,,b'Simbad',0.246927,0.0275939,1.02111,0.0546432,2.56155,0.0304986,0.6181,-10.54,9.19,UDS_,26.518578549877475,24.97731867656589,23.978742906308682,28.897967284795122,28.15615968887046,28.789300239848565,0.0
