recno,id,xpos,ypos,RAJ2000,DEJ2000,SE,isoArea,FKsap,e_FKsap,apcorr,KsR,FKsapD,e_FKsapD,apcorrD,FKsD,e_FKsD,FKsauto,R50,amaj,bmin,Rad,FKsall,e_FKsall,w_FKsall,Fu,e_Fu,w_Fu,FB,e_FB,w_FB,FV,e_FV,w_FV,FR,e_FR,w_FR,Fi,e_Fi,w_Fi,Fz,e_Fz,w_Fz,FJ1,e_FJ1,w_FJ1,FJ2,e_FJ2,w_FJ2,FJ3,e_FJ3,w_FJ3,FHs,e_FHs,w_FHs,FHl,e_FHl,w_FHl,FKs,e_FKs,w_FKs,FJ,e_FJ,w_FJ,FH,e_FH,w_FH,FK,e_FK,w_FK,FKsHI,e_FKsHI,w_FKsHI,F125W,e_F125W,w_F125W,F140W,e_F140W,w_F140W,F160W,e_F160W,w_F160W,F606W,e_F606W,w_F606W,F814W,e_F814W,w_F814W,FY,e_FY,w_FY,F3.6,e_F3.6,w_F3.6,F4.5,e_F4.5,w_F4.5,F5.8,e_F5.8,w_F5.8,F8.0,e_F8.0,w_F8.0,wminOpt,wminHST1,wminfs,wminjhk,wminHST2,wminIRAC,wminAll,Star,Nghb,Use,SNR,zspec,Simbad,U,eU,V,eV,J,eJ,zpk,lssfr,lmass,field,mag_U,mag_V,mag_J,e_mag_U,e_mag_V,e_mag_J,GalaxyType
4403,4403,4927.919,1332.591,34.2230721,-5.2611408,0,172.0,4.87553,0.0605,1.086136,2.143878,4.83048,0.06118,1.771907,8.55917,0.10841,9.6236,2.975,3.143,2.74,8.804,10.45254,0.2397,1.14,0.140191,0.07219,1.0,0.301282,0.01244,1.0,0.729298,0.01533,1.0,1.62922,0.01955,1.0,2.85063,0.02011,1.0,3.96072,0.0558,1.0,4.95561,0.18399,0.71,5.54046,0.1611,0.76,6.94794,0.18619,0.74,8.33901,0.30436,0.81,8.42065,0.32166,0.75,11.1681,0.53532,0.76,6.47584,0.15349,1.0,8.16524,0.31291,1.0,10.03288,0.18132,1.15,10.26779,0.34992,0.52,6.13982,0.09879,1.02,,,0.0,7.67348,0.09173,1.07,1.30272,0.07645,0.99,3.25272,0.07975,0.97,5.16568,0.10054,0.49,8.4767,0.13717,0.94,6.35373,0.14766,1.06,0.420331,3.18795,1.0,-5.8612,3.68128,1.0,1.0,0.0,0.97,1.14,0.49,1.0,1.14,0,0,1,78.95164,,b'Simbad',0.316424,0.0323139,1.30671,0.0740679,3.54346,0.0702556,0.5771,-10.54,9.28,UDS_,26.24932645933071,24.709551963287236,23.62643116341344,28.72652655835537,27.825924921121818,27.883297632216706,0.0
4789,4789,5029.47,1410.674,34.2188225,-5.2578859,0,92.0,1.37009,0.06493,1.118809,2.201035,1.26047,0.06565,1.771907,2.23344,0.11633,2.69539,3.189,2.581,2.41,7.482,3.01562,0.21827,0.99,0.106811,0.07414,1.0,0.195743,0.01277,1.0,0.337766,0.01573,1.0,0.610117,0.02007,1.0,0.909816,0.02064,1.0,1.1838,0.05727,1.0,1.62995,0.26138,0.37,1.94574,0.21422,0.45,2.14382,0.25273,0.42,2.61622,0.41294,0.47,1.88839,0.43477,0.43,3.21746,0.71966,0.44,1.69315,0.1576,1.0,2.16437,0.32114,1.0,2.77044,0.19237,1.08,3.10548,0.44258,0.34,,,0.0,,,0.0,,,0.0,0.364518,0.079,0.98,0.93092,0.08142,0.98,1.51734,0.11928,0.37,2.28238,0.13841,0.87,1.85524,0.15561,0.99,2.80165,3.43514,1.0,-4.85963,3.78919,1.0,1.0,0.0,0.98,0.99,0.34,1.0,0.99,0,0,1,19.19858,,b'Simbad',0.136232,0.0148862,0.388341,0.025597,0.948029,0.0246893,0.5553,-9.76,8.75,UDS_,27.16430216881347,26.026966888470277,25.057945943713534,29.568040376111796,28.979527328887613,29.018728057920974,1.0
5013,5013,876.292,1482.375,34.3926163,-5.2549262,3,168.0,3.81041,0.05223,1.082745,2.475598,4.19618,0.05281,1.771907,7.43523,0.09358,8.71215,3.099,3.618,2.477,8.981,9.43304,0.21122,1.53,1.60717,0.08354,1.0,1.85838,0.01433,1.0,2.85322,0.01761,1.0,4.4826,0.02252,1.0,5.19547,0.02291,1.0,6.00425,0.0635,1.0,6.7398,0.15901,1.21,7.02059,0.14142,1.23,7.50491,0.16994,1.2,8.61949,0.2867,1.16,8.18563,0.29071,1.15,9.39733,0.54727,1.02,7.03985,0.17924,1.0,8.39393,0.36149,1.0,9.52106,0.22594,0.98,9.46427,0.24513,1.4,7.17334,0.11662,1.02,7.80375,0.20716,1.04,8.33258,0.10995,0.99,3.50542,0.09043,0.94,5.44586,0.10029,0.85,7.06641,0.07642,1.13,6.21969,0.13347,1.15,5.2634,0.1577,1.05,5.48718,2.81345,1.0,1.86431,4.00538,1.0,1.0,0.85,0.85,1.53,0.98,1.0,1.53,0,0,1,79.45433,,b'Simbad',0.98815,0.0341293,1.95783,0.0364893,3.21605,0.0147047,0.4918,-9.2,8.87,UDS_,25.012942812550083,24.270562552613093,23.73169301971312,28.66718154778091,28.594586169832645,29.58135957846583,1.0
5073,5073,3677.24,1525.136,34.2754097,-5.2531309,0,816.0,40.6937,0.05383,1.031499,2.893968,41.08769,0.05444,1.771907,72.80357,0.09646,114.17,4.016,5.796,3.713,13.917,117.7663,0.34956,1.44,3.51163,0.0981,1.0,5.29618,0.01679,1.0,11.4301,0.0207,1.0,22.4445,0.02644,1.0,30.9695,0.02704,1.0,42.49542,0.07468,1.0,51.2272,0.18944,1.22,57.7765,0.1691,1.24,71.01848,0.19768,1.21,88.0059,0.34151,1.18,95.20597,0.35041,1.18,119.983,0.55192,1.36,69.13682,0.20731,1.0,97.2083,0.42079,1.0,123.26881,0.25551,1.05,111.3857,0.32846,1.04,67.1865,0.1349,1.01,77.5937,0.24805,0.96,87.892,0.12595,0.99,15.8317,0.0786,1.7,34.22118,0.08023,1.74,49.7281,0.10024,0.89,75.7836,0.15353,0.91,62.00884,0.1813,0.93,42.4338,3.51417,1.0,56.3891,5.06371,1.0,1.0,0.89,1.7,1.44,0.89,1.0,1.44,0,0,1,754.764,,b'Simbad',2.84842,0.162114,11.1924,0.29373,35.777,0.533906,0.3974,-9.82,9.99,UDS_,23.863489933801073,22.377691942973804,21.115990197576266,26.975448695756526,26.330129236782145,25.68133799635565,2.0
5283,5283,878.034,1518.369,34.3925438,-5.2534261,0,30.0,0.49356,0.05189,1.228704,1.963338,0.59395,0.05247,1.771907,1.05243,0.09297,0.78866,1.972,1.823,1.764,5.38,0.96903,0.12931,1.55,0.20201,0.06627,1.0,0.278053,0.01137,1.0,0.330324,0.01396,1.0,0.39743,0.01785,1.0,0.358851,0.01817,1.0,0.40605,0.05033,1.0,0.670151,0.12617,1.21,0.865332,0.11225,1.23,0.5866,0.13532,1.19,0.649621,0.22648,1.17,0.564,0.2296,1.16,0.711501,0.42756,1.05,0.61273,0.14208,1.0,0.57073,0.28656,1.0,0.58864,0.17917,0.98,1.23865,0.19386,1.4,0.99344,0.09205,1.03,0.88944,0.16599,1.02,1.03338,0.08728,0.99,0.302106,0.07062,0.97,0.4552,0.07859,0.87,0.393751,0.06004,1.15,1.26229,0.1166,1.14,1.26715,0.13506,1.06,-4.54568,2.45512,1.0,1.86279,3.53052,1.0,1.0,0.87,0.87,1.55,0.98,1.0,1.55,0,0,1,11.31969,,b'Simbad',0.216674,0.0147047,0.316989,0.00453848,0.458415,0.00236001,1.9114,-10.3,8.8,UDS_,26.66048299781927,26.247389520498118,25.846852950165765,29.58135957846583,30.85772393511666,31.567715392007344,1.0
5562,5562,782.38,1597.993,34.3965454,-5.2501082,0,107.0,2.54113,0.05189,1.119531,2.190261,3.08672,0.05247,1.771907,5.46939,0.09297,4.97148,2.427,2.684,2.304,7.46,5.56573,0.17394,1.55,3.12351,0.07399,1.0,2.95437,0.0127,1.0,3.0445,0.01555,1.0,4.22189,0.0199,1.0,5.23116,0.02025,1.0,4.27049,0.05607,1.0,6.39998,0.14198,1.2,6.3392,0.12458,1.25,5.1368,0.1525,1.17,5.62295,0.25647,1.14,5.83093,0.25615,1.16,5.69761,0.5591,0.77,4.76924,0.15799,1.0,5.6751,0.31881,1.0,5.40391,0.20163,0.96,5.72715,0.21669,1.38,4.80821,0.10317,1.02,4.52434,0.18535,1.02,5.37573,0.09701,1.0,3.51786,0.0706,1.21,5.05384,0.08869,0.85,4.67529,0.06784,1.12,4.12346,0.11462,1.13,2.91509,0.1475,1.03,-2.54976,2.57895,1.0,5.88855,4.00797,1.0,1.0,0.77,0.85,1.55,0.96,1.0,1.55,0,0,1,58.82773,,b'Simbad',1.35651,0.00363078,1.80009,0.00980311,2.03517,0.00181539,0.6517,-8.72,8.7,UDS_,24.66894250083261,24.361764451788623,24.228498269563385,31.100000163782653,30.021590310368047,31.852575152942606,1.0
5898,5898,2341.437,1682.202,34.3313065,-5.2465949,0,121.0,1.72624,0.05189,1.09057,2.581656,1.70483,0.05247,1.771907,3.0208,0.09297,4.08645,3.455,3.418,2.396,8.585,4.45656,0.20032,1.55,0.159267,0.08635,1.0,0.226047,0.01498,1.0,0.146723,0.01842,1.0,0.301597,0.02361,1.0,0.438739,0.02391,1.0,0.71887,0.06632,1.0,1.29597,0.17197,1.15,1.71939,0.15396,1.14,2.06931,0.1837,1.13,3.30248,0.30152,1.13,3.21258,0.30255,1.14,4.27554,0.52165,1.2,1.70632,0.18716,1.0,2.786,0.38076,1.0,4.39712,0.22929,1.04,4.5428,0.28176,1.17,1.77092,0.12129,1.01,2.0169,0.22704,0.95,2.79883,0.11525,0.97,0.284332,0.07817,1.38,0.53761,0.0828,1.32,1.28204,0.08393,1.03,8.20809,0.12993,1.12,9.86337,0.15456,1.05,2.36737,2.74609,1.0,13.60463,4.1827,1.0,1.0,0.95,1.32,1.55,1.0,1.0,1.55,0,0,1,32.4912,,b'Simbad',0.241393,0.0121631,0.724039,0.0116185,2.51739,0.0513755,1.4293,-9.4,9.8,UDS_,26.543188319704495,25.35059510029228,23.997623743283157,29.787389306631802,29.837124844187166,28.22310984606539,2.0
5901,5901,4952.902,1689.621,34.2220306,-5.2462635,0,216.0,6.86986,0.05778,1.073827,2.302931,6.67476,0.05843,1.771907,11.82705,0.10353,14.73312,3.244,3.309,3.032,9.502,15.82081,0.24788,1.25,0.713093,0.07727,1.0,0.607155,0.01333,1.0,0.804107,0.01645,1.0,1.14619,0.02104,1.0,1.71459,0.02155,1.0,3.36994,0.05983,1.0,4.56808,0.20784,0.65,5.04687,0.18095,0.7,6.25846,0.21285,0.65,8.95063,0.34442,0.73,9.94187,0.36877,0.67,16.2285,0.60825,0.68,5.87739,0.16446,1.0,10.81004,0.33438,1.0,15.79475,0.19584,1.13,15.11803,0.33427,0.68,,,0.0,,,0.0,9.08689,0.14313,0.51,0.991159,0.08223,0.99,2.22995,0.08533,0.97,4.11933,0.09464,0.63,28.2038,0.14202,0.8,28.164,0.15282,0.97,24.3148,3.17198,1.0,19.23276,4.08013,1.0,1.0,0.0,0.97,1.25,0.63,1.0,1.25,0,0,1,114.2375,,b'Simbad',0.693682,0.055914,1.9359,0.0675325,7.43598,0.170828,1.1667,-8.47,9.9,UDS_,25.397098936600013,24.28279270043303,22.821654467469994,28.131198594707072,27.926217931855774,26.918602359163483,2.0
6076,6076,609.375,1720.917,34.4037857,-5.2449861,0,180.0,4.27652,0.05897,1.083737,2.445667,4.78094,0.05963,1.771907,8.47138,0.10567,9.65082,3.025,3.189,2.776,8.926,10.45895,0.236,1.21,0.195458,0.08271,1.0,0.376042,0.01421,1.0,0.846502,0.01736,1.0,1.80451,0.02221,1.0,3.1279,0.02259,1.0,4.5235,0.06243,1.0,5.18969,0.18305,0.92,5.9605,0.16806,0.87,7.21308,0.20434,0.82,8.11574,0.39685,0.6,9.80705,0.38604,0.64,10.7029,0.90797,0.37,6.6897,0.17547,1.0,9.7505,0.35449,1.0,11.11293,0.22705,0.94,10.80308,0.29715,0.91,6.53881,0.11551,1.01,7.66502,0.20709,1.02,8.23216,0.10888,0.99,1.2934,0.0852,1.04,3.4166,0.10201,0.8,5.09263,0.10008,0.64,9.06058,0.12759,1.08,6.56284,0.14307,1.04,-5.6939,2.78765,1.0,2.71563,4.44331,1.0,1.0,0.37,0.8,1.21,0.64,1.0,1.2,0,0,1,80.17187,,b'Simbad',0.372358,0.0344924,1.44719,0.0757018,3.80306,0.0212401,0.5861,-10.28,9.35,UDS_,26.072598277584078,24.598686117719666,23.549667056926367,28.655691465335973,27.802234484843822,29.182108607236078,0.0
6130,6130,1278.123,1744.427,34.3758011,-5.2440057,0,244.0,8.69802,0.05139,1.076552,2.286881,10.19728,0.05181,1.771907,18.06864,0.0918,18.4769,2.726,3.385,2.859,9.333,19.89134,0.21566,1.59,0.265905,0.07713,1.0,0.286843,0.01322,1.0,0.522615,0.01625,1.0,0.942356,0.02078,1.0,1.7838,0.02121,1.0,3.62257,0.05853,1.0,5.43375,0.14731,1.21,5.95881,0.13196,1.22,7.79675,0.15735,1.19,10.7691,0.26514,1.15,12.78106,0.26823,1.15,20.1259,0.4321,1.36,7.40465,0.16616,1.0,11.83443,0.33492,1.0,20.57844,0.20663,1.01,19.61483,0.22618,1.39,7.80927,0.10902,0.99,9.75091,0.15968,1.51,10.9426,0.10023,1.02,0.692222,0.07269,1.25,2.19127,0.08518,0.99,5.14634,0.0708,1.11,33.0584,0.13854,0.98,29.00919,0.1585,0.93,22.8994,3.14116,1.0,12.56181,4.31906,1.0,1.0,0.99,0.99,1.59,1.0,1.0,1.58,0,0,1,196.8346,,b'Simbad',0.582784,0.0236001,2.21719,0.0426617,9.08817,0.0228739,1.0797,-10.49,10.03,UDS_,25.586230950109854,24.135492722089854,22.603808894506443,29.067715392007344,28.42490460651623,29.10164945467474,2.0
