id,zpk,uv,vj
5880,1.8316,0.843975352,0.801469335
5886,1.1001,0.580948609,0.407415245
5928,0.7154,1.482554147,1.256438653
5972,0.9668,0.788784511,1.086185898
6034,0.3502,0.898603118,0.438184967
6049,0.9595,0.750870562,0.005041208
6148,1.2637,0.504476095,0.635472361
6151,0.3566,1.00560418,0.502007461
6179,1.0748,1.408308149,1.00947827
6237,0.7676,0.507923766,0.342100973
6243,1.0372,1.133220955,1.347003674
6249,0.9922,0.702395152,0.741991504
6258,0.2425,0.773893218,0.342218292
6276,0.6952,0.694353331,0.593565433
6282,1.0555,0.681388577,0.502524193
6292,0.9814,0.398415089,0.289541182
6302,1.0978,0.48530733,0.283486427
6328,0.7064,0.693105899,0.938809715
6344,1.483,0.777143634,0.571456887
6356,1.0495,0.651028851,0.444549574
6377,1.2301,0.370140339,0.140467496
6378,0.6606,0.827430736,0.809488227
6390,0.301,0.783434098,0.462714361
6398,0.2518,0.92742472,0.452889728
6426,1.069,1.803127596,1.089108376
6436,0.8367,0.75034121,0.321254514
6447,0.8379,0.857005155,0.533949803
6454,1.0175,0.564440857,0.19297391
6455,1.2113,1.201068631,0.654213178
6476,1.5345,0.816702076,0.741267973
6485,1.09,0.720156865,0.607584343
6497,1.076,0.732402645,0.552173001
6518,1.1917,0.480714456,0.48560024
6533,1.0866,0.590622398,0.354455128
6534,0.6611,0.77763871,0.781298619
6550,1.0721,0.760469583,0.681536949
6575,1.0845,0.721422439,0.573720857
6579,1.0441,0.497212433,0.220409825
6580,1.7389,1.521697967,1.748398862
6608,0.904,0.781917037,0.608615265
6635,1.1116,1.419551782,1.302906162
6642,0.3547,1.275062564,1.42229617
6657,1.2782,0.404005527,0.337919065
6680,1.2882,0.5019679,0.035281661
6681,0.3366,1.725425086,1.035630614
6704,1.0861,0.5738083,0.213450273
6707,1.3691,0.707212424,0.285456101
6722,1.9704,0.588085148,0.489757412
6739,1.5219,0.823572587,0.533817945
6776,0.5046,0.628796546,0.305821525
6815,0.7046,0.959701701,1.094353274
6848,0.7422,0.61779628,0.387480105
6851,0.8879,0.668021723,0.757365538
6858,1.2674,0.406454173,0.33239038
6865,0.9348,0.540550431,0.578491769
6868,1.4702,0.686605894,2.248275515
6875,0.7899,0.578095895,0.525244606
6876,0.3194,0.571130373,1.203523935
6888,1.9197,1.276972856,0.878484671
6904,1.2472,0.669364956,0.257740898
6936,1.0829,0.769478008,0.494594588
6955,1.0725,0.535617197,0.270907471
6962,0.6762,1.09731333,0.773089349
6964,1.8447,0.598428995,1.368500542
6968,1.2165,0.477376841,0.168791911
6975,0.6923,0.754375564,0.527561286
6982,0.6681,0.928032904,0.281082632
6990,1.0901,0.683215666,0.39752744
6993,1.138,1.197849607,0.703432624
6997,0.6684,0.591120421,0.340556632
7003,1.6256,0.609335224,0.133151627
7005,0.825,0.789545494,0.674498383
7035,1.2347,0.301818126,-0.127333779
7042,1.3504,1.064933984,0.821677935
7068,0.8937,0.482823474,-0.169037922
7084,1.503,0.386630815,0.395890205
