Wavelength,FluxDensity
91.61631,0.06815972817249052
94.636635,0.06807480947037092
96.65017,0.0698063308126237
98.66372,0.07097000294980095
100.67727,0.07214656161707005
102.69081,0.07334985814340063
104.70435,0.07453371248467743
106.7179,0.07574907927737753
108.731445,0.07700068177325245
110.744995,0.07937045808714414
114.77208,0.08071595260047865
118.79917,0.08200267705064583
121.81949,0.08422144442238362
125.84658,0.08452747185137387
127.86012,0.08584281488381704
128.8669,0.08772192898406594
131.88722,0.08720610730673564
132.89398,0.0890363320059726
134.90753,0.08982143535992212
137.92786,0.09041371368661782
140.94817,0.09144052674244209
143.96849,0.0929474148878673
147.99557,0.09396596750300522
152.02267,0.09544926563171992
156.04976,0.09695543375732417
160.07686,0.09807099269923011
163.09717,0.09993614513731035
167.12427,0.10081592706166073
171.15135,0.10171311894837812
174.17166,0.10350087090126556
178.19876,0.10409135644740891
181.21907,0.10513851464527352
183.23262,0.10706895683940339
187.25972,0.10812678115585712
192.29358,0.10854463921935603
195.31389,0.11051752467257063
199.34099,0.11128433024810987
203.36807,0.11208628946007307
206.3884,0.11413442604991558
211.42226,0.11534754958311697
217.46289,0.11619759623440575
221.48999,0.11790307519339513
224.5103,0.1197074726777581
228.5374,0.13142865864421607
231.55771,0.21134660886589948
235.58481,0.2178273901286899
241.62543,0.2113471101358418
247.66608,0.2069115020996417
253.7067,0.20408678233617775
258.74057,0.20074684686537345
261.7609,0.20409879369729483
265.78796,0.22083435163618087
270.82184,0.2240193572600004
275.8557,0.22164253475455958
280.88956,0.20850821661959343
285.92343,0.2244072285089815
291.96408,0.23042748308107863
298.0047,0.21612160867605343
303.03857,0.2055618367888717
310.08597,0.2182022081456089
320.15372,0.22149296107334776
330.22144,0.22489991637814624
340.28918,0.21875060501858615
350.3569,0.21826427755484243
359.41782,0.2792601093449534
368.4788,0.37624974960888646
377.53973,0.3754166169561398
387.60745,0.3409218032474372
397.67517,0.44137544518241034
407.74295,0.5222534661976547
416.8039,0.5236146604274129
424.85806,0.48641621853668277
432.91223,0.47343710852218907
443.98672,0.5154209396300519
454.05444,0.5215654486940033
463.11542,0.4780536933798219
473.18314,0.4798865778632623
483.25085,0.5074680325734778
493.31857,0.46605102649648894
503.38632,0.5139829651634673
509.42697,0.5331163513610333
515.4676,0.77128993950548
523.5218,0.7634968225986929
533.58954,0.6966943542479902
543.6572,0.6054284840564531
553.725,0.6059919128740479
563.79266,0.735696594717952
573.8604,0.8038739004873977
583.92816,0.7918407735078689
593.99585,0.7805416803729148
604.0636,0.688394357782427
614.1313,0.6936657543724017
624.19904,0.8016275510569274
634.2668,0.7963978836523246
644.33453,0.8305530224014451
654.4022,0.8067263825913169
662.45636,0.7658265837175283
669.5038,0.8291811906099489
679.57153,0.8497664662527337
689.6393,0.7790085226279903
699.707,0.827485745602046
709.7747,0.7494701055198861
720.84924,0.865555978596289
730.91693,0.8934994113946991
739.9779,0.8957252869728656
750.0456,0.8764203822414052
760.11334,0.8627365279354933
770.181,0.8211650950595126
780.2488,0.8619766530201931
790.3166,0.8418211014010358
800.3842,0.8752847575444644
810.452,0.8946614065272307
820.5197,0.9062889483757681
830.58746,0.9013146738724047
840.65515,0.8013330324928402
850.7229,0.8973281600429248
860.79065,0.9205098780166474
870.85834,0.9490328355052229
880.9261,0.9662749084032802
890.9938,0.9809173971226626
901.0615,0.9946233636385488
911.1292,1.1242840177196458
921.19696,2.170772513075373
931.2647,4.171250043560483
941.3324,6.240432877837248
951.40015,8.388157282488574
961.46783,9.806239975783464
971.53564,10.193495585050137
981.6033,6.860752188702155
991.6711,9.612580612731252
1001.73883,10.010276348431546
1011.8065,10.841354037354543
1021.87427,10.212144105257178
