ID,fracAGN
CDFS_9574,0.4
CDFS_9575,0.0
CDFS_9578,0.0
CDFS_9579,0.0
CDFS_9581,0.0
CDFS_9583,0.3
CDFS_9590,0.1
CDFS_9612,0.8
CDFS_9620,0.6
CDFS_9629,0.0
CDFS_9664,0.4
CDFS_9671,0.0
CDFS_9673,0.6
CDFS_9708,0.0
CDFS_9730,0.1
CDFS_9732,0.01
CDFS_9733,0.0
CDFS_9736,0.3
CDFS_9755,0.6
CDFS_9761,0.0
CDFS_9768,0.1
CDFS_9772,0.0
CDFS_9808,0.1
CDFS_9824,0.0
CDFS_9836,0.3
CDFS_9840,0.01
CDFS_9846,0.0
CDFS_9859,0.3
CDFS_9869,0.0
CDFS_9874,0.2
CDFS_9878,0.0
CDFS_9889,0.0
CDFS_9890,0.0
CDFS_9893,0.8
CDFS_9894,0.6
CDFS_9902,0.5
CDFS_9904,0.1
CDFS_9915,0.0
CDFS_9929,0.0
CDFS_9936,0.5
CDFS_9939,0.3
CDFS_9945,0.0
CDFS_9946,0.0
CDFS_9947,0.1
CDFS_9957,0.0
CDFS_9964,0.0
CDFS_9966,0.01
CDFS_9969,0.0
CDFS_9974,0.0
CDFS_9975,0.6
CDFS_9983,0.6
CDFS_9994,0.2
CDFS_10005,0.0
CDFS_10011,0.0
CDFS_10028,0.01
CDFS_10029,0.0
CDFS_10032,0.2
CDFS_10039,0.1
CDFS_10042,0.0
CDFS_10044,0.1
CDFS_10051,0.5
CDFS_10065,0.1
CDFS_10088,0.0
CDFS_10094,0.0
CDFS_10105,0.01
CDFS_10113,0.0
CDFS_10114,0.01
CDFS_10115,0.0
CDFS_10116,0.1
CDFS_10119,0.0
CDFS_10126,0.0
CDFS_10131,0.5
CDFS_10136,0.0
CDFS_10138,0.0
CDFS_10139,0.0
CDFS_10141,0.01
CDFS_10142,0.0
CDFS_10153,0.0
CDFS_10162,0.0
CDFS_10163,0.2
CDFS_10169,0.0
CDFS_10173,0.6
CDFS_10209,0.1
CDFS_10212,0.4
CDFS_10216,0.01
CDFS_10220,0.1
CDFS_10223,0.0
CDFS_10236,0.0
CDFS_10252,0.3
CDFS_10256,0.0
CDFS_10259,0.0
CDFS_10263,0.0
CDFS_10283,0.0
CDFS_10286,0.0
CDFS_10291,0.1
CDFS_10293,0.01
CDFS_10295,0.8
CDFS_10303,0.0
CDFS_10311,0.0
CDFS_10315,0.0
CDFS_10317,0.01
CDFS_10322,0.3
CDFS_10327,0.0
CDFS_10328,0.0
CDFS_10330,0.3
CDFS_10339,0.0
CDFS_10340,0.2
CDFS_10342,0.2
CDFS_10355,0.5
CDFS_10356,0.5
CDFS_10360,0.0
CDFS_10371,0.1
CDFS_10374,0.0
CDFS_10394,0.0
CDFS_10409,0.0
CDFS_10412,0.5
CDFS_10417,0.0
CDFS_10432,0.0
CDFS_10437,0.0
CDFS_10441,0.01
CDFS_10451,0.0
CDFS_10453,0.0
CDFS_10468,0.0
CDFS_10475,0.2
CDFS_10477,0.2
CDFS_10478,0.01
CDFS_10488,0.1
CDFS_10502,0.2
CDFS_10503,0.6
CDFS_10511,0.2
CDFS_10520,0.2
CDFS_10521,0.3
CDFS_10524,0.0
CDFS_10532,0.0
CDFS_10535,0.01
CDFS_10538,0.01
CDFS_10553,0.2
CDFS_10559,0.01
CDFS_10580,0.4
CDFS_10589,0.01
CDFS_10591,0.0
CDFS_10593,0.0
CDFS_10594,0.0
CDFS_10596,0.01
CDFS_10603,0.0
CDFS_10608,0.5
CDFS_10610,0.0
CDFS_10612,0.0
CDFS_10615,0.0
CDFS_10619,0.2
CDFS_10629,0.0
CDFS_10639,0.0
CDFS_10641,0.3
CDFS_10642,0.0
CDFS_10644,0.01
CDFS_10647,0.2
CDFS_10652,0.2
CDFS_10675,0.0
CDFS_10680,0.0
CDFS_10683,0.3
CDFS_10694,0.4
CDFS_10696,0.0
CDFS_10697,0.0
CDFS_10698,0.3
CDFS_10701,0.01
CDFS_10702,0.6
CDFS_10707,0.0
CDFS_10717,0.0
CDFS_10729,0.0
CDFS_10744,0.3
CDFS_10749,0.2
CDFS_10754,0.01
CDFS_10757,0.0
CDFS_10759,0.0
CDFS_10771,0.8
CDFS_10773,0.1
CDFS_10777,0.5
CDFS_10782,0.0
CDFS_10784,0.0
CDFS_10787,0.1
CDFS_10790,0.01
CDFS_10798,0.0
CDFS_10805,0.2
CDFS_10811,0.1
CDFS_10817,0.0
CDFS_10827,0.0
CDFS_10836,0.0
CDFS_10837,0.0
CDFS_10842,0.0
CDFS_10855,0.3
CDFS_10857,0.0
CDFS_10864,0.0
CDFS_10865,0.0
CDFS_10872,0.0
CDFS_10875,0.01
CDFS_10883,0.01
CDFS_10889,0.1
CDFS_10892,0.2
CDFS_10897,0.1
CDFS_10912,0.01
CDFS_10914,0.1
CDFS_10918,0.0
CDFS_10919,0.1
CDFS_10925,0.0
CDFS_10928,0.0
CDFS_10941,0.2
CDFS_10950,0.0
CDFS_10954,0.1
CDFS_10960,0.01
CDFS_10970,0.4
CDFS_10976,0.1
CDFS_10979,0.0
CDFS_10983,0.1
CDFS_11005,0.5
CDFS_11008,0.0
CDFS_11009,0.0
CDFS_11011,0.01
CDFS_11017,0.0
CDFS_11020,0.0
CDFS_11026,0.2
CDFS_11027,0.0
CDFS_11032,0.01
CDFS_11039,0.0
CDFS_11041,0.0
CDFS_11044,0.6
CDFS_11047,0.3
CDFS_11051,0.2
CDFS_11060,0.4
CDFS_11062,0.01
CDFS_11099,0.0
CDFS_11108,0.0
CDFS_11110,0.0
CDFS_11116,0.0
CDFS_11118,0.2
CDFS_11119,0.01
CDFS_11120,0.1
CDFS_11146,0.0
CDFS_11148,0.0
CDFS_11150,0.1
CDFS_11166,0.01
CDFS_11174,0.3
CDFS_11175,0.6
CDFS_11178,0.0
CDFS_11183,0.8
CDFS_11184,0.01
CDFS_11185,0.0
CDFS_11186,0.0
CDFS_11187,0.0
CDFS_11192,0.0
CDFS_11196,0.0
CDFS_11209,0.8
CDFS_11215,0.0
CDFS_11235,0.0
CDFS_11238,0.0
CDFS_11257,0.1
CDFS_11258,0.4
CDFS_11262,0.5
CDFS_11267,0.01
CDFS_11268,0.01
CDFS_11276,0.0
CDFS_11279,0.0
CDFS_11289,0.4
CDFS_11305,0.1
CDFS_11315,0.1
CDFS_11339,0.1
CDFS_11360,0.1
CDFS_11361,0.01
CDFS_11366,0.6
CDFS_11373,0.0
CDFS_11378,0.5
CDFS_11384,0.0
CDFS_11392,0.0
CDFS_11397,0.7
CDFS_11409,0.6
CDFS_11411,0.0
CDFS_11417,0.01
CDFS_11424,0.0
CDFS_11426,0.01
CDFS_11434,0.0
CDFS_11435,0.1
CDFS_11438,0.1
CDFS_11445,0.0
CDFS_11466,0.3
CDFS_11467,0.0
CDFS_11469,0.1
CDFS_11478,0.0
CDFS_11479,0.0
CDFS_11480,0.01
CDFS_11498,0.0
CDFS_11499,0.0
CDFS_11500,0.8
CDFS_11506,0.0
CDFS_11510,0.0
CDFS_11513,0.0
CDFS_11517,0.01
CDFS_11529,0.5
CDFS_11537,0.0
CDFS_11551,0.0
CDFS_11561,0.1
CDFS_11562,0.0
CDFS_11563,0.0
CDFS_11570,0.0
CDFS_11574,0.1
CDFS_11576,0.0
CDFS_11577,0.1
CDFS_11581,0.0
CDFS_11582,0.0
CDFS_11583,0.01
CDFS_11587,0.0
CDFS_11589,0.0
CDFS_11591,0.1
CDFS_11592,0.0
CDFS_11593,0.0
CDFS_11597,0.01
CDFS_11598,0.0
CDFS_11603,0.2
CDFS_11629,0.0
CDFS_11630,0.3
CDFS_11635,0.0
CDFS_11639,0.3
CDFS_11640,0.0
CDFS_11646,0.2
CDFS_11649,0.0
CDFS_11672,0.7
CDFS_11675,0.2
CDFS_11680,0.0
CDFS_11683,0.0
CDFS_11685,0.0
CDFS_11686,0.0
CDFS_11690,0.0
CDFS_11702,0.0
CDFS_11706,0.1
CDFS_11707,0.1
CDFS_11713,0.01
CDFS_11726,0.1
CDFS_11735,0.0
CDFS_11736,0.0
CDFS_11739,0.0
CDFS_11741,0.0
CDFS_11742,0.4
CDFS_11750,0.1
CDFS_11758,0.2
CDFS_11761,0.0
CDFS_11776,0.1
CDFS_11798,0.2
CDFS_11802,0.3
CDFS_11803,0.01
CDFS_11808,0.2
CDFS_11814,0.01
CDFS_11815,0.3
CDFS_11821,0.0
CDFS_11826,0.1
CDFS_11827,0.01
CDFS_11835,0.0
CDFS_11837,0.01
CDFS_11838,0.0
CDFS_11841,0.0
CDFS_11843,0.0
CDFS_11844,0.5
CDFS_11847,0.01
CDFS_11848,0.1
CDFS_11849,0.01
CDFS_11855,0.1
CDFS_11858,0.0
CDFS_11862,0.2
CDFS_11871,0.7
CDFS_11874,0.0
CDFS_11886,0.0
CDFS_11892,0.0
CDFS_11895,0.0
CDFS_11905,0.2
CDFS_11906,0.01
CDFS_11923,0.5
CDFS_11933,0.01
CDFS_11935,0.0
CDFS_11938,0.0
CDFS_11944,0.0
CDFS_11946,0.1
CDFS_11950,0.1
CDFS_11958,0.0
CDFS_11960,0.0
CDFS_11964,0.01
CDFS_11969,0.2
CDFS_11977,0.2
CDFS_11982,0.2
CDFS_11993,0.7
CDFS_12000,0.2
CDFS_12003,0.0
CDFS_12007,0.0
CDFS_12008,0.1
CDFS_12013,0.0
CDFS_12025,0.7
CDFS_12061,0.0
CDFS_12063,0.4
CDFS_12066,0.1
CDFS_12076,0.0
CDFS_12080,0.5
CDFS_12082,0.1
CDFS_12086,0.0
CDFS_12099,0.9
CDFS_12102,0.1
CDFS_12105,0.4
CDFS_12106,0.5
CDFS_12115,0.1
CDFS_12117,0.0
CDFS_12120,0.1
CDFS_12126,0.0
CDFS_12127,0.0
CDFS_12128,0.0
CDFS_12149,0.1
CDFS_12151,0.7
