ID,UV_Full,VJ_Full,UV_Decomposed,VJ_Decomposed,zpk,UG_Full,GR_Full,UG_Decomposed,GR_Decomposed
CDFS_10005,0.9106986802810155,0.7331064093711745,0.9106986802810155,0.7331064093711745,1.7572,0.3296555657104676,0.2647623084949373,0.3296555657104676,0.2647623084949373
CDFS_10011,1.3803541573013405,0.8638383299718413,1.3803541573013405,0.8638383299718413,0.78,0.04867600029336927,0.632581268932455,0.04867600029336927,0.632581268932455
CDFS_10028,0.4433874641108986,0.20333768808261254,0.443382035133169,0.20321261442057903,1.3215,0.06589049149378923,-0.04486157889841991,0.06588909827766543,-0.044867776834223605
CDFS_10029,0.9106986802810297,0.7331064093711745,0.9106986802810297,0.7331064093711745,1.1036,0.2380827494988722,0.25229509560870156,0.2380827494988722,0.25229509560870156
CDFS_10032,1.296815464886464,0.8501628295923638,1.3732190160640556,0.8599368504787037,1.0506,0.05864474358632776,0.3624138340539531,-0.0024303066608410973,0.3388917350135614
CDFS_10039,0.6489478740338086,0.34615900626755547,0.6489362248628652,0.3456786381430845,1.1017,-0.011768388223245552,0.03262514739080302,-0.011779434862376092,0.03258877666915794
CDFS_10042,0.6578457734923546,0.6579865404507927,0.6578457734923546,0.6579865404507927,1.0382,0.18022357302345426,0.1726519113805125,0.18022357302345426,0.1726519113805125
CDFS_10044,0.6837952753099614,0.37695154153335864,0.6837898987440951,0.3766820496875738,0.7652,-0.03914096044996995,0.2654959763627289,-0.03916084385687668,0.26549115503824794
CDFS_10051,0.42293526954314586,0.31936450614875866,0.509883964432376,0.22575358537447698,1.866,0.09847167759282627,0.14261600237814775,-0.02635177344495787,0.03369809550054015
CDFS_10065,0.2833536000865564,0.0754742593505,0.28368499753679544,0.05507086764586688,1.5744,-0.05552253293404874,-0.07701263516455015,-0.06431688585477957,-0.08864448076650433
CDFS_10066,0.5235342686104048,0.6046966091954857,0.6578457734923546,0.657986540450807,3.1113,3.0526207261182634,0.7429698303970724,,
CDFS_10088,1.3803541573013263,0.8638383299718413,1.3803541573013263,0.8638383299718413,0.1077,1.0250795776862276,0.6250059381608679,1.0250795776862276,0.6250059381608679
CDFS_10094,1.0959908487986638,0.7600444939643012,1.0959908487986638,0.7600444939643012,0.4084,0.3260736626188674,0.8856246553051221,0.3260736626188674,0.8856246553051221
CDFS_10105,1.0088329007551664,0.619635117851729,1.0088359492431778,0.619572189318859,0.2512,0.5734052119261435,0.6900224693888788,0.573409906140455,0.690024495453784
CDFS_10113,0.6775055944705741,0.3914383010088045,0.6775055944705741,0.3914383010088045,1.5355,0.024971536266349403,-0.022657788695696013,0.024971536266349403,-0.022657788695696013
CDFS_10114,1.009139540357154,0.6211530224664159,1.0088359492431493,0.6195721893188733,0.4672,0.25657047800473265,0.8439665106514695,0.256007644063601,0.8438390829792155
CDFS_10115,0.9131742119788271,0.5080981932584478,0.9131742119788271,0.5080981932584478,0.7108,-0.011432282369938207,0.4511943336219417,-0.011432282369938207,0.4511943336219417
CDFS_10116,0.45702090312133237,0.16120748290757092,0.45699561412570233,0.16057831800361555,0.7021,-0.05887349483236903,0.250722902119918,-0.05890578346361508,0.2507172055559863
CDFS_10119,1.3803541573013405,0.8638383299718413,1.3803541573013405,0.8638383299718413,0.745,0.06747775565135328,0.6739052651924311,0.06747775565135328,0.6739052651924311
