ID,U_Full,V_Full,J_Full,U_Decomposed,V_Decomposed,J_Decomposed,zpk
CDFS_13165,-103.4467106751754,-104.17765532447758,-104.62634870112161,-103.39191368336003,-104.13441766585024,-104.57297839369122,1.5917
CDFS_13166,-102.29142155735246,-103.70216590230683,-104.80886411793308,-102.29142155735246,-103.70216590230683,-104.80886411793308,1.6829
CDFS_13177,-105.56951594367845,-106.51645140048471,-107.23760125101333,-105.52210748897994,-106.49558589366342,-107.22391953298958,1.8375
CDFS_13184,-103.03825947291934,-103.99425673497994,-104.5520003121203,-103.03825947291934,-103.99425673497994,-104.5520003121203,0.7151
CDFS_13193,-103.03158475607384,-103.84576974796735,-104.34326818656874,-103.03157822312835,-103.84576324864027,-104.34323063530982,0.536
CDFS_13209,-101.75840469800158,-102.76724064724475,-103.38681283656362,-101.75840469800158,-102.76724064724475,-103.38681283656362,0.757
CDFS_13211,-102.22693851094789,-103.23577446019104,-103.85534664950993,-102.22693851094789,-103.23577446019104,-103.85534664950993,0.6688
CDFS_13218,-104.08263553820842,-104.82513952069863,-105.2637002485396,-104.08263553820842,-104.82513952069863,-105.2637002485396,0.9502
CDFS_13221,-103.11513229015435,-103.72309002901986,-104.35810888338955,-102.5655320084124,-103.34752152272296,-104.04169170965118,2.3924
CDFS_13233,-104.62276856509095,-104.90273877179804,-105.0418268333035,-104.62276856509095,-104.90273877179804,-105.0418268333035,1.1237
CDFS_13238,-101.90719404762524,-102.64969803011545,-103.08825875795642,-101.90719404762524,-102.64969803011545,-103.08825875795642,0.9502
CDFS_13239,-103.98252761920446,-104.15019922960727,-104.26694215557782,-103.6371959145433,-103.83924897035291,-103.89504608315895,2.6628
CDFS_13240,-102.7354185920745,-103.74399985212833,-104.36463079054661,-102.7330717171988,-103.74190766644196,-104.36147985576083,0.7249
CDFS_13246,-102.75558673765049,-103.41343251114284,-104.07141905159365,-102.75558673765049,-103.41343251114284,-104.07141905159365,1.414
CDFS_13250,-101.61407580066269,-102.17310189637482,-102.60559016716682,-101.61402289599889,-102.17221622568987,-102.58524737966125,1.3309
CDFS_13257,-100.51331113515752,-101.46790778295413,-102.03774575933089,-100.49127810784572,-101.44727536990632,-102.0050189470467,0.665
CDFS_13260,-102.82221723750395,-104.68454230183313,-106.73505494733465,-102.82221723750395,-104.68454230183313,-106.73505494733465,1.9904
CDFS_13271,-101.71430843901831,-102.07444657495792,-102.4148969206197,-101.71383152896185,-102.0648208871734,-102.14693921941361,1.353
CDFS_13289,-102.84042477945151,-103.23184561026198,-103.43270887428305,-102.70945375161159,-103.13595720605326,-103.3289946230843,2.3714
CDFS_13293,-102.27002181084254,-102.71374762144193,-103.01078039194614,-101.87597915576383,-102.3858631201962,-102.61161670557067,2.157
CDFS_13296,-100.8415931025431,-101.44726059055678,-101.74164664456643,-100.8415931025431,-101.44726059055678,-101.74164664456643,1.263
CDFS_13297,-103.07107441801953,-103.63622933033334,-103.91027551786728,-103.07107441801953,-103.63622933033334,-103.91027551786728,0.4728
CDFS_13300,-102.82215549462377,-104.24041466929054,-105.14973838746299,-102.82214978782592,-104.24041140913883,-105.14972536556407,0.7385
CDFS_13313,-105.42837198754769,-105.75524097596357,-105.86480041471113,-105.42832922727092,-105.75517430909196,-105.86424887208639,1.05
CDFS_13322,-101.21218838071486,-101.7876577788543,-102.05966466631901,-101.21218838071486,-101.7876577788543,-102.05966466631901,0.7328
CDFS_13324,-100.80108267517845,-101.49026957849274,-101.86535529460943,-100.80108267517845,-101.49026957849274,-101.86535529460943,0.7142
CDFS_13325,-103.0711779944317,-103.66073286691912,-103.94318776444878,-103.0711779944317,-103.66073286691912,-103.94318776444878,1.6019
CDFS_13341,-102.50850584163072,-103.25100982412093,-103.6895705519619,-102.50850584163072,-103.25100982412093,-103.6895705519619,1.6208
CDFS_13347,-100.56187289311237,-101.30437687560257,-101.74293760344354,-100.56187289311237,-101.30437687560257,-101.74293760344354,0.8566
CDFS_13360,-103.1609357544298,-103.61793136855553,-103.77850968655915,-103.1609357544298,-103.61793136855553,-103.77850968655915,2.0808
CDFS_13361,-101.19919273393201,-102.11236694591082,-102.62046513916927,-101.19919273393201,-102.11236694591082,-102.62046513916927,0.74
CDFS_13370,-100.20286177956883,-101.06122229446495,-101.66450914636349,-100.2026352470306,-101.05834132035764,-101.60705286063762,1.1149
CDFS_13373,-103.08068452642522,-104.38651301644781,-105.46538618311936,-102.8817854788552,-104.2980207331652,-105.40542525771275,0.6633
CDFS_13379,-103.13045312908957,-104.03950319890028,-104.79601256376529,-103.06046543662654,-103.97116411690759,-104.70427052627875,2.9888
CDFS_13382,-103.97522213876402,-104.77824606177376,-105.47645820062681,-103.92623883721713,-104.75358251162875,-105.45970607442227,1.0727
CDFS_13385,-100.53208653399041,-101.04197049842278,-101.26772408379725,-100.53208653399041,-101.04197049842278,-101.26772408379725,0.8328
CDFS_13390,-101.66859274761575,-102.08972474261586,-102.22567836144495,-101.65547940022718,-102.0695755307169,-102.17767199881295,1.6117
CDFS_13392,-105.278207904592,-105.63684611408806,-105.93015088989605,-105.12468504322925,-105.49697271879455,-105.75644830829913,2.5323
CDFS_13394,-103.0839380597453,-103.02849999402457,-102.94207981034582,-103.08217778349308,-103.02459340690106,-102.9027407140901,2.7326
CDFS_13396,-100.65716456395478,-102.03656058266886,-102.90073494861944,-100.65455134026577,-102.0349054975671,-102.89874382753894,0.7574
CDFS_13401,-99.48576907275566,-99.94276468688136,-100.10334300488498,-99.48576907275566,-99.94276468688136,-100.10334300488498,0.3692
CDFS_13404,-103.59324984517858,-104.02876377222462,-104.22549159687838,-103.5932364515533,-104.02874487900138,-104.22534737345423,2.345
CDFS_13405,-100.5014761420285,-101.14741485371133,-101.4714585448746,-100.5014761420285,-101.14741485371133,-101.4714585448746,0.6745
CDFS_13406,-104.12608804657198,-104.5662340390844,-105.1012930591927,-102.85128632000038,-103.198076572278,-103.28162913953994,3.3566
CDFS_13407,-102.34345828818134,-103.03264519149563,-103.4077309076123,-102.34345828818134,-103.03264519149563,-103.4077309076123,0.6839
CDFS_13421,-100.59575512053456,-101.55175238259517,-102.10949595973553,-100.59575512053456,-101.55175238259517,-102.10949595973553,0.7634
CDFS_13423,-102.65704866510136,-103.51792680752754,-104.1170888595104,-102.33099121028155,-103.33982715952472,-103.95939934884359,1.6409
CDFS_13426,-103.40160167647977,-103.91148564091213,-104.13723922628661,-103.40160167647977,-103.91148564091213,-104.13723922628661,1.0849
CDFS_13436,-100.76826649734925,-102.14862065465057,-103.01245898462243,-100.76826649734925,-102.14862065465057,-103.01245898462243,0.7501
CDFS_13437,-100.8344351346775,-101.45110530803898,-101.8723528859053,-100.5460981542667,-101.24837252937014,-101.65782164859758,1.2434
CDFS_13443,-104.54275866457391,-105.26166887102289,-105.77851263232729,-104.48454715106875,-105.23006125379024,-105.75433850203788,1.8865
CDFS_13444,-103.47272917689779,-104.17502158092793,-104.58548576699066,-103.47255467032475,-104.17482904542821,-104.58427816465566,1.6199
CDFS_13458,-103.09532516105946,-103.59404117684744,-104.00407360574094,-102.59341797813853,-103.10330194257091,-103.3290555279454,3.5956
CDFS_13459,-103.11750401443479,-103.80669091774907,-104.18177663386575,-103.11750401443479,-103.80669091774907,-104.18177663386575,1.0492
CDFS_13464,-103.01749343850396,-103.44399689294563,-103.63703430997666,-103.01749343850396,-103.44399689294563,-103.63703430997666,1.9259
CDFS_13465,-103.68155804817945,-104.18876094207954,-104.46150989838554,-103.58010499757691,-104.08998896200929,-104.31574254738378,2.0643
CDFS_13467,-100.00380433055443,-100.77655522130325,-101.46789198720525,-99.97884633496967,-100.76083584928023,-101.45500603620845,0.7232
CDFS_13470,-101.54961681295791,-102.27218906591511,-102.77333193257648,-101.5021592300373,-102.19134613335159,-102.56643184946826,1.4163
CDFS_13475,-103.90580655194015,-104.33178265351174,-104.56796697991388,-103.75403147349076,-104.20089747749083,-104.40198636603944,2.3414
CDFS_13484,-102.24362979077841,-102.93281669409271,-103.30790241020938,-102.24362979077841,-102.93281669409271,-103.30790241020938,1.611
CDFS_13498,-101.96664845045605,-102.18592878060497,-102.43108312709643,-101.89433330813637,-102.04855185463603,-102.1146373528746,2.1191
CDFS_13501,-100.07971683519963,-100.99289104717843,-101.5009892404369,-100.07971683519963,-100.99289104717843,-101.5009892404369,0.679
CDFS_13504,-102.15482799073747,-102.56892412122721,-102.67702058932326,-102.15482799073747,-102.56892412122721,-102.67702058932326,1.609
CDFS_13516,-100.4484127859182,-100.95829675035057,-101.18405033572506,-100.4484127859182,-100.95829675035057,-101.18405033572506,0.7142
CDFS_13518,-102.70115149209445,-103.29541491499491,-104.01967999618253,-101.61012919908815,-102.75664153495812,-103.6922572827727,2.118
CDFS_13519,-102.72770408430894,-103.23745998907756,-103.46550245752097,-102.7230624053118,-103.23294636974417,-103.45869995511865,1.6199
CDFS_13520,-104.11653538463774,-104.8188097597412,-105.22825887896863,-104.11653538463774,-104.8188097597412,-105.22825887896863,1.5985
CDFS_13521,-102.84198075800121,-103.35186472243359,-103.57761830780805,-102.84198075800121,-103.35186472243359,-103.57761830780805,1.1637
CDFS_13522,-102.56183894024993,-103.05409675642785,-103.35268679123602,-102.56183894024993,-103.05409675642785,-103.35268679123602,1.7718
CDFS_13536,-101.22744706194416,-101.873385773627,-102.19742946479023,-101.22744706194416,-101.873385773627,-102.19742946479023,0.995
CDFS_13543,-103.93297872361786,-104.87954124642266,-105.43724527190564,-103.93293716346278,-104.87950454795028,-105.43704137817564,1.2301
CDFS_13546,-102.4627722405996,-102.49985395266116,-102.51238965703651,-102.4627722405996,-102.49985395266116,-102.51238965703651,2.477
CDFS_13556,-103.35705235935706,-104.2099446090238,-104.71584758656564,-103.21630921249151,-104.12948342447032,-104.63758161772878,1.483
CDFS_13567,-99.87011168723586,-100.67731760035608,-101.20435537124906,-99.87011168723586,-100.67731760035608,-101.20435537124906,0.688
CDFS_13584,-102.33572068854431,-103.41179622292947,-104.29952288626636,-102.33572068854431,-103.41179622292947,-104.29952288626636,1.7201
CDFS_13590,-102.79002413895921,-103.4675317580824,-103.85906552920684,-102.79000841730281,-103.46751401177336,-103.8589523127822,1.09
CDFS_13592,-101.30151040461173,-103.11110579345234,-104.54657458750594,-101.19849182026486,-103.06837424791567,-104.51637869400707,1.0709
CDFS_13598,-102.23260192681602,-102.83826941482968,-103.13265546883933,-102.23260192681602,-102.83826941482968,-103.13265546883933,0.9504
CDFS_13601,-101.49928606511077,-102.1456966967976,-102.471698194525,-101.49869620066946,-102.14463491235229,-102.46867860351554,1.5417
CDFS_13603,-99.25762031440038,-100.1707819631848,-100.67947028422473,-99.25748294804195,-100.17065716002078,-100.67875535327923,0.6703
CDFS_13605,-102.95539674300551,-103.27748142978224,-103.78359561425695,-102.51452939376243,-102.94377294949055,-103.52035742355226,3.0126
CDFS_13608,-100.64901224917503,-101.38752545243617,-101.8247438587247,-100.64901224917503,-101.38752545243617,-101.8247438587247,0.8715
CDFS_13616,-102.97646688298799,-103.88525233584501,-104.64547481148398,-102.89482343598414,-103.80552211626517,-104.53862852563634,2.2301
CDFS_13617,-102.43023863801406,-103.0761773496969,-103.40022104086016,-102.43023863801406,-103.0761773496969,-103.40022104086016,0.7046
CDFS_13629,-102.46264342359666,-103.11038435125873,-103.52725662520484,-102.28530242845777,-102.98757680356121,-103.39702592278866,1.8752
CDFS_13630,-100.20619007559097,-100.85212878727381,-101.17617247843704,-100.20619007559097,-100.85212878727381,-101.17617247843704,0.6259
CDFS_13635,-103.65511195358636,-103.85750497617558,-103.91938970919212,-103.65465789665168,-103.85671095246131,-103.9125080652673,1.8942
CDFS_13637,-100.98184492883266,-101.49172889326505,-101.71748247863951,-100.98184492883266,-101.49172889326505,-101.71748247863951,0.6148
CDFS_13664,-101.89809891773238,-102.54703514259525,-102.89271378073833,-101.89809891773238,-102.54703514259525,-102.89271378073833,1.6905
CDFS_13675,-101.53784611777715,-102.16420089738742,-102.8001042099601,-101.15613111167802,-101.93812062598857,-102.63229081291676,1.4404
CDFS_13676,-104.64467924891846,-105.15071353808004,-105.75169035909619,-104.34836779718253,-104.91771460657688,-105.54638925061698,3.5494
CDFS_13687,-103.88120562485446,-104.89004157409761,-105.50961376341648,-103.88120562485446,-104.89004157409761,-105.50961376341648,1.1019
CDFS_13694,-102.04346099421592,-102.99944672471995,-103.55754616988848,-102.04336990391384,-102.99936716597445,-103.5571107431148,0.9655
CDFS_13695,-103.77502891920321,-105.37681021791143,-106.76966257682085,-103.41192111007126,-105.28180353772206,-106.72980798381347,1.0606
CDFS_13699,-103.80131999468965,-104.75569804942056,-105.31376868468934,-103.79675611284524,-104.75275337490585,-105.31049695204621,1.118
CDFS_13706,-101.57415128661187,-102.26333818992616,-102.63842390604283,-101.57415128661187,-102.26333818992616,-102.63842390604283,0.7636
CDFS_13719,-102.1848894961815,-102.2696240579978,-102.46297220599882,-101.44977168508873,-101.4868533971503,-101.49938910152564,2.511
CDFS_13724,-101.64862763151001,-102.22752954798528,-102.86301440609637,-101.64862763151001,-102.22752954798528,-102.86301440609637,1.0001
CDFS_13735,-102.31093659936928,-103.31563002995085,-103.93467267289623,-102.30248465564136,-103.31132060488451,-103.93089279420339,0.9605
CDFS_13736,-104.62082193966208,-105.96002391306668,-107.06797155078218,-104.62064784101132,-105.95991788485793,-107.06763465955106,0.5608
CDFS_13738,-102.43609041802401,-102.9777137133472,-103.32186175493595,-102.35482946887228,-102.86471343330463,-103.09046701867912,2.3109
CDFS_13747,-103.97026042308589,-105.04633595747103,-105.93406262080792,-103.97026042308589,-105.04633595747103,-105.93406262080792,1.5158
CDFS_13748,-102.4324099127578,-104.3162365192402,-106.01874333379983,-102.4324099127578,-104.3162365192402,-106.01874333379983,1.4009
CDFS_13753,-101.91201733674481,-102.3319093175069,-102.54117130437608,-101.91201733674481,-102.3319093175069,-102.54117130437608,1.1175
CDFS_13759,-102.53223892034993,-102.97562095548308,-103.17883356990366,-102.53223892034993,-102.97562095548308,-103.17883356990366,1.8367
CDFS_13768,-101.19217426938157,-101.93467825187177,-102.37323897971277,-101.19217426938157,-101.93467825187177,-102.37323897971277,1.3673
CDFS_13776,-103.3410916368504,-103.80853056353058,-104.3695116960646,-102.28491428056213,-103.19561296084315,-103.92871937021432,3.189
CDFS_13777,-102.62591087533065,-103.08991295853065,-103.35252907615201,-102.62589895120577,-103.08989657381318,-103.35241136744611,0.9458
CDFS_13783,-103.6303440050064,-104.55356593501949,-105.06125170398681,-103.6303440050064,-104.55356593501949,-105.06125170398681,1.0085
CDFS_13789,-101.17489759409227,-101.86408449740657,-102.23917021352324,-101.17489759409227,-101.86408449740657,-102.23917021352324,0.549
CDFS_13795,-101.37382953951274,-101.97949702752639,-102.27388308153606,-101.37382953951274,-101.97949702752639,-102.27388308153606,0.7152
CDFS_13806,-101.27983424130821,-102.09223197432209,-102.59074063848806,-101.27983424130821,-102.09223197432209,-102.59074063848806,0.9602
CDFS_13811,-103.84898898610244,-105.31811420476137,-106.44281376420585,-103.84898898610244,-105.31811420476137,-106.44281376420585,0.6377
CDFS_13812,-100.93354197974506,-101.50901137788449,-101.7810182653492,-100.93354197974506,-101.50901137788449,-101.7810182653492,0.9065
CDFS_13813,-100.32070998920707,-101.23340174930975,-101.7532954134446,-100.30237265986847,-101.21554687184728,-101.72364506510573,0.5546
CDFS_13814,-101.21664701062387,-102.22548295986704,-102.84505514918591,-101.21664701062387,-102.22548295986704,-102.84505514918591,0.4977
CDFS_13821,-102.3243978543158,-103.61101733319386,-104.45736580260451,-102.18432009700466,-103.56467425430601,-104.42851258427785,0.6509
CDFS_13822,-99.67978001868184,-100.68861596792502,-101.30818815724388,-99.67978001868184,-100.68861596792502,-101.30818815724388,0.6465
CDFS_13829,-100.0003083246864,-100.9109523667301,-101.64609269953345,-99.99969692651797,-100.91039560679901,-101.64350201617017,0.7444
CDFS_13832,-100.50517224665798,-101.01505621109035,-101.24080979646482,-100.50517224665798,-101.01505621109035,-101.24080979646482,0.4788
CDFS_13836,-104.47558587431784,-105.26457296613289,-105.7805378973386,-104.47558151872953,-105.26456852606833,-105.78051256216226,0.668
CDFS_13840,-99.6558191773301,-100.26148666534375,-100.5558727193534,-99.6558191773301,-100.26148666534375,-100.5558727193534,0.5758
CDFS_13845,-101.02238520771877,-101.76488919020898,-102.20344991804996,-101.02238520771877,-101.76488919020898,-102.20344991804996,0.7447
CDFS_13851,-105.48817899331239,-106.19045377122673,-106.59992558011433,-105.48817509474108,-106.19044946984454,-106.59989858907198,1.9263
CDFS_13853,-103.03272242402659,-104.84756324597504,-106.53579981046659,-102.94257778962418,-104.82640439610661,-106.52891121066622,1.4566
CDFS_13864,-103.16969682889763,-103.51648708117526,-103.6000396484372,-103.16969682889763,-103.51648708117526,-103.6000396484372,2.1056
CDFS_13866,-102.93640391919556,-103.84957813117438,-104.35767632443282,-102.93640391919556,-103.84957813117438,-104.35767632443282,0.8393
CDFS_13868,-99.94858834034275,-100.79390786799394,-102.11644862103762,-98.84647562417499,-100.3582717572601,-101.96051886736383,0.9991
CDFS_13876,-104.53693562229844,-105.91756032399375,-107.26082308278515,-104.5368894296364,-105.91753303850665,-107.26075063394269,1.7031
CDFS_13877,-102.14180414291887,-102.88156054127097,-103.32030545617116,-102.13392683109971,-102.87643081358992,-103.3149915414309,1.9523
CDFS_13878,-101.35546698122953,-101.686083689133,-101.75969602462978,-101.35546698122953,-101.686083689133,-101.75969602462978,1.1119
CDFS_13879,-101.33051149973613,-101.74864035810441,-101.90270396251334,-101.26334951602941,-101.67744564651913,-101.78554211461518,0.6232
CDFS_13884,-102.75007933201364,-102.83259969540805,-102.8256215080167,-102.74819731296658,-102.82892190265194,-102.7912743900349,3.5312
CDFS_13885,-101.36660515138067,-102.12034237548777,-102.58427535365642,-101.36660515138067,-102.12034237548777,-102.58427535365642,0.8349
CDFS_13891,-101.23883594640782,-101.97734914966895,-102.4145675559575,-101.23883594640782,-101.97734914966895,-102.4145675559575,0.5471
CDFS_13893,-101.27927813544979,-101.7362737495755,-101.89685206757913,-101.27927813544979,-101.7362737495755,-101.89685206757913,0.9343
CDFS_13901,-103.42477009911252,-103.94005314824774,-104.55735434059257,-103.42325296669094,-103.93806422976253,-104.54700858767247,2.3708
CDFS_13902,-103.1204612101243,-103.63034517455668,-103.85609875993117,-103.1204612101243,-103.63034517455668,-103.85609875993117,1.2369
CDFS_13903,-102.43150244534073,-102.88849805946643,-103.04907637747006,-102.43150244534073,-102.88849805946643,-103.04907637747006,1.1243
CDFS_13905,-102.82747066797094,-103.47462878253758,-103.82086428754926,-102.82134991586159,-103.47028614072444,-103.81596477886752,1.5053
CDFS_13910,-103.51367098653358,-103.89369539233066,-104.06974133312389,-103.51367098653358,-103.89369539233066,-104.06974133312389,3.5019
CDFS_13914,-107.68029806745952,-108.7019767215237,-109.52114644627507,,,,0.549
CDFS_13919,-102.9860945498611,-103.40056913867934,-103.51766495717868,-102.98523139910613,-103.39932752959585,-103.5074239976919,1.4986
CDFS_13920,-103.47174748365833,-104.49957737004354,-105.74622034705632,-103.30833182937158,-104.43489065435307,-105.72007588840935,2.6903
CDFS_13926,-103.2831906077565,-103.7917227892294,-104.04141091785307,-103.23319194958664,-103.74307591401902,-103.96882949939351,1.6073
CDFS_13931,-101.76969624180501,-102.27958020623738,-102.50533379161186,-101.76969624180501,-102.27958020623738,-102.50533379161186,0.7343
CDFS_13935,-102.06149546967276,-102.71045355689468,-103.0570335377246,-102.06135785527225,-102.71029408013511,-103.0559727182782,1.1583
CDFS_13945,-103.07847310610498,-103.53546872023068,-103.6960470382343,-103.07847310610498,-103.53546872023068,-103.6960470382343,2.2947
CDFS_13950,-102.84064235893864,-103.59882560387473,-104.28476057807728,-102.79053822427096,-103.57252773858153,-104.26669792550973,2.3201
CDFS_13956,-103.38946367650735,-104.30263788848617,-104.81073608174462,-103.38946367650735,-104.30263788848617,-104.81073608174462,0.6688
CDFS_13959,-101.97693431601495,-102.48681828044732,-102.71257186582179,-101.97693431601495,-102.48681828044732,-102.71257186582179,1.029
CDFS_13960,-103.42960972902205,-103.8437058595118,-103.95180232760782,-103.42960972902205,-103.8437058595118,-103.95180232760782,2.3039
CDFS_13962,-101.70186901458678,-102.38105749901051,-102.77448626700786,-101.70186901458678,-102.38105749901051,-102.77448626700786,0.2461
CDFS_13963,-103.89091182840781,-104.34868680617677,-104.53194675988792,-103.85293647283162,-104.30993208695732,-104.47051040496095,1.6131
CDFS_13977,-101.53093557867685,-102.1343584032882,-102.47628164340276,-101.41732564901376,-102.06626187387661,-102.41194051201971,1.3396
CDFS_13985,-104.04528765178937,-105.00411635056815,-105.62773050563378,-103.91062202176192,-104.9194579710051,-105.53903016032395,1.3246
CDFS_13986,-101.30181343189948,-102.21715406500269,-102.77197486790234,-101.30161763745079,-102.21479184942962,-102.72289004268806,1.2921
CDFS_13987,-99.48810057210488,-100.44409783416549,-101.00184141130585,-99.48810057210488,-100.44409783416549,-101.00184141130585,0.1498
CDFS_13991,-101.11489264624262,-101.57188826036833,-101.73246657837196,-101.11489264624262,-101.57188826036833,-101.73246657837196,1.4525
CDFS_14009,-102.61556010026877,-103.07255571439447,-103.23313403239808,-102.61556010026877,-103.07255571439447,-103.23313403239808,3.3566
CDFS_14016,-100.28966765104695,-100.7037637815367,-100.81186024963273,-100.28966765104695,-100.7037637815367,-100.81186024963273,0.1684
CDFS_14018,-100.47169369881505,-101.29817324660372,-101.89669646389333,-100.27495079974273,-101.18405800347756,-101.7952531714448,0.6906
CDFS_14019,-106.34000386634845,-107.05741171986003,-107.44857073952625,-106.33959151731969,-107.0569660621861,-107.44582768536021,1.2863
CDFS_14020,-100.10134477816487,-100.6768141763043,-100.94882106376902,-100.10134477816487,-100.6768141763043,-100.94882106376902,0.4366
CDFS_14024,-100.39864752498022,-101.8723802403443,-102.8443635981791,-100.39864752498022,-101.8723802403443,-102.8443635981791,1.04
CDFS_14031,-104.26784465314623,-104.789339020206,-105.38656923252816,-103.86910353975388,-104.52694931324622,-105.18493585369703,2.5909
CDFS_14032,-101.25827495976439,-102.0007789422546,-102.43933967009559,-101.25827495976439,-102.0007789422546,-102.43933967009559,0.7165
CDFS_14035,-102.3090554262613,-102.88692968772813,-103.3373283446518,-101.75005176498694,-102.49255574747714,-102.9311164753181,1.5992
CDFS_14037,-102.00919630307624,-102.96519356513684,-103.5229371422772,-102.00919630307624,-102.96519356513684,-103.5229371422772,0.7261
CDFS_14043,-102.28131860989524,-102.98359298499872,-103.39304210422614,-102.28131860989524,-102.98359298499872,-103.39304210422614,1.5458
CDFS_14049,-97.37799960002837,-98.85144645701374,-99.82435622189166,-97.3773751535448,-98.85110786890885,-99.82309122674367,0.3332
CDFS_14056,-102.84335368139878,-103.85218963064193,-104.47176181996079,-102.84335368139878,-103.85218963064193,-104.47176181996079,0.7552
CDFS_14057,-105.01276628902022,-105.3044084126956,-105.53758879025847,-104.48917472318534,-104.86919912898242,-105.04524506977566,3.5526
CDFS_14059,-100.20842146249349,-100.71830542692584,-100.94405901230033,-100.20842146249349,-100.71830542692584,-100.94405901230033,0.6772
CDFS_14066,-98.2545920266768,-99.67669880985768,-100.58865694646245,-98.2545920266768,-99.67669880985768,-100.58865694646245,0.4436
CDFS_14073,-103.22290937887064,-103.58696227002197,-104.42795741257969,-103.00547134786899,-102.98872439734924,-102.92696997142473,3.4933
CDFS_14076,-101.39436248732258,-102.02277071063696,-102.38640472196032,-101.26458857413334,-101.91052728581619,-102.23457097697944,0.9457
CDFS_14080,-104.0805038293992,-104.99120250968025,-105.72430891905142,-104.0805038293992,-104.99120250968025,-105.72430891905142,1.7168
CDFS_14087,-103.15944781885102,-103.90212794262152,-104.34056310448656,-103.15944781885102,-103.90212794262152,-104.34056310448656,0.7329
CDFS_14089,-102.83200856601779,-103.2890041801435,-103.44958249814711,-102.83200856601779,-103.2890041801435,-103.44958249814711,1.3208
CDFS_14096,-101.20637861131519,-101.80739406745406,-102.1886453741171,-100.99796157775876,-101.68438613633631,-102.0769358864452,1.1852
CDFS_14098,-101.6461974628676,-102.28058250708102,-102.60836760916176,-101.6461974628676,-102.28058250708102,-102.60836760916176,0.302
CDFS_14101,-104.51805528294626,-105.5838724166432,-106.33111338242858,-104.51792669795338,-105.58377136742902,-106.33065861127248,0.5249
CDFS_14105,-101.2524921676212,-101.9910135547213,-102.42889762472981,-101.2523702043464,-101.99088340760754,-102.42810181389612,1.0692
CDFS_14106,-101.01882494785939,-101.51184752955291,-102.09479575378062,-100.57269852491319,-101.23054429840558,-101.88853083885635,0.9233
CDFS_14108,-104.29152969820547,-105.3676052325906,-106.2553318959275,-104.29152969820547,-105.3676052325906,-106.2553318959275,1.6948
CDFS_14124,-101.55125852486874,-102.01737417742194,-102.36198764049468,-101.0023951351527,-101.57786453329214,-101.84987142075686,1.5922
CDFS_14131,-103.34765580149647,-103.89640580504447,-104.30127253774542,-102.87320878674188,-103.61571276923209,-104.05427349707308,1.3757
CDFS_14148,-102.31495590847567,-103.27095317053627,-103.82869674767664,-102.31495590847567,-103.27095317053627,-103.82869674767664,0.8482
CDFS_14151,-101.97565467363064,-102.88882888560947,-103.3969270788679,-101.97565467363064,-102.88882888560947,-103.3969270788679,0.3848
CDFS_14156,-103.05766372212382,-103.65348565306844,-103.94936838606596,-103.05766372212382,-103.65348565306844,-103.94936838606596,1.0224
CDFS_14158,-100.62189062553361,-101.57788788759422,-102.13563146473459,-100.62189062553361,-101.57788788759422,-102.13563146473459,0.717
CDFS_14159,-104.16632891143827,-104.50906342466556,-104.62677959240503,-104.16617571107298,-104.50882803097593,-104.6248456487671,1.4176
CDFS_14163,-103.72890543302701,-104.22982610759973,-104.60573081227211,-103.34570639387383,-103.85559035830622,-104.08134394368068,2.6298
CDFS_14166,-102.75409734103792,-103.44329335395166,-103.8188563644217,-102.75401927982684,-103.44320618314113,-103.81829189925782,1.4721
CDFS_14180,-104.02595685322393,-104.91260145222503,-105.45397308084625,-104.02589076720741,-104.91254074929857,-105.45365718950723,0.9268
CDFS_14196,-102.3120152840845,-102.77751525564939,-103.05112538160544,-102.06125179987151,-102.57113576430388,-102.79688934967835,1.5493
CDFS_14207,-100.87393152629267,-101.61643550878287,-102.05499623662384,-100.87393152629267,-101.61643550878287,-102.05499623662384,0.5415
CDFS_14211,-102.42671524498724,-103.33722384343307,-103.8452276114769,-102.42070542491837,-103.33387963689718,-103.84197783015564,1.0938
CDFS_14214,-102.20120086568468,-102.908238796137,-103.57417240430595,-101.78666971071367,-102.69736839099471,-103.43047480036587,1.5813
CDFS_14226,-101.89591897152948,-102.53125929788489,-103.15019680241573,-101.51212775972881,-102.02201172416119,-102.24776530953565,2.3548
CDFS_14228,-98.40560019485139,-99.22383565174988,-99.76333672512229,-98.40526427952959,-99.22350257260123,-99.761481283698,0.3668
CDFS_14236,-102.02553587386838,-102.4975028569885,-102.81719136018866,-102.02542540695828,-102.49549817077448,-102.76539043213239,1.2922
CDFS_14240,-103.89803222463017,-104.40831830802915,-104.6338651491837,-103.89801867146826,-104.40830046330858,-104.63373251516735,0.8328
CDFS_14244,-101.85847470288707,-102.65447398817767,-103.55255337125766,-101.42130538861906,-102.4523605154725,-103.44258915097471,1.6825
CDFS_14245,-102.26134711087111,-102.95053401418541,-103.32561973030208,-102.26134711087111,-102.95053401418541,-103.32561973030208,0.8805
CDFS_14248,-101.82086538735007,-102.4105648562275,-102.6977915755331,-101.82021970603421,-102.40977457852162,-102.6922294760513,1.1516
CDFS_14254,-103.63428544212418,-104.41627495643473,-105.11044514336292,-103.63428544212418,-104.41627495643473,-105.11044514336292,1.8983
CDFS_14262,-102.88274835817381,-103.39265861037407,-103.6191140343802,-102.88266548518779,-103.39254944962016,-103.61830303499463,1.5158
