id,z,field
7726,2.1378,cdfs
7727,1.2432,cdfs
7729,0.5749,cdfs
7732,3.6829,cdfs
7733,0.6609,cdfs
7735,4.7217,cdfs
7736,3.8,cdfs
7739,3.6302,cdfs
7740,1.3867,cdfs
7742,0.3587,cdfs
7744,0.6268,cdfs
7748,0.7101,cdfs
7749,0.4106,cdfs
7752,3.6142,cdfs
7760,1.1825,cdfs
7763,0.9691,cdfs
7765,0.5249,cdfs
7770,0.7008,cdfs
7773,3.3053,cdfs
7775,1.0164,cdfs
7780,3.4734,cdfs
7784,1.9097,cdfs
7786,0.5396,cdfs
7790,2.4113,cdfs
7794,1.5076,cdfs
7800,3.4505,cdfs
7808,3.5168,cdfs
7809,4.1398,cdfs
7813,2.1481,cdfs
7814,3.4589,cdfs
7817,3.7903,cdfs
7818,1.4884,cdfs
7823,1.5412,cdfs
7827,1.1819,cdfs
7828,3.3321,cdfs
7829,0.757,cdfs
7830,1.0434,cdfs
7832,2.0851,cdfs
7840,2.0215,cdfs
7842,2.1661,cdfs
7848,1.0451,cdfs
7849,0.5199,cdfs
7856,3.4835,cdfs
7862,2.2653,cdfs
7867,3.2938,cdfs
7880,2.578,cdfs
7881,0.6176,cdfs
7888,0.286,cdfs
7889,1.337,cdfs
7890,0.5332,cdfs
7894,1.832,cdfs
7895,0.3176,cdfs
7905,2.7542,cdfs
7911,4.73,cdfs
7917,1.4775,cdfs
7922,3.9058,cdfs
7925,0.8241,cdfs
7926,1.9176,cdfs
7928,2.0939,cdfs
7932,3.4716,cdfs
7933,3.9258,cdfs
7934,2.6565,cdfs
7937,0.8073,cdfs
7938,0.7504,cdfs
7952,0.5138,cdfs
7959,2.8887,cdfs
7960,2.1005,cdfs
7961,3.8025,cdfs
7964,0.7429,cdfs
7974,2.1321,cdfs
7977,0.5824,cdfs
7982,2.2782,cdfs
7984,1.824,cdfs
7985,0.7485,cdfs
7986,1.4611,cdfs
7995,0.1782,cdfs
7999,1.0099,cdfs
8000,0.75,cdfs
8001,1.0545,cdfs
8004,0.9718,cdfs
8007,0.6606,cdfs
8008,0.459,cdfs
8011,0.287,cdfs
8014,0.6509,cdfs
8015,1.0632,cdfs
8017,2.585,cdfs
8022,2.0865,cdfs
8024,0.9659,cdfs
8032,1.5421,cdfs
8034,4.8614,cdfs
8037,1.7473,cdfs
8046,0.5958,cdfs
8053,0.68,cdfs
8056,0.6069,cdfs
8058,2.609,cdfs
8061,1.1592,cdfs
8064,3.7315,cdfs
8073,0.7738,cdfs
8077,1.9365,cdfs
8083,0.8956,cdfs
8085,1.9923,cdfs
8088,1.5845,cdfs
8098,1.3238,cdfs
8099,0.6078,cdfs
8104,1.2466,cdfs
8106,3.3108,cdfs
8116,3.4193,cdfs
8119,0.7054,cdfs
8120,3.6574,cdfs
8122,0.5295,cdfs
8125,1.3739,cdfs
8126,2.4837,cdfs
8131,3.1316,cdfs
8132,1.4406,cdfs
8133,1.2433,cdfs
8140,4.134,cdfs
8142,1.7328,cdfs
8144,0.5048,cdfs
8147,1.6371,cdfs
8154,2.7133,cdfs
8170,0.5513,cdfs
8174,2.0059,cdfs
8175,2.0294,cdfs
8181,1.0586,cdfs
8185,3.5151,cdfs
8189,0.6856,cdfs
8190,0.924,cdfs
8192,1.7109,cdfs
8193,0.6359,cdfs
8200,2.0011,cdfs
8206,3.2573,cdfs
8214,1.0732,cdfs
8219,0.814,cdfs
8220,0.6098,cdfs
8228,0.6765,cdfs
8232,1.8563,cdfs
8233,0.9862,cdfs
8239,2.1229,cdfs
8240,2.1144,cdfs
8245,1.3198,cdfs
8247,0.4913,cdfs
8250,3.4871,cdfs
8251,2.7154,cdfs
8254,1.3411,cdfs
8259,1.4461,cdfs
8265,1.3795,cdfs
8266,3.2317,cdfs
8267,0.5559,cdfs
8268,3.7052,cdfs
8271,0.5201,cdfs
8272,2.7011,cdfs
8273,0.5343,cdfs
8274,0.5556,cdfs
8275,0.7843,cdfs
8276,3.5094,cdfs
8278,0.9253,cdfs
8283,4.057,cdfs
8289,0.5605,cdfs
8294,0.198,cdfs
8296,3.5481,cdfs
8298,2.586,cdfs
8299,0.8789,cdfs
8304,0.5997,cdfs
8306,1.153,cdfs
8307,3.4302,cdfs
8308,2.766,cdfs
8319,0.5991,cdfs
8320,0.6406,cdfs
8323,4.6439,cdfs
8328,0.7367,cdfs
8334,2.3201,cdfs
8335,0.5722,cdfs
8341,2.4531,cdfs
8345,1.4695,cdfs
8355,1.7756,cdfs
8356,1.3754,cdfs
8359,0.1631,cdfs
8361,0.3167,cdfs
8366,3.1037,cdfs
8368,1.1202,cdfs
8371,1.4847,cdfs
8377,0.7567,cdfs
8380,1.6347,cdfs
8385,0.3555,cdfs
8386,3.4877,cdfs
8387,1.9552,cdfs
8389,2.853,cdfs
8392,1.1046,cdfs
8396,2.2316,cdfs
8397,3.5033,cdfs
8401,1.5714,cdfs
8406,0.4877,cdfs
8408,2.9716,cdfs
8411,3.9182,cdfs
8415,1.3572,cdfs
8428,3.6591,cdfs
8431,1.5262,cdfs
8432,1.4631,cdfs
8436,2.0257,cdfs
8439,2.2323,cdfs
8442,3.938,cdfs
8448,3.8435,cdfs
8453,1.111,cdfs
8455,4.1887,cdfs
8458,0.3391,cdfs
8462,2.263,cdfs
8466,0.8826,cdfs
8467,0.7871,cdfs
8470,1.8946,cdfs
8474,1.7268,cdfs
8478,0.5438,cdfs
8480,2.1309,cdfs
8481,2.3979,cdfs
8483,3.7369,cdfs
8485,0.4788,cdfs
8489,2.2291,cdfs
8492,1.6413,cdfs
8494,0.4875,cdfs
8500,3.4323,cdfs
8501,4.1136,cdfs
8512,0.9154,cdfs
8514,2.4244,cdfs
8519,1.5751,cdfs
8520,0.804,cdfs
8521,3.5109,cdfs
8523,3.984,cdfs
8529,2.0668,cdfs
8533,2.7193,cdfs
8543,1.9581,cdfs
8545,2.7937,cdfs
8547,0.6669,cdfs
8557,1.5633,cdfs
8559,0.9382,cdfs
8560,2.9466,cdfs
8562,0.4916,cdfs
8563,3.5702,cdfs
8564,0.5046,cdfs
8569,0.7388,cdfs
8575,3.7628,cdfs
8576,3.7959,cdfs
8578,1.2477,cdfs
8579,1.5221,cdfs
8582,1.9708,cdfs
8584,2.6411,cdfs
8586,3.66,cdfs
8587,0.5037,cdfs
8588,0.6625,cdfs
8592,0.8717,cdfs
8593,2.6926,cdfs
8600,1.5332,cdfs
8602,1.9506,cdfs
8603,1.1583,cdfs
8612,2.56,cdfs
8613,1.0332,cdfs
8622,1.8904,cdfs
8623,1.2022,cdfs
8624,0.3501,cdfs
8627,0.822,cdfs
8628,2.3002,cdfs
8635,4.2077,cdfs
8643,2.9278,cdfs
8647,3.5495,cdfs
8653,3.1557,cdfs
8657,1.5753,cdfs
8661,0.6575,cdfs
8663,1.4093,cdfs
8665,1.2771,cdfs
8666,1.2699,cdfs
8670,0.7535,cdfs
8671,0.585,cdfs
8673,3.6196,cdfs
8679,0.6957,cdfs
8681,0.9302,cdfs
8684,2.5136,cdfs
8691,1.2058,cdfs
8693,0.5159,cdfs
8697,2.9191,cdfs
8700,0.8672,cdfs
8701,2.0691,cdfs
8705,1.3153,cdfs
8707,1.3702,cdfs
8708,1.5029,cdfs
8711,3.4977,cdfs
8715,0.4817,cdfs
8721,2.149,cdfs
8722,2.9272,cdfs
8724,1.2256,cdfs
8732,0.5473,cdfs
8735,0.9121,cdfs
8736,0.4079,cdfs
8739,0.7009,cdfs
8740,0.6572,cdfs
8750,0.8161,cdfs
8755,4.19,cdfs
8757,4.5802,cdfs
8762,0.9066,cdfs
8765,2.0417,cdfs
8769,1.2398,cdfs
8776,0.8666,cdfs
8779,2.2044,cdfs
8780,3.7132,cdfs
8782,0.5607,cdfs
8785,2.7095,cdfs
8789,2.5768,cdfs
8791,3.125,cdfs
8792,2.17,cdfs
8793,0.5655,cdfs
8796,0.5549,cdfs
8797,3.3352,cdfs
8799,0.5687,cdfs
8801,2.9922,cdfs
8804,2.3596,cdfs
8806,0.4532,cdfs
8809,0.2581,cdfs
8811,1.8903,cdfs
8812,0.5984,cdfs
8816,1.6149,cdfs
8817,3.6312,cdfs
8820,1.658,cdfs
8822,2.7248,cdfs
8824,2.2185,cdfs
8827,1.7035,cdfs
8830,3.1615,cdfs
8836,1.9099,cdfs
8837,0.6634,cdfs
8839,3.6439,cdfs
8841,3.5011,cdfs
8846,0.7207,cdfs
8847,0.1333,cdfs
8849,0.6786,cdfs
8851,3.3551,cdfs
8874,0.1622,cdfs
8876,1.233,cdfs
8877,4.3122,cdfs
8879,1.7957,cdfs
8882,1.4675,cdfs
8889,2.8706,cdfs
8890,3.0825,cdfs
8891,2.1751,cdfs
8902,0.4582,cdfs
8904,3.7577,cdfs
8908,2.5991,cdfs
8913,3.5761,cdfs
8915,1.1124,cdfs
8916,3.8536,cdfs
8921,4.7352,cdfs
8922,2.5757,cdfs
8923,3.6472,cdfs
8924,0.6644,cdfs
8931,0.4659,cdfs
8937,1.0405,cdfs
8938,1.8958,cdfs
8940,3.9095,cdfs
8941,3.5572,cdfs
8942,3.3105,cdfs
8945,2.1094,cdfs
8947,1.0475,cdfs
8948,1.021,cdfs
8949,0.3406,cdfs
8951,0.9045,cdfs
8953,0.7352,cdfs
8954,0.5225,cdfs
8955,1.175,cdfs
8959,3.6173,cdfs
8962,3.7118,cdfs
8966,2.1612,cdfs
8967,1.5883,cdfs
8968,1.2453,cdfs
8969,1.8937,cdfs
8971,1.823,cdfs
8976,0.6872,cdfs
8980,1.2589,cdfs
8985,1.3704,cdfs
8986,0.3012,cdfs
8988,1.3727,cdfs
8989,3.5012,cdfs
8990,1.9189,cdfs
8991,2.4437,cdfs
8993,2.1401,cdfs
8994,2.5928,cdfs
8995,0.7152,cdfs
8998,2.2913,cdfs
9001,0.654,cdfs
9005,0.3925,cdfs
9009,0.64,cdfs
9011,0.7465,cdfs
9013,0.7007,cdfs
9014,3.5493,cdfs
9019,2.6194,cdfs
9022,0.6877,cdfs
9023,0.5476,cdfs
9026,3.6636,cdfs
9028,2.3086,cdfs
9033,1.2911,cdfs
9035,1.2252,cdfs
9036,1.6522,cdfs
9037,0.4193,cdfs
9038,1.9607,cdfs
9042,2.1652,cdfs
9046,0.5614,cdfs
9048,3.1071,cdfs
9050,0.2747,cdfs
9053,1.2773,cdfs
9054,2.0324,cdfs
9060,2.0102,cdfs
9063,2.8198,cdfs
9064,1.4435,cdfs
9065,0.733,cdfs
9066,1.7401,cdfs
9067,2.3205,cdfs
9068,3.701,cdfs
9073,0.7092,cdfs
9080,0.6677,cdfs
9082,2.8725,cdfs
9083,4.3402,cdfs
9084,3.6933,cdfs
9085,0.8943,cdfs
9087,3.1309,cdfs
9103,1.0051,cdfs
9106,3.6651,cdfs
9109,1.562,cdfs
9111,2.3184,cdfs
9113,0.686,cdfs
9117,2.2732,cdfs
9120,0.7349,cdfs
9121,1.1009,cdfs
9122,1.0713,cdfs
9123,0.7813,cdfs
9124,2.6827,cdfs
9127,0.6728,cdfs
9128,2.2637,cdfs
9131,0.6711,cdfs
9133,0.546,cdfs
9137,0.4758,cdfs
9140,2.8498,cdfs
9141,1.3506,cdfs
9143,1.4186,cdfs
9144,3.0194,cdfs
9147,4.8334,cdfs
9148,1.8579,cdfs
9155,1.4654,cdfs
9157,1.8807,cdfs
9159,0.4086,cdfs
9161,1.0046,cdfs
9167,2.2608,cdfs
9172,0.9046,cdfs
9174,3.8865,cdfs
9175,1.0688,cdfs
9179,3.1207,cdfs
9180,2.6809,cdfs
9183,0.716,cdfs
9192,0.3406,cdfs
9193,1.1483,cdfs
9194,0.6468,cdfs
9198,0.7345,cdfs
9199,0.7266,cdfs
9200,0.9294,cdfs
9201,3.7158,cdfs
9204,0.7315,cdfs
9217,2.6792,cdfs
9220,0.3397,cdfs
9228,1.1437,cdfs
9229,1.243,cdfs
9245,1.0408,cdfs
9247,1.5296,cdfs
9248,2.3643,cdfs
9261,0.359,cdfs
9262,1.3431,cdfs
9266,0.4044,cdfs
9268,3.2321,cdfs
9271,2.8572,cdfs
9275,0.7296,cdfs
9276,0.7331,cdfs
9277,3.495,cdfs
9278,2.2868,cdfs
9286,0.2091,cdfs
