,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,100.00999999999999,6.145299e-11
1,102.11,9.603931e-11
2,104.0,1.36324e-10
3,104.712855,1.5829481576675277e-10
4,105.94,1.961165e-10
5,107.91,2.867739e-10
6,109.91000000000001,4.694082e-10
7,114.03999999999999,8.719567e-10
8,118.05,1.501299e-09
9,120.22644299999999,5.27512504361423e-09
10,121.07,6.737804e-09
11,125.03999999999999,1.053307e-08
12,127.07,1.269145e-08
13,127.95,1.417631e-08
14,130.93,1.830443e-08
15,132.15,2.277772e-08
16,133.98,2.670147e-08
17,137.1,3.91365e-08
18,138.038426,4.236272061056248e-08
19,139.98,4.903767e-08
20,142.91,1.594112e-07
21,146.91,4.748281e-07
22,151.03,5.977322e-07
23,154.9,7.577629e-07
24,158.489319,9.351413490833509e-07
25,158.86999999999998,9.53954e-07
26,161.82999999999998,1.123346e-06
27,165.98000000000002,1.404527e-06
28,169.84,1.712243e-06
29,173.0,1.988566e-06
30,177.03,2.390663e-06
31,179.91,2.732252e-06
32,181.970086,2.98651811455e-06
33,181.99,2.988976e-06
34,185.79999999999998,3.536021e-06
35,191.01,4.339982e-06
36,194.11,4.926542e-06
37,198.17999999999998,5.708239e-06
38,201.85999999999999,6.645165e-06
39,205.14000000000001,7.404912e-06
40,208.929613,8.197371610694346e-06
41,209.92000000000002,8.404475e-06
42,215.79999999999998,1.070376e-05
43,219.81,1.220464e-05
44,222.87,1.322858e-05
45,227.01,1.50494e-05
46,230.17,2.429664e-05
47,233.91,4.431489e-05
48,239.88329199999998,6.13764835834933e-05
49,239.91,6.145277e-05
50,246.07,6.449429e-05
51,251.8,7.577112e-05
52,257.07,6.879124e-05
53,260.05,8.365625e-05
54,264.27,9.322831e-05
55,269.19,0.0001001194
56,274.19,0.000106787
57,275.42287,0.00010857006845490197
58,279.28999999999996,0.000114163
59,283.83,0.0001214815
60,289.77,0.0001245953
61,295.84,0.0001363092
62,301.34000000000003,0.0001423998
63,307.65000000000003,0.0001557796
64,316.227766,0.00017333295993700386
65,317.73,0.0001764071
66,328.13,0.0001938824
67,338.11,0.000210144
