,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,100.09,2.6713e-06
1,101.94999999999999,3.081036e-06
2,104.08000000000001,3.264048e-06
3,104.712855,3.369407918654638e-06
4,106.02000000000001,3.587026e-06
5,107.99,4.005989e-06
6,110.0,5.517057e-06
7,114.12,6.42386e-06
8,118.13000000000001,7.140881e-06
9,120.22644299999999,1.611477286419084e-05
10,120.89000000000001,1.895515e-05
11,125.13,2.122064e-05
12,126.87,2.222312e-05
13,128.05,2.289417e-05
14,131.03,2.419692e-05
15,131.94,2.68384e-05
16,134.07999999999998,2.772031e-05
17,136.89,3.175216e-05
18,138.038426,3.237297965515988e-05
19,140.07999999999998,3.347662e-05
20,143.01,5.858205e-05
21,147.02,9.721988e-05
22,151.14000000000001,0.0001022724
23,155.02,0.0001088255
24,158.489319,0.00011493123927483625
25,158.99,0.0001158124
26,161.95000000000002,0.0001209869
27,166.1,0.0001287522
28,169.97000000000003,0.0001351386
29,173.13,0.0001408517
30,177.16,0.0001478349
31,180.04,0.0001530231
32,181.970086,0.00015664298091043065
33,182.13,0.0001569429
34,185.94,0.0001639699
35,191.15,0.000172493
36,193.81,0.0001789609
37,197.87,0.0001856683
38,202.01,0.0001930865
39,204.82,0.0001989664
40,208.929613,0.0002003912481422243
41,210.07999999999998,0.0002007901
42,215.96,0.0002186511
43,219.98,0.0002263221
44,223.04000000000002,0.0002300103
45,227.17999999999998,0.0002386517
46,229.81,0.0003546114
47,234.09,0.0005804042
48,239.88329199999998,0.0007063269052473996
49,240.09,0.0007108199
50,246.25,0.0006725702
51,251.98999999999998,0.0006946396
52,257.26,0.0005738001
53,260.24,0.0006634065
54,263.86,0.0006866815
55,268.77000000000004,0.0006787672
56,273.76,0.0006679917
57,275.42287,0.0006644858865335953
58,278.85,0.0006572605
59,284.03999999999996,0.0006497756
60,289.99,0.0006119696
61,296.06,0.0006119755
62,300.87,0.0005857745
63,307.88,0.0005844375
64,316.227766,0.0005811328446977778
65,317.96,0.0005804471
66,327.62,0.0005633256
67,338.35999999999996,0.000542933
68,347.84000000000003,0.0005220871
69,356.76,0.0005067039
70,363.078055,0.0004995294205610382
71,365.90999999999997,0.0004963136
72,375.3,0.0004794486
73,384.91999999999996,0.0004485072
74,394.8,0.0004464345
75,404.93,0.000434258
76,414.36,0.000419511
77,416.86938299999997,0.00041457145880614295
78,422.06,0.0004043541
79,429.91,0.0003906236
80,440.94,0.0003790915
81,451.21000000000004,0.0003637108
82,459.6,0.0003505528
83,470.3,0.0003378774
84,478.630092,0.00033008686116710664
85,480.15000000000003,0.0003286654
86,490.2,0.0003131588
87,500.47,0.0003074372
88,506.26,0.0003081459
89,512.13,0.0003738892
90,520.45,0.0003653732
91,530.12,0.0003546097
92,539.98,0.0003339963
93,549.5408739999999,0.00035362780256695204
94,550.02,0.0003546116
95,560.24,0.000374764
96,569.35,0.0003852463
97,579.9300000000001,0.0003670703
98,589.35,0.0003888283
99,600.3100000000001,0.0003764873
100,610.06,0.0003834948
101,619.98,0.0004273181
102,630.0500000000001,0.0004332705
103,630.957344,0.0004334472016996875
104,640.2900000000001,0.0004352647
105,650.69,0.0004557847
106,658.23,0.0004599858
107,664.32,0.0004805384
108,675.11,0.0004861316
109,684.5,0.0004674753
110,695.63,0.0005441949
111,705.3,0.0005090605
112,716.76,0.0005898424
113,724.43596,0.0006004371495642929
114,726.73,0.0006036035
115,735.15,0.0006190707
116,745.3799999999999,0.0006587898
117,755.75,0.0006835149
118,764.5,0.0006914546
119,775.13,0.0007494789
120,784.1099999999999,0.0007811787
121,795.02,0.0008123472
122,804.2199999999999,0.0008409152
123,815.41,0.0008624851
124,824.85,0.000922042
125,831.763771,0.0008305686107305441
126,834.4,0.0007956897
127,844.0699999999999,0.0009610358
128,855.8100000000001,0.000985729
129,865.7199999999999,0.001044116
130,875.74,0.001098372
131,885.88,0.001163468
132,894.08,0.001209897
133,904.43,0.001221084
134,914.9,0.001651033
135,925.4999999999999,0.00888703
136,934.0600000000001,0.01865342
137,944.88,0.03481389
138,954.992586,0.04634436408641673
139,955.82,0.04728779
140,964.66,0.05543215
141,975.83,0.01134389
142,984.86,0.05197042
143,993.98,0.05185072
144,1005.49,0.06835191
145,1014.79,0.06306221
146,1024.18,0.02683814
147,1036.04,0.04663934
148,1045.6200000000001,0.08161361
149,1055.3,0.0801232
150,1065.06,0.06618594
151,1074.92,0.07598837
152,1084.87,0.06277085
153,1094.9,0.07758337
154,1096.4782,0.07706551163514315
155,1105.03,0.07425939
156,1115.26,0.07223422
157,1125.5800000000002,0.06527784
158,1135.99,0.0779416
159,1143.8700000000001,0.07107857
160,1154.45,0.07408736
161,1165.13,0.07581648
162,1175.92,0.05543173
163,1184.07,0.07190492
164,1195.02,0.05281531
165,1206.0800000000002,0.04015616
166,1214.44,0.02370036
167,1225.68,0.04783476
168,1234.17,0.06851085
169,1245.59,0.07460292
170,1254.23,0.0722343
171,1258.92541,0.06875740556374133
172,1265.83,0.06364464
173,1274.61,0.07758224
174,1286.4,0.07993664
175,1295.3200000000002,0.06694863
176,1304.3,0.06572595
177,1316.3600000000001,0.07758343
178,1325.49,0.07443048
179,1334.68,0.06772727
180,1343.93,0.07634082
181,1356.3600000000001,0.07392021
182,1365.76,0.06757022
183,1375.23,0.06962307
184,1384.76,0.06994363
185,1394.3600000000001,0.06120034
186,1404.03,0.06277094
187,1413.76,0.06497658
188,1423.5600000000002,0.06527794
189,1433.43,0.06497673
190,1443.36,0.06741724
191,1445.43977,0.06770624059222223
192,1446.6899999999998,0.06787997
193,1453.37,0.06618491
194,1463.44,0.06190707
195,1473.59,0.06134324
196,1483.8000000000002,0.06162539
197,1494.09,0.06204997
198,1504.44,0.05912335
199,1511.3899999999999,0.05391795
200,1518.36,0.05659262
201,1525.3700000000001,0.05517923
202,1535.95,0.04906156
203,1546.59,0.05173168
204,1553.73,0.04917707
205,1564.5,0.05008873
206,1575.3500000000001,0.05281483
207,1586.27,0.05429533
208,1593.59,0.05517865
209,1604.6299999999999,0.05342653
210,1615.76,0.05318262
211,1623.21,0.05078622
212,1634.47,0.05305868
213,1645.8,0.05330179
214,1653.39,0.04997426
215,1659.58691,0.051841168360026176
216,1664.85,0.05342675
217,1672.5400000000002,0.04872279
218,1676.39,0.05342633
219,1684.13,0.05467251
220,1695.8100000000002,0.05173075
221,1703.6299999999999,0.04985953
222,1715.44,0.04783515
223,1723.36,0.04728833
224,1735.31,0.04951542
225,1743.32,0.04827864
226,1755.4,0.05043704
227,1763.5,0.04685489
228,1775.73,0.04772543
