,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,100.04,0.0022427976627623324
1,101.89999999999999,0.00269745379402558
2,104.03,0.003216470980633499
3,104.712855,0.0033833211233142433
4,105.97,0.0031312836888227648
5,107.94,0.002737271412696267
6,109.94999999999999,0.0023424273329935978
7,114.07000000000001,0.001520381644647821
8,118.08000000000001,0.0007203494661365211
9,120.22644299999999,0.0003760511675075284
10,121.11,0.00040482485939023495
11,125.08,0.000401763224636353
12,127.11,0.0003972962071173654
13,127.99,0.00039980334878401123
14,130.97,0.00039305791715515265
15,131.88,0.0004220338920604342
16,134.02,0.00041739122974977723
17,137.14000000000001,0.00045225758656788505
18,138.038426,0.00045312328581268693
19,140.02,0.0004729294088082011
20,142.95000000000002,0.0009430565989579532
21,146.95,0.0018117738916538606
22,151.07,0.0019274946061306449
23,154.95,0.002065259677045675
24,158.489319,0.002201670837082147
25,158.92,0.002218193592307382
26,161.87,0.002334798879288257
27,166.03,0.0025074914399121355
28,169.89000000000001,0.0026577084120294834
29,173.05,0.0027856670109649294
30,177.08,0.0029398026165693117
31,179.96,0.0030607914662319964
32,181.970086,0.0031487416971094496
33,182.04000000000002,0.003151847695539582
34,185.85999999999999,0.0033142112145143564
35,191.06,0.003525731345055934
36,194.17000000000002,0.003673425788514454
37,197.78,0.00384554297529428
38,201.92000000000002,0.004025898809994689
39,205.2,0.004156845046182454
40,208.929613,0.004209714624808473
41,209.98,0.004225475634728304
42,215.86,0.004656151424260026
43,219.88,0.004854881566082735
44,222.94000000000003,0.004947287599410468
45,227.07999999999998,0.005170530879795048
46,230.23999999999998,0.007728277195257674
47,233.98,0.012876644347102681
48,239.88329199999998,0.01596635548576926
49,239.98,0.016016796169116113
50,246.14000000000001,0.015187958233795333
51,251.87,0.01593272197253104
52,257.15,0.013166753742256086
53,260.12,0.015352734737726427
54,263.74,0.016033394132878825
55,269.26,0.015919289619409558
56,274.27,0.01576924220772821
57,275.42287,0.01572155123384201
58,278.72999999999996,0.015590337007752045
59,283.90999999999997,0.015524120003574594
