,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,100.05,41.94906284587951
1,101.91000000000001,41.832367853070586
2,104.05,41.69810587198531
3,104.712855,41.65651885084649
4,105.98,41.23891845258531
5,107.95,40.5896851097634
6,109.96000000000001,39.92726936559483
7,114.09,38.5661862681356
8,118.1,37.24465038090989
9,120.22644299999999,36.54385970077167
10,121.13000000000001,36.294205538340556
11,125.08999999999999,35.20005153314366
12,127.13000000000001,34.63639644102005
13,128.01,34.39325111029872
14,130.99,33.56987259849558
15,131.9,33.318438238319956
16,134.04,32.727153002844446
17,136.85,31.950745789475132
18,138.038426,31.622381896236977
19,140.03,31.22905440766999
20,142.97,30.648417123593347
21,146.97,29.858434753699527
22,151.09,29.044752385220086
23,154.97,28.278469110990866
24,158.489319,27.583418853407718
25,158.94,27.516127532844372
26,161.9,27.074169071553207
27,166.05,26.454531468330355
28,169.92,25.876700860650384
29,173.08,25.404880569625597
30,177.11,24.803160511882123
31,179.98,24.374640427323246
32,181.970086,24.07750042898189
33,182.07000000000002,24.066119295491657
34,185.88,23.632125061598153
35,191.09,23.038657974641108
36,194.19,22.685539613504552
37,197.79999999999998,22.274327875915702
38,201.95000000000002,21.801605236304987
39,205.23,21.427983527801153
40,208.929613,21.006563941047613
41,210.01,20.914041366001054
42,215.89000000000001,20.410490127459507
43,219.89999999999998,20.067081697579525
44,222.96,19.805029157575145
45,227.10999999999999,19.449631866990124
46,229.74,19.224423717414073
47,234.01000000000002,18.858790451120445
48,239.88329199999998,18.35584333002413
49,240.01000000000002,18.347482108262465
50,246.17,17.940965165481288
51,251.9,17.5628404626785
52,257.18,17.214375821208918
53,260.16,17.01774345124237
54,263.78,16.778862935721943
55,269.3,16.41458845939465
56,274.31,16.08397022176499
57,275.42287,16.01053045825177
58,278.76,15.841522326255463
59,283.95,15.578675791666095
60,289.89,15.277833656377688
61,295.96,14.970424076030778
62,300.77,14.726817284666256
63,307.78,14.371800650057882
64,316.227766,13.943970389076263
65,317.86,13.882230480031698
66,328.27000000000004,13.488460295616514
67,338.25,13.110954045498023
68,347.71999999999997,12.75273920208258
69,356.64,12.415330522723362
70,363.078055,12.171805371914857
71,365.79,12.0949844647711
72,375.18,11.828988151777457
73,384.8,11.556463124651808
74,394.67,11.276885232434847
75,404.79,10.990213431826577
76,414.22,10.723081072814324
77,416.86938299999997,10.648028463222989
78,421.92,10.538768692590837
79,429.77000000000004,10.368949980077755
80,440.79,10.130563290403211
81,451.06,9.908391568434373
82,460.51,9.703955876322444
83,470.15000000000003,9.495414284114402
84,478.630092,9.31196753775099
85,479.99,9.289342621915331
86,490.03999999999996,9.122125901377972
87,500.31,8.951264301848154
88,506.1,8.854930510328423
89,511.96,8.757483597392909
90,520.28,8.619057539859893
91,529.95,8.458165768736782
92,539.8,8.294265023301662
93,549.5408739999999,8.132210926826353
94,549.84,8.128414837865963
95,560.06,7.998732066193806
96,570.47,7.8666258616191325
97,579.74,7.748957044159556
98,590.52,7.612161146395773
99,600.12,7.490303494210774
100,609.87,7.366514755186944
101,619.78,7.240833881308365
102,629.85,7.113027383275036
103,630.957344,7.09897390552971
104,640.0799999999999,7.007195910632118
105,650.4799999999999,6.90257863084411
106,658.01,6.826819689225484
107,665.63,6.750176411782733
108,674.89,6.657012668100332
109,684.28,6.562512194283085
