lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
18450.0,3.833480343358044e-09
18550.0,3.832201832734883e-09
18650.0,3.8309233221117215e-09
18750.0,3.82964481148856e-09
18850.0,3.8283663008653986e-09
18950.0,3.8270877902422375e-09
19050.0,3.8258092796190764e-09
19150.0,3.824530768995915e-09
19250.0,3.8232522583727535e-09
19350.0,3.8219737477495924e-09
19450.0,3.820695237126431e-09
19550.0,3.81941672650327e-09
19650.0,3.818138215880109e-09
19750.0,3.816859705256947e-09
19850.0,3.815581194633786e-09
19950.0,3.814302684010625e-09
19952.6231,3.814269147398469e-09
20050.0,3.812970657349819e-09
20150.0,3.811637189095387e-09
20250.0,3.810303720840954e-09
20350.0,3.808970252586522e-09
20450.0,3.80763678433209e-09
20550.0,3.8063033160776575e-09
20650.0,3.804969847823226e-09
20750.0,3.803636379568793e-09
20850.0,3.8023029113143606e-09
20950.0,3.800969443059929e-09
21050.0,3.799635974805496e-09
21150.0,3.7983025065510645e-09
21250.0,3.796969038296632e-09
21350.0,3.7956355700422e-09
21450.0,3.7943021017877675e-09
21550.0,3.792968633533335e-09
21650.0,3.791635165278903e-09
21750.0,3.790301697024471e-09
21850.0,3.788968228770039e-09
21950.0,3.787634760515606e-09
22050.0,3.786301292261174e-09
22150.0,3.784967824006742e-09
22250.0,3.783634355752309e-09
22350.0,3.782300887497878e-09
22450.0,3.780967419243445e-09
22550.0,3.779633950989013e-09
22650.0,3.778300482734581e-09
22750.0,3.776967014480148e-09
22850.0,3.775633546225716e-09
22908.6765,3.774851113725404e-09
22950.0,3.773215248248257e-09
23050.0,3.769256567407702e-09
23150.0,3.765297886567147e-09
23250.0,3.7613392057265916e-09
23350.0,3.757380524886036e-09
23450.0,3.753421844045481e-09
23550.0,3.749463163204926e-09
23650.0,3.7455044823643705e-09
23750.0,3.741545801523815e-09
23850.0,3.73758712068326e-09
23950.0,3.733628439842704e-09
24050.0,3.729669759002149e-09
24150.0,3.725711078161593e-09
24250.0,3.7217523973210385e-09
24350.0,3.7177937164804833e-09
24450.0,3.7138350356399276e-09
24550.0,3.7098763547993723e-09
24650.0,3.705917673958817e-09
24750.0,3.7019589931182618e-09
24850.0,3.6980003122777065e-09
24950.0,3.6940416314371513e-09
25050.0,3.690082950596596e-09
25150.0,3.6861242697560407e-09
25250.0,3.6821655889154855e-09
25350.0,3.6782069080749302e-09
25450.0,3.6742482272343745e-09
25550.0,3.6702895463938193e-09
25650.0,3.666330865553264e-09
25750.0,3.6623721847127088e-09
25850.0,3.6584135038721535e-09
25950.0,3.6544548230315982e-09
26050.0,3.650496142191043e-09
26150.0,3.6465374613504877e-09
26250.0,3.6425787805099324e-09
26302.679900000003,3.6404933514018084e-09
26350.0,3.637896927253224e-09
26450.0,3.6324099900984333e-09
26550.0,3.6269230529436424e-09
26650.0,3.621436115788851e-09
26750.0,3.6159491786340603e-09
26850.0,3.610462241479269e-09
26950.0,3.604975304324478e-09
27050.0,3.5994883671696873e-09
27150.0,3.594001430014896e-09
27250.0,3.588514492860105e-09
27350.0,3.583027555705314e-09
27450.0,3.577540618550523e-09
27550.0,3.572053681395732e-09
27650.0,3.566566744240941e-09
27750.0,3.56107980708615e-09
27850.0,3.5555928699313588e-09
27950.0,3.550105932776568e-09
28050.0,3.544618995621777e-09
28150.0,3.5391320584669858e-09
28250.0,3.533645121312195e-09
28350.0,3.5281581841574037e-09
28450.0,3.522671247002613e-09
28550.0,3.517184309847822e-09
28650.0,3.5116973726930307e-09
28750.0,3.50621043553824e-09
28850.0,3.5007234983834485e-09
28950.0,3.4952365612286577e-09
29050.0,3.489749624073867e-09
29150.0,3.4842626869190756e-09
29250.0,3.4787757497642847e-09
29350.0,3.4732888126094934e-09
29450.0,3.4678018754547026e-09
29550.0,3.4623149382999117e-09
29650.0,3.4568280011451204e-09
29750.0,3.4513410639903296e-09
29850.0,3.4458541268355383e-09
29950.0,3.4403671896807474e-09
30050.0,3.4348802525259566e-09
30150.0,3.4293933153711653e-09
30199.5172,3.4266763377263533e-09
30250.0,3.4233211118821625e-09
30350.0,3.4166748366276392e-09
30450.0,3.410028561373116e-09
30550.0,3.4033822861185922e-09
30650.0,3.396736010864069e-09
