Wavelength,FluxDensity
91.11319,0.0012016756900993099
94.11692,0.0011809271490771545
96.11941,0.0011913328786660104
98.1219,0.0011936979995156624
100.12438,0.0011964630490758812
102.12687,0.0011998025342699068
104.12936,0.001203608202176925
106.13184,0.0012077721476384177
108.13434,0.0012125050112612578
110.13682,0.0012316471856015226
114.1418,0.0012284528658891545
118.146774,0.0012293223472109524
121.150505,0.001247433933695948
125.15548,0.0012371804803887859
127.15797,0.001247285503395261
128.15921,0.0012678660577236363
131.16295,0.0012511894182569902
132.1642,0.0012714642675269545
134.16667,0.0012778941879887738
137.17041,0.0012834376520043144
140.17413,0.001295475635399292
143.17787,0.0013141439727731863
147.18283,0.001325240112913465
151.18782,0.001343034723260906
155.1928,0.0013617386037906428
159.19777,0.0013750918044841758
162.20149,0.0014040764701704874
166.20648,0.0014224612817246357
170.21146,0.0014413687148675267
173.2152,0.001473708415106132
177.22015,0.0014881433137700125
180.22389,0.0015087440227311306
182.22638,0.001542538987608733
186.23135,0.0015652715340196317
191.23756,0.0015811609329776817
194.2413,0.0016201972180357523
198.24628,0.0016417345651336907
202.25127,0.0016639349494860518
205.25499,0.0017051932456505173
210.26122,0.0017370408827459443
216.26868,0.0017647203328327358
220.27364,0.0018031474102095416
223.27737,0.0018413767741612425
227.28235,0.0032389085179267674
230.28609,0.013044153352255238
234.29106,0.013928214387088477
240.29852,0.013273385511773586
246.30598,0.012678451355254104
252.31346,0.012132930991305477
257.31967,0.011713123236177188
260.3234,0.011466005101213381
264.3284,0.011167294573627943
269.3346,0.010762502171978808
274.34082,0.010368391163207263
279.34705,0.009964288613025682
284.35324,0.009663087629617366
290.36072,0.009288228834131036
296.36816,0.008892178776714398
301.3744,0.008578346152288746
308.3831,0.008204873286635467
318.39554,0.007678315166090007
328.408,0.007179362740425667
338.4204,0.006704293382050085
348.43286,0.0062913521719382
357.44406,0.006038832128674202
366.45523,0.005872638782146376
375.46646,0.005592755980350325
385.47888,0.005250167660970719
395.4913,0.0051254891916682095
405.50375,0.00499553720810908
414.51495,0.004783691428755472
422.5249,0.004552649655431383
430.53485,0.004368224321879489
441.54852,0.00422204936739751
451.56097,0.004057957663622399
460.57217,0.003845177921650586
470.5846,0.003697151817878021
480.59705,0.003585383468039058
490.6095,0.0034100064717662104
500.62192,0.003354047676261852
506.62943,0.003257851136296899
512.63684,0.003368359161893159
520.6468,0.0032631592133267034
530.6592,0.0030887391193653423
540.6717,0.0028670356567804182
550.68414,0.0027551566764473095
560.69653,0.00281865323095914
570.709,0.002811896426513314
580.72144,0.0027274330932494156
590.7338,0.002660825872505409
600.7463,0.0024985138745379025
610.7588,0.002406642377910706
620.7712,0.002438210014030566
630.7836,0.0023639351979270005
640.7961,0.002366704811884133
650.8085,0.0023025714713886384
658.8184,0.002211248201024765
665.82715,0.002231240972219083
675.8396,0.0022332712196364178
685.85205,0.0021279389383708314
695.86444,0.0021192390807280533
705.8769,0.0020167930585811163
716.89056,0.0020899542186121486
726.9031,0.0020768948212299726
735.91425,0.0020567859904829983
745.92664,0.001997575335643269
755.9391,0.0019599775994812866
765.95154,0.0018912588039002277
775.9639,0.0019130080261969176
785.97644,0.001776212936526949
795.9889,0.0018593053521429896
806.0013,0.0018841815353367766
816.01373,0.0018751562148148178
826.0262,0.001865478819843839
836.0386,0.0017214633436361821
846.051,0.001810351131195546
856.06354,0.001799238681538891
866.0759,0.001833052534383224
876.0884,0.0018599313609747883
886.1008,0.0018743650018104685
896.1132,0.0018716482991861644
906.1257,0.0020451207631124436
916.1381,0.003864136549016035
926.1506,0.005147365050649141
936.163,0.006869315744253894
946.1754,0.008483958790720959
956.18787,0.010422494371610885
966.2003,0.011366188064861353
976.2127,0.006112341194964259
986.22516,0.01140013667069471
996.2376,0.012619938145245676
1006.25006,0.014937170203645225
1016.26245,0.014176162684257245
1026.2749,0.008378417537391592
1036.2875,0.012591571727195296
1046.2998,0.020159589112988086
1056.3123,0.020843683230276647
1066.3247,0.0188550058380702
1076.3372,0.02131782871210256
1086.3495,0.01941444766053195
1096.362,0.023464241083841732
1106.3745,0.02320016324029343
1116.3868,0.02323163405711719
1126.3994,0.022070004354929403
1136.4117,0.026801961030941426
1146.4242,0.02631683906646781
1156.4366,0.027330901263789693
1166.4491,0.028899547660178715
1176.4615,0.02458087705635533
1186.474,0.03140794886338006
1196.4865,0.026034327703009816
1206.4988,0.020564774780851978
1210.2235,0.033139051032589
1210.3036,0.03492817273240554
1210.3737,0.035389163397826474
1210.4437,0.035876608216440044
1210.5238,0.03639243663700435
1210.5939,0.036941753394849994
1210.6641,0.0375271514727615
1210.734,0.038152118440439656
1210.8142,0.0388199659979089
1210.8843,0.039536781062308235
1210.9542,0.04030644172225175
1211.0345,0.0411333082375261
1211.1046,0.04202493009774176
1211.1747,0.04298555814349324
1211.2548,0.04402114393073358
1211.3248,0.04514041556849629
1211.3949,0.04634939202811975
1211.465,0.04765544405694763
1211.5452,0.04906779055330138
1211.6151,0.050595344150321894
1211.6853,0.052246147295670606
1211.7654,0.05402931308051692
1211.8353,0.05595736004417112
1211.9055,0.05803998813900622
1211.9756,0.06028703586428308
1212.0558,0.06271259658948843
1212.1259,0.06532815256970749
1212.1959,0.06814457197633701
1212.276,0.07117789136255535
1212.3461,0.07444073545451063
1212.4163,0.07794493501620044
1212.4963,0.08170813636614727
1212.5664,0.0857453574545066
1212.6365,0.09006803581482313
1212.7064,0.09469099873406549
1212.7866,0.09963291608816964
1212.8567,0.10490785148156656
1212.9268,0.11052827719344986
1213.0068,0.11651409910631842
1213.0769,0.12287829379858191
1213.1471,0.12963280988942655
1213.2272,0.13679711016295298
1213.2974,0.144382570282217
1213.3674,0.1523994224181618
1213.4375,0.16086746884300596
1213.5176,0.16979551385226743
1213.5876,0.17919186926996722
1213.6577,0.18906116867475067
1213.7378,0.1994233221530466
1213.808,0.21027806980740468
1213.8779,0.22163103985648006
1213.948,0.2334921224596305
1214.0282,0.24585659081073627
1214.0981,0.25872424695626917
1214.1685,0.27210151836919905
1214.2485,0.28597871080301107
1214.3186,0.3003448775432313
1214.3887,0.3152020087294467
1214.4688,0.3305419597226334
1214.5388,0.3463373915600096
1214.6089,0.36257172892495965
1214.6791,0.37924109000079664
1214.759,0.39631282641631577
1214.8291,0.41375998399471814
1214.8993,0.43157128742937595
1214.9792,0.44970188411155587
1215.0494,0.46812453944941046
1215.1195,0.48681059561501316
1215.1996,0.505724078982661
1215.2698,0.5248128305734217
1215.3398,0.5440316253652253
1215.4099,0.5633527936458128
1215.49,0.5827177274779837
1215.5602,0.6020773347349664
1215.6301,0.6213911354040287
1215.7102,0.6405985115937128
1215.7804,0.6596442793740129
1215.8503,0.6784842779530048
1215.9205,0.6970583625659806
1216.0006,0.7152989198218983
1216.0707,0.733168697336834
1216.1407,0.750613219060276
1216.221,0.7675510773312035
1216.291,0.7839386100318789
1216.3611,0.7997327211417531
1216.4413,0.8149397098341913
1216.5114,0.8294377953878629
1216.5813,0.8425728861055602
1216.6515,0.8549091127240614
1216.7316,0.86644879703789
1216.8016,0.8771035332089299
1216.8717,0.8868203197325543
1216.9518,0.8955594524125691
1217.0219,0.9032989580479589
1217.0919,0.9100037694186415
1217.1721,0.9156395648762887
1217.2421,0.9589272088568248
1217.3124,0.9625258777594236
1217.3824,0.964956303943633
1217.4624,0.9662078046594247
1217.5326,0.9662837617560442
1217.6027,0.9651758277867684
1217.6827,0.9628891376602324
1217.7528,0.9594291449559483
1217.823,0.9548133295194654
1217.893,0.9490584405956227
1217.973,0.9421763480278742
1218.0432,0.9341997635362903
1218.1132,0.9251615781490574
1218.1934,0.9150896206942448
1218.2634,0.9040247539672304
1218.3335,0.8920018218547175
1218.4137,0.879073114220312
1218.4838,0.8652752483523324
1218.5538,0.8506612648721508
1218.6239,0.8352917642099513
1218.704,0.8191985205355969
1218.774,0.8024541870697408
1218.8441,0.78511639615383
1218.9243,0.7672271002567851
1218.9943,0.7488486924895859
1219.0645,0.7300517216358237
1219.1445,0.710894204364684
1219.2145,0.6914215410464712
1219.2847,0.6717001444314735
1219.3549,0.6517926272540258
1219.4349,0.6317380608952018
1219.505,0.6116039700970914
1219.5752,0.5914525005760853
1219.6553,0.5713114382491673
1219.7252,0.5512466452542538
1219.7954,0.5313120474572685
1219.8654,0.5115334109469682
1219.9456,0.4919544645007593
1220.0156,0.47263555131806434
1220.0857,0.45361212829018116
1220.1658,0.4349015819231968
1220.2358,0.41654520893218955
1220.306,0.3985821933845713
1220.386,0.3810200028036665
1220.4562,0.36389054166330403
1220.5264,0.34722424289712994
1220.5963,0.33102581543176607
1220.6765,0.3153072226035007
1220.7466,0.3000968417160099
1220.8167,0.2854038434996925
1220.8967,0.2712231477474685
1220.9668,0.25756597252657804
1221.0369,0.24444289925850238
1221.117,0.2318407055203514
1221.1871,0.2197647623855471
1221.2571,0.20821964406109547
1221.3273,0.19718553971094024
1221.4073,0.1866632335935546
1221.4774,0.17665043848123654
1221.5476,0.16712722196754567
1221.6277,0.15808463524554997
1221.6978,0.149516999949772
1221.7678,0.14141342332127171
1221.8379,0.13375166562929494
1221.918,0.1265227028676434
1221.988,0.11971380817942454
1222.0582,0.11330370870652276
1222.1382,0.10728002408484762
1222.2083,0.10162981821675178
1222.2784,0.09633186184111694
1222.3584,0.09137278837292775
1222.4286,0.086739010558512
1222.4988,0.08241013699139961
1222.5688,0.07837124803545138
1222.6489,0.0746102264021599
1222.719,0.07111173558032037
1222.7891,0.06785803896469876
1222.8691,0.06483618424811068
1222.9393,0.062033776596312235
1223.0093,0.05943417970350766
1223.0894,0.05702638460008288
1223.1595,0.05479836212907617
1223.2295,0.05273617292389266
1223.2997,0.050829456646716294
1223.3798,0.049068372237662014
1223.45,0.047440215448172764
1223.5199,0.04593579263507489
1223.6001,0.044546974289611435
1223.6703,0.043264862193135516
1223.7402,0.042079752859323555
1223.8104,0.04098449239968678
1223.8905,0.039972837487048905
1223.9604,0.039035935841004815
1224.0306,0.03816843146195724
1224.1107,0.03736516263799539
1224.1808,0.036618789887963556
1224.2509,0.035925285173838306
1224.331,0.0352801866463086
1224.401,0.03467809398163137
1224.4711,0.03411512831731747
1224.5413,0.03358826923334368
1224.6213,0.033094252220049324
1224.6915,0.03262863818364357
1224.7616,0.03225009234789339
1226.5237,0.026834029346558333
1236.5361,0.03901604416041253
1246.5486,0.043399761566932586
1256.561,0.043890420793199325
1266.5735,0.04196202103332406
1276.5858,0.049670552335985274
1286.5984,0.05182668143356179
1296.6107,0.047124703835276
1306.6232,0.048950172638081144
1316.6356,0.05667367782257337
1326.6481,0.05645054935654061
1336.6605,0.055161972595940786
1346.673,0.06119675926583556
1356.6854,0.06253754811594399
1366.6978,0.06075815555883535
1376.7103,0.06320087823922291
1386.7227,0.06535453503551703
1396.7351,0.061251906328344444
1406.7477,0.06541006400808759
1416.76,0.06832831777847323
1426.7725,0.0703110988633694
1436.7849,0.07299619409144771
1443.7936,0.07622767891860581
1448.7998,0.07735505516996205
1456.8097,0.07759042933763563
1466.8223,0.07594043930690093
1476.8347,0.07797458325886769
1486.847,0.07937742735581287
1496.8596,0.08175564338787346
1506.872,0.08061936481008453
1513.8807,0.07634726370923574
1518.887,0.08012700520314771
1526.8969,0.08042076994965643
1536.9093,0.07648635496571882
1546.9218,0.08018117756762119
1556.9342,0.07997124580644593
1566.9467,0.08124455713334851
1576.959,0.08793553479367036
1586.9716,0.09091466141652722
1596.9839,0.09517914572897161
1606.9963,0.09410878808632218
1617.0089,0.09463367471938126
1627.0212,0.09242479762174165
1637.0337,0.09713956718406434
1647.0461,0.09957591704349379
1657.0586,0.09466469317951223
1667.0709,0.10248741575168949
1674.0797,0.09713907814693756
1679.0859,0.11389153529008794
1687.096,0.11783472065287438
1697.1083,0.1120881748197342
1707.1207,0.11135016178469459
1717.1332,0.11377214239004282
1727.1456,0.11642405928324635
1737.158,0.12440393617386107
1747.1705,0.12325757950208775
1757.183,0.13095819763845865
1767.1953,0.12050912946868414
1777.2079,0.1273794784825251
1787.2202,0.13103035154311363
1797.2327,0.14249483367819057
1807.2451,0.14115763428853265
1817.2576,0.13770232601047663
1827.27,0.1374644871740921
1837.2825,0.13217177413175718
1847.2949,0.12375983823690409
1857.3073,0.12940079172567312
1867.3198,0.13787474867199787
1877.3322,0.14202635545756573
1887.3446,0.13796162711634807
1897.3572,0.13941952006810696
1907.3695,0.14466086382456653
1917.382,0.1420607601082501
1927.3944,0.13627726343796626
1937.4069,0.12989416742558405
1947.4192,0.149563212060726
1957.4318,0.15027552221408177
1969.4465,0.16219851001016133
1978.4579,0.16357149932205467
1986.4677,0.16088896162667274
1997.4816,0.1584382071465568
2007.4938,0.15698566897814015
2017.5063,0.1544364400579835
2027.5188,0.1549837142927146
2037.5312,0.159783873846678
2047.5437,0.1677057823801066
2057.556,0.16193671687949746
2067.5686,0.16213230419485242
2076.5796,0.17643433056422508
2080.5847,0.18920199848805633
2087.5935,0.1943136716638441
2097.6057,0.18560966745780222
2107.6182,0.18129793507624856
2117.6306,0.18453678566725537
2127.6433,0.1834468992205946
2137.6558,0.17290115779357484
2147.668,0.1835563814820656
2157.6804,0.18770234596403285
2167.6929,0.17993288476751026
2177.7053,0.18089443331598273
2187.718,0.18821581705481547
2197.7302,0.19606244000243628
2207.7427,0.18953275495552002
2217.7551,0.17648203205185084
2227.7676,0.17699599936456573
2237.7798,0.19496791052760057
2247.7925,0.18905771952017758
2257.805,0.17540107798232213
2267.8174,0.17646926289324003
2277.8298,0.18572053383122897
2287.842,0.1962067195332556
2297.8545,0.18708340597985806
2307.867,0.1933454249852362
2317.8796,0.1837548446763342
2327.892,0.15561218609957758
2337.9043,0.15969932981591503
2347.9167,0.15088016479682775
2357.9292,0.17259869368728065
2367.9417,0.1544637292713161
