,alpha,completeness_combined
0,0,26.0 ± 8.0
1,10,28.0 ± 8.0
2,20,27.0 ± 8.0
3,30,23.0 ± 7.0
4,40,20.0 ± 7.0
5,50,16.0 ± 6.0
6,60,13.0 ± 6.0
7,70,10.0 ± 5.0
8,80,9.0 ± 5.0
9,90,6.0 ± 4.0
10,100,6.0 ± 4.0
