,Star-forming,Quiescent,Dusty
0,40.0 ± 8.0,53.0 ± 9.0,6.0 ± 4.0
1,40.0 ± 8.0,53.0 ± 9.0,6.0 ± 4.0
2,40.0 ± 8.0,52.0 ± 9.0,7.0 ± 5.0
3,40.0 ± 8.0,52.0 ± 9.0,7.0 ± 5.0
4,40.0 ± 8.0,52.0 ± 9.0,7.0 ± 5.0
5,40.0 ± 8.0,52.0 ± 9.0,7.0 ± 5.0
6,40.0 ± 8.0,52.0 ± 9.0,7.0 ± 5.0
7,40.0 ± 8.0,52.0 ± 9.0,7.0 ± 5.0
8,40.0 ± 8.0,52.0 ± 9.0,7.0 ± 5.0
9,40.0 ± 8.0,52.0 ± 9.0,7.0 ± 5.0
10,40.0 ± 8.0,52.0 ± 9.0,7.0 ± 5.0
