,AGN Contribution (%),Completeness (%)
0,0,66.5625
10,10,66.484375
20,20,66.328125
30,30,66.25
40,40,66.171875
50,50,66.25
60,60,65.9375
70,70,65.859375
80,80,65.78125
90,90,65.859375
100,100,65.78125
