,Star-forming,Quiescent,Dusty
0,0.32,0.48,0.12
10,0.32,0.48,0.12
20,0.32,0.48,0.12
30,0.32,0.48,0.12
40,0.32,0.48,0.12
50,0.32,0.48,0.12
60,0.32,0.48,0.12
70,0.32,0.48,0.12
80,0.32,0.48,0.12
90,0.32,0.48,0.12
100,0.32,0.48,0.12
