,AGN Contribution (%),Completeness (%)
0,0,59.6401028277635
10,10,53.8560411311054
20,20,49.228791773778916
30,30,44.2159383033419
40,40,39.84575835475578
50,50,34.447300771208226
60,60,28.92030848329049
70,70,23.00771208226221
80,80,19.02313624678663
90,90,14.781491002570693
100,100,11.311053984575835
