,AGN Contribution (%),Completeness (%)
0,0,66.5625
10,10,16.5625
20,20,10.078125
30,30,6.328125
40,40,3.9843749999999996
50,50,2.5
60,60,1.5625
70,70,0.3125
80,80,0.0
90,90,0.0
100,100,0.0
