,Missed Selection,Misidentification,Correct Identification,Correct Non-UGR Identification
0,428,140,852,3700
10,1068,64,212,3776
20,1151,31,129,3809
30,1199,14,81,3826
40,1229,8,51,3832
50,1248,3,32,3837
60,1260,0,20,3840
70,1276,0,4,3840
80,1280,0,0,3840
90,1280,0,0,3840
100,1280,0,0,3840
