,alpha,completeness
0,0,0.0006114071097912482
1,10,0.0006987509826185693
2,20,0.002096252947855708
3,30,0.007773604681631584
4,40,0.017381430692636913
5,50,0.033452703292864004
6,60,0.049261944274609136
7,70,0.0648091536378723
8,80,0.08070573849244475
9,90,0.0949427897632981
10,100,0.10830640230587825
