,Missed Selection,Misidentification,Correct Identification,Correct Non-UGR Identification
0,428,140,852,3700
10,429,140,851,3700
20,431,138,849,3702
30,432,138,848,3702
40,433,138,847,3702
50,432,138,848,3702
60,436,138,844,3702
70,437,137,843,3703
80,438,137,842,3703
90,437,138,843,3702
100,438,137,842,3703
