,Missed Selection,Misidentification,Correct Identification,Correct Non-UGR Identification
0,242,11,8,739
10,250,0,0,750
20,250,0,0,750
30,250,0,0,750
40,250,0,0,750
50,250,0,0,750
60,250,0,0,750
70,250,0,0,750
80,250,0,0,750
90,250,0,0,750
100,250,0,0,750
