# NGC 0660       
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010233 3.153366e-17 9.034200e-26 0 
    0.010423 5.062574e-17 1.398000e-25 0 
    0.010641 8.259438e-17 2.188300e-25 0 
    0.010839 1.363244e-16 3.481100e-25 0 
    0.011041 2.507396e-16 6.170600e-25 0 
    0.011429 5.800490e-16 1.332200e-24 0 
    0.011830 1.234956e-15 2.647300e-24 0 
    0.012134 6.502832e-15 1.325000e-23 0 
    0.012531 1.231083e-14 2.352000e-23 0 
    0.012735 1.629046e-14 3.013400e-23 0 
    0.012823 1.899926e-14 3.466400e-23 0 
    0.013152 2.819033e-14 4.889200e-23 0 
    0.013243 3.663684e-14 6.267100e-23 0 
    0.013428 4.673125e-14 7.775100e-23 0 
    0.013740 7.779306e-14 1.236200e-22 0 
    0.014028 1.097534e-13 1.673200e-22 0 
    0.014355 4.006748e-13 5.833200e-22 0 
    0.014757 1.383559e-12 1.906000e-21 0 
    0.015136 2.014998e-12 2.638600e-21 0 
    0.015560 2.947491e-12 3.652200e-21 0 
    0.015959 4.252723e-12 5.009300e-21 0 
    0.016255 5.521335e-12 6.268900e-21 0 
    0.016634 7.840102e-12 8.500600e-21 0 
    0.017061 1.082712e-11 1.115900e-20 0 
    0.017338 1.373871e-11 1.371100e-20 0 
    0.017742 1.854255e-11 1.767200e-20 0 
    0.018072 2.314812e-11 2.126300e-20 0 
    0.018239 2.661843e-11 2.400500e-20 0 
    0.018664 3.526527e-11 3.037100e-20 0 
    0.019143 4.913787e-11 4.022700e-20 0 
    0.019454 6.009031e-11 4.763300e-20 0 
    0.019861 7.691036e-11 5.849300e-20 0 
    0.020277 9.866528e-11 7.199100e-20 0 
    0.020559 1.176537e-10 8.350700e-20 0 
    0.021038 1.491701e-10 1.011100e-19 0 
    0.021677 2.174662e-10 1.388400e-19 0 
    0.022080 2.701384e-10 1.662300e-19 0 
    0.022387 3.111479e-10 1.862500e-19 0 
    0.022751 3.821672e-10 2.215000e-19 0 
    0.023067 6.570559e-10 3.704600e-19 0 
    0.023442 1.281919e-09 6.998300e-19 0 
    0.024044 2.007597e-09 1.041800e-18 0 
    0.024660 2.346515e-09 1.157600e-18 0 
    0.025293 3.077343e-09 1.443100e-18 0 
    0.025763 3.021530e-09 1.365700e-18 0 
    0.026062 3.878391e-09 1.713000e-18 0 
    0.026485 4.621421e-09 1.976500e-18 0 
    0.026977 5.367461e-09 2.212600e-18 0 
    0.027479 6.191279e-09 2.459800e-18 0 
    0.027990 7.140795e-09 2.734400e-18 0 
    0.028510 8.197562e-09 3.025600e-18 0 
    0.029107 9.151079e-09 3.240400e-18 0 
    0.029717 1.087067e-08 3.692900e-18 0 
    0.030200 1.214168e-08 3.993800e-18 0 
    0.030903 1.458246e-08 4.580900e-18 0 
    0.031915 1.878272e-08 5.532100e-18 0 
    0.032885 2.321563e-08 6.440300e-18 0 
    0.033884 2.829593e-08 7.393600e-18 0 
    0.034914 3.408939e-08 8.389600e-18 0 
    0.035810 4.006636e-08 9.373300e-18 0 
    0.036728 4.729854e-08 1.051900e-17 0 
    0.037584 5.446349e-08 1.156700e-17 0 
    0.038637 6.164839e-08 1.238900e-17 0 
    0.039628 7.410615e-08 1.415700e-17 0 
    0.040644 8.663847e-08 1.573400e-17 0 
    0.041495 9.726072e-08 1.694600e-17 0 
    0.042364 1.066835e-07 1.783300e-17 0 
    0.043152 1.170761e-07 1.886200e-17 0 
    0.044259 1.349327e-07 2.066500e-17 0 
    0.045186 1.496825e-07 2.199300e-17 0 
    0.046132 1.633648e-07 2.302900e-17 0 
