# NGC 0584  
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010069 1.962437e-09 5.806900e-18 0 
    0.010257 2.540165e-09 7.243400e-18 0 
    0.010471 3.025494e-09 8.278300e-18 0 
    0.010666 3.688253e-09 9.726100e-18 0 
    0.010864 4.579428e-09 1.164000e-17 0 
    0.011066 6.634278e-09 1.625300e-17 0 
    0.011482 9.265018e-09 2.108300e-17 0 
    0.011858 1.218545e-08 2.599800e-17 0 
    0.012162 4.025585e-08 8.164700e-17 0 
    0.012589 5.114508e-08 9.681500e-17 0 
    0.012764 5.607696e-08 1.032600e-16 0 
    0.012882 5.967416e-08 1.078800e-16 0 
    0.013183 6.773813e-08 1.169300e-16 0 
    0.013274 7.885497e-08 1.342600e-16 0 
    0.013490 8.547605e-08 1.409100e-16 0 
    0.013772 1.075987e-07 1.701900e-16 0 
    0.014093 1.210147e-07 1.827900e-16 0 
    0.014388 2.863011e-07 4.149000e-16 0 
    0.014791 6.249052e-07 8.569200e-16 0 
    0.015205 7.011207e-07 9.097900e-16 0 
    0.015596 7.904010e-07 9.748600e-16 0 
    0.015996 8.950404e-07 1.049400e-15 0 
    0.016293 9.745988e-07 1.101400e-15 0 
    0.016711 1.103626e-06 1.185600e-15 0 
    0.017100 1.224126e-06 1.255900e-15 0 
    0.017418 1.329845e-06 1.315000e-15 0 
    0.017824 1.468386e-06 1.386600e-15 0 
    0.018113 1.576866e-06 1.441900e-15 0 
    0.018323 1.658853e-06 1.482300e-15 0 
    0.018707 1.814851e-06 1.555800e-15 0 
    0.019231 2.036168e-06 1.651700e-15 0 
    0.019498 2.176738e-06 1.717700e-15 0 
    0.019907 2.365051e-06 1.790400e-15 0 
    0.020324 2.581243e-06 1.874700e-15 0 
    0.020606 2.740415e-06 1.936200e-15 0 
    0.021135 2.909578e-06 1.954100e-15 0 
    0.021727 3.379181e-06 2.147500e-15 0 
    0.022131 3.654420e-06 2.238400e-15 0 
    0.022439 3.817939e-06 2.274800e-15 0 
    0.022856 4.128849e-06 2.371100e-15 0 
    0.023121 6.350818e-06 3.564000e-15 0 
    0.023550 1.098501e-05 5.942100e-15 0 
    0.024155 1.448216e-05 7.446300e-15 0 
    0.024774 1.438183e-05 7.029800e-15 0 
    0.025351 1.587853e-05 7.412100e-15 0 
    0.025882 1.357731e-05 6.080500e-15 0 
    0.026182 1.628650e-05 7.127600e-15 0 
    0.026546 1.757192e-05 7.480700e-15 0 
    0.027040 1.806481e-05 7.412100e-15 0 
    0.027542 1.856985e-05 7.344100e-15 0 
    0.028054 1.900250e-05 7.243400e-15 0 
    0.028576 1.967078e-05 7.226700e-15 0 
    0.029174 1.940048e-05 6.838200e-15 0 
    0.029785 2.026804e-05 6.853900e-15 0 
    0.030269 2.017500e-05 6.606000e-15 0 
    0.030974 2.122328e-05 6.636500e-15 0 
    0.031989 2.274173e-05 6.667200e-15 0 
    0.032961 2.364935e-05 6.530400e-15 0 
    0.034041 2.448059e-05 6.337800e-15 0 
    0.034995 2.499388e-05 6.122700e-15 0 
    0.035892 2.581152e-05 6.010900e-15 0 
    0.036813 2.696616e-05 5.969500e-15 0 
    0.037757 2.753054e-05 5.793500e-15 0 
    0.038726 2.709114e-05 5.419300e-15 0 
    0.039719 2.876173e-05 5.469400e-15 0 
    0.040738 2.984155e-05 5.394400e-15 0 
    0.041687 3.032645e-05 5.235300e-15 0 
    0.042462 3.032622e-05 5.045900e-15 0 
    0.043251 3.053585e-05 4.897100e-15 0 
    0.044361 3.146473e-05 4.796700e-15 0 
    0.045394 3.175545e-05 4.623200e-15 0 
    0.046238 3.175572e-05 4.456000e-15 0 
    0.047315 3.219711e-05 4.314600e-15 0 
    0.048306 3.287158e-05 4.226100e-15 0 
    0.049317 3.264454e-05 4.026600e-15 0 
    0.050350 3.355995e-05 3.971400e-15 0 
    0.050933 3.332904e-05 3.854300e-15 0 
    0.051523 3.538519e-05 3.998900e-15 0 
    0.052360 3.546677e-05 3.881000e-15 0 
    0.053333 3.522137e-05 3.714800e-15 0 
    0.054325 3.442089e-05 3.499000e-15 0 
    0.055335 3.434195e-05 3.364700e-15 0 
    0.056364 3.587780e-05 3.388000e-15 0 
    0.057280 3.671328e-05 3.356900e-15 0 
    0.058345 3.654457e-05 3.220600e-15 0 
    0.059293 3.696833e-05 3.154600e-15 0 
    0.060395 3.612661e-05 2.971300e-15 0 
    0.061376 3.272028e-05 2.605800e-15 0 
    0.062373 3.756691e-05 2.896900e-15 0 
    0.063387 3.713756e-05 2.772900e-15 0 
    0.064417 3.809148e-05 2.753900e-15 0 
    0.065464 3.791556e-05 2.654200e-15 0 
    0.066222 3.731058e-05 2.552400e-15 0 
    0.066834 3.817760e-05 2.564100e-15 0 
    0.067920 3.870875e-05 2.517300e-15 0 
    0.068865 3.730995e-05 2.360200e-15 0 
    0.069984 3.879843e-05 2.376500e-15 0 
    0.070958 3.713844e-05 2.212800e-15 0 
    0.072111 3.915771e-05 2.259100e-15 0 
    0.073114 3.933869e-05 2.207700e-15 0 
    0.073961 3.942941e-05 2.162400e-15 0 
    0.074989 3.906729e-05 2.084200e-15 0 
    0.076033 3.906812e-05 2.027400e-15 0 
    0.076913 3.595902e-05 1.823600e-15 0 
    0.077983 3.906861e-05 1.927300e-15 0 
    0.078886 3.791675e-05 1.827900e-15 0 
    0.079983 3.879951e-05 1.819500e-15 0 
    0.080910 3.915855e-05 1.794500e-15 0 
    0.082035 3.933758e-05 1.753600e-15 0 
    0.082985 3.942986e-05 1.717700e-15 0 
    0.083946 3.671216e-05 1.562900e-15 0 
    0.084918 3.915849e-05 1.629100e-15 0 
    0.086099 3.906671e-05 1.581000e-15 0 
    0.087096 3.942801e-05 1.559300e-15 0 
    0.088105 3.961199e-05 1.530900e-15 0 
    0.089125 3.952039e-05 1.492600e-15 0 
    0.089950 3.943015e-05 1.462000e-15 0 
    0.090991 3.924693e-05 1.422100e-15 0 
    0.092045 4.313521e-05 1.527400e-15 0 
    0.093111 7.011730e-05 2.426300e-15 0 
    0.093972 9.858634e-05 3.349200e-15 0 
    0.095060 1.255488e-04 4.168100e-15 0 
    0.096161 1.438207e-04 4.666000e-15 0 
    0.097051 1.555311e-04 4.953800e-15 0 
    0.098175 8.726223e-05 2.716100e-15 0 
    0.099083 1.408705e-04 4.304700e-15 0 
    0.100000 1.386167e-04 4.158500e-15 0 
    0.101158 1.643683e-04 4.818800e-15 0 
    0.102094 1.666563e-04 4.796700e-15 0 
    0.103039 1.103641e-04 3.118500e-15 0 
    0.104232 1.526942e-04 4.216400e-15 0 
    0.105196 2.003646e-04 5.431800e-15 0 
    0.106170 1.976181e-04 5.259500e-15 0 
    0.107152 1.757213e-04 4.591400e-15 0 
    0.108143 1.922292e-04 4.931100e-15 0 
    0.109144 1.639902e-04 4.129900e-15 0 
    0.110154 2.008242e-04 4.965200e-15 0 
    0.111173 1.958023e-04 4.752700e-15 0 
    0.112202 1.940093e-04 4.623200e-15 0 
    0.113240 1.785730e-04 4.177700e-15 0 
    0.114288 2.064540e-04 4.741800e-15 0 
    0.115080 1.985275e-04 4.497200e-15 0 
    0.116145 2.031498e-04 4.517900e-15 0 
    0.117220 2.045598e-04 4.466200e-15 0 
    0.118304 1.580597e-04 3.388000e-15 0 
    0.119124 2.012879e-04 4.255400e-15 0 
    0.120226 1.765303e-04 3.663900e-15 0 
    0.121339 1.544606e-04 3.147300e-15 0 
    0.122180 1.152985e-04 2.317100e-15 0 
    0.123311 1.789852e-04 3.531300e-15 0 
    0.124165 2.117466e-04 4.120400e-15 0 
    0.125314 2.212166e-04 4.226100e-15 0 
    0.126183 2.176823e-04 4.101500e-15 0 
    0.127350 2.102883e-04 3.889900e-15 0 
    0.128233 2.343227e-04 4.275000e-15 0 
    0.129420 2.408918e-04 4.314600e-15 0 
    0.130317 2.117494e-04 3.740600e-15 0 
    0.131220 2.142005e-04 3.732000e-15 0 
    0.132434 2.436777e-04 4.168100e-15 0 
    0.133352 2.370382e-04 3.998900e-15 0 
    0.134277 2.227525e-04 3.706300e-15 0 
    0.135207 2.448061e-04 4.017400e-15 0 
    0.136458 2.425605e-04 3.907900e-15 0 
    0.137404 2.284652e-04 3.630300e-15 0 
    0.138357 2.321813e-04 3.638700e-15 0 
    0.139316 2.337873e-04 3.613600e-15 0 
    0.140281 1.958037e-04 2.985000e-15 0 
    0.141254 1.971592e-04 2.964400e-15 0 
    0.142233 2.268955e-04 3.364700e-15 0 
    0.143219 2.258473e-04 3.303200e-15 0 
    0.144212 2.321788e-04 3.349200e-15 0 
    0.145211 2.386821e-04 3.395800e-15 0 
    0.145546 2.397846e-04 3.395800e-15 0 
    0.146218 2.348632e-04 3.295600e-15 0 
    0.147231 2.253321e-04 3.118500e-15 0 
    0.148252 2.279406e-04 3.111300e-15 0 
    0.149279 2.316445e-04 3.118500e-15 0 
    0.150314 2.321790e-04 3.082800e-15 0 
    0.151356 2.248101e-04 2.944000e-15 0 
    0.152055 2.093273e-04 2.716100e-15 0 
    0.152757 2.181872e-04 2.805100e-15 0 
    0.153462 2.171835e-04 2.766600e-15 0 
    0.154525 1.957994e-04 2.460000e-15 0 
    0.155597 1.926746e-04 2.387500e-15 0 
    0.156315 1.895945e-04 2.327800e-15 0 
    0.157398 2.026854e-04 2.454400e-15 0 
    0.158489 2.146901e-04 2.564100e-15 0 
    0.159588 2.217273e-04 2.611800e-15 0 
    0.160325 2.248167e-04 2.623900e-15 0 
    0.161436 2.217319e-04 2.552400e-15 0 
    0.162555 2.222357e-04 2.523100e-15 0 
    0.163305 2.171796e-04 2.443100e-15 0 
    0.164437 2.284660e-04 2.534800e-15 0 
    0.165577 2.316448e-04 2.534800e-15 0 
    0.166341 2.242968e-04 2.431900e-15 0 
    0.167494 2.375820e-04 2.540600e-15 0 
    0.168267 2.201963e-04 2.333100e-15 0 
    0.168655 2.534027e-04 2.672600e-15 0 
    0.169434 2.575288e-04 2.691200e-15 0 
    0.170608 2.464982e-04 2.540600e-15 0 
    0.171396 2.436788e-04 2.488500e-15 0 
    0.172584 2.436829e-04 2.454400e-15 0 
    0.173380 2.459360e-04 2.454400e-15 0 
    0.174582 2.653491e-04 2.611800e-15 0 
    0.175388 2.611092e-04 2.546500e-15 0 
    0.176604 2.823746e-04 2.716100e-15 0 
    0.177419 2.605078e-04 2.482800e-15 0 
    0.178649 2.721538e-04 2.558200e-15 0 
    0.179473 2.797809e-04 2.605800e-15 0 
    0.180717 3.110408e-04 2.857200e-15 0 
    0.181552 3.039675e-04 2.766600e-15 0 
    0.182390 2.922982e-04 2.636000e-15 0 
    0.183654 2.991069e-04 2.660400e-15 0 
    0.184502 2.916178e-04 2.570000e-15 0 
    0.185780 2.641258e-04 2.295800e-15 0 
    0.186638 2.856367e-04 2.460000e-15 0 
    0.187499 3.124771e-04 2.666500e-15 0 
    0.188799 3.219700e-04 2.709800e-15 0 
    0.189671 3.117601e-04 2.599800e-15 0 
    0.190546 3.242042e-04 2.678800e-15 0 
    0.191426 3.309923e-04 2.709800e-15 0 
    0.192753 3.348293e-04 2.703600e-15 0 
    0.193642 3.139143e-04 2.511500e-15 0 
    0.194536 2.759477e-04 2.187500e-15 0 
    0.195884 3.662852e-04 2.863800e-15 0 
    0.196789 3.612611e-04 2.798600e-15 0 
    0.197697 4.100313e-04 3.147300e-15 0 
    0.198610 4.007049e-04 3.047500e-15 0 
    0.199526 4.157424e-04 3.132900e-15 0 
    0.200909 4.195882e-04 3.118500e-15 0 
    0.201837 4.119308e-04 3.033500e-15 0 
    0.202768 4.166991e-04 3.040500e-15 0 
    0.203704 3.924766e-04 2.837500e-15 0 
    0.204645 4.413828e-04 3.161800e-15 0 
    0.205589 4.806443e-04 3.411500e-15 0 
    0.206538 4.558427e-04 3.205800e-15 0 
    0.207970 4.516756e-04 3.132900e-15 0 
    0.208449 5.150100e-04 3.555800e-15 0 
    0.208930 7.241389e-04 4.976700e-15 0 
    0.209894 8.371865e-04 5.700900e-15 0 
    0.210863 7.849088e-04 5.295900e-15 0 
    0.211836 7.565242e-04 5.057600e-15 0 
    0.212814 8.352495e-04 5.532700e-15 0 
    0.213796 7.759209e-04 5.092600e-15 0 
    0.214783 7.258061e-04 4.720000e-15 0 
    0.215774 8.970565e-04 5.780200e-15 0 
    0.216770 9.053571e-04 5.780200e-15 0 
    0.217771 8.106220e-04 5.127900e-15 0 
    0.218776 8.256995e-04 5.175400e-15 0 
    0.219786 9.995777e-04 6.207800e-15 0 
    0.220801 1.018176e-03 6.265300e-15 0 
    0.221820 9.927093e-04 6.052600e-15 0 
    0.222844 8.050459e-04 4.863400e-15 0 
    0.223872 9.116252e-04 5.456800e-15 0 
    0.224905 1.188009e-03 7.046000e-15 0 
    0.225944 1.137154e-03 6.682500e-15 0 
    0.226986 9.032779e-04 5.259500e-15 0 
    0.228034 8.626199e-04 4.976700e-15 0 
    0.229087 9.567961e-04 5.469400e-15 0 
    0.229615 1.241136e-03 7.062200e-15 0 
    0.230675 1.048965e-03 5.914000e-15 0 
    0.231739 1.263774e-03 7.059800e-15 0 
    0.232809 1.100478e-03 6.091200e-15 0 
    0.233884 8.759752e-04 4.804100e-15 0 
    0.234963 8.211028e-04 4.461900e-15 0 
    0.236048 5.974526e-04 3.216800e-15 0 
    0.237137 1.059767e-03 5.653700e-15 0 
    0.237684 6.609385e-04 3.509800e-15 0 
    0.238781 8.454197e-04 4.448300e-15 0 
    0.239883 5.444608e-04 2.838500e-15 0 
    0.240991 6.727987e-04 3.475400e-15 0 
    0.242103 6.788658e-04 3.474600e-15 0 
    0.243220 7.901068e-04 4.006900e-15 0 
    0.243781 1.299082e-03 6.557800e-15 0 
    0.244906 1.316858e-03 6.586600e-15 0 
    0.246037 1.575605e-03 7.808500e-15 0 
    0.247172 1.680146e-03 8.250300e-15 0 
    0.247742 1.466561e-03 7.168400e-15 0 
    0.248886 1.306776e-03 6.328800e-15 0 
    0.250035 8.752033e-04 4.199800e-15 0 
    0.251189 1.030398e-03 4.899200e-15 0 
    0.251768 1.588376e-03 7.517500e-15 0 
    0.252930 7.618188e-04 3.572500e-15 0 
    0.253513 6.149028e-04 2.870300e-15 0 
    0.254097 6.788179e-04 3.154100e-15 0 
    0.255270 1.068192e-03 4.917800e-15 0 
    0.255859 1.141842e-03 5.232700e-15 0 
    0.257040 2.053552e-03 9.324500e-15 0 
    0.258226 1.543124e-03 6.942600e-15 0 
