,alpha,completeness
0,10,0.0078125
1,20,0.0078125
2,30,0.0078125
3,40,0.009375
4,50,0.009375
5,60,0.009375
6,70,0.009375
7,80,0.009375
8,90,0.009375
9,100,0.009375
