,alpha,completeness
0,10,0.0078125
1,20,0.0078125
2,30,0.0078125
3,40,0.0078125
4,50,0.0078125
5,60,0.0078125
6,70,0.0078125
7,80,0.0078125
8,90,0.0078125
9,100,0.0078125
