,alpha,completeness
0,10,0.14453125
1,20,0.22916666666666666
2,30,0.3190104166666667
3,40,0.4127604166666667
4,50,0.5078125
5,60,0.6028645833333334
6,70,0.6979166666666666
7,80,0.765625
8,90,0.8020833333333334
9,100,0.8528645833333334
